,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,RT,Error,Relative peak area,Relative peak area,,,,Fc,,,,VIP,,,,P,
1,no.,Compound name,mzmed,,(min),,,,,,K/B1,K/B2,K/R1,K/R2,K/B1,K/B2,K/R1,K/R2,,ref
2,,,,(min),(ppm),K,B1,B2,R1,R2,K/B1,K/B2,K/R1,K/R2,K/B1,K/B2,K/R1,K/R2,Value,
3,2b,1,292.1309,7.22,3.3256,7893,486,2701,1019,1944,17.1,2.9,7.8,4.1,1.7,1.5,1.6,1.7,1.42E-05,2
4,2b,2,292.1309,7.22,2.9661,9545,558,3271,1221,2318,16.7,2.9,7.8,4.1,1.9,1.6,1.8,1.7,1.81E-05,10
5,3a,Humulone,361.2015,7.67,0.2769,"11,058","13,589",3033,1060,"54,028",16.7,3.1,10.4,4.2,9.3,8.0,8.7,8.4,1.81E-05,
6,4b,3,363.2168,7.67,5.4334,"11,058",179,2197,1060,1423,19.0,3.6,29.8,5.3,2.1,1.8,1.9,1.9,1.81E-05,2
7,5e,Prehumulone,375.2166,6.37,1.5991,"10,536",554,2197,353,779,64.5,10.2,94.6,7.4,2.0,1.9,2.0,1.9,2.08E-05,
8,6b,4,313.2376,4.51,4.51,"19,300",299,1900,204,779,64.5,10.2,94.6,24.8,2.7,2.6,2.6,2.7,2.08E-05,5
9,,n/ad-humulone,,,,,,,,,,,,,,,,,,
10,7a,Cohumulone,347.1859,6.84,0.2880,"163,832","16,610","51,837","20,307","36,128",9.9,3.2,8.1,4.5,3.3,3.2,7.5,3.3,2.53E-05,
11,9b,Colupox b,415.2482,6.14,0.7225,"30,989",4389,7816,4215,5885,7.1,4.0,7.8,5.3,2.7,3.2,2.7,3.3,6.75E-05,
12,9b,Desoxy-isocohumulone,331.1911,3.50,0.3019,"21,585",3755,4932,2779,141,139.5,4.4,112.4,73.4,2.7,2.7,2.7,2.7,8.70E-05,"5,9"
13,11a,Hulupone,683.2212,1.18,4.3909,"10,372",74,78,92,141,7.2,131.6,9.7,73.4,5.0,2.1,5.0,5.0,8.75E-05,
14,11a,Hulupone,331.1914,3.29,1.2078,"70,701",9806,2799,7269,2686,7.2,5.5,9.7,5.8,5.0,5.0,5.0,5.0,9.88E-05,
15,12c,Hulupone+H,332.1948,3.29,12.0410,"15,331",2135,2799,1574,2686,7.2,5.5,9.7,5.7,2.3,2.4,2.3,2.3,9.88E-05,
16,13b,Colupulone,361.2016,5.36,0.2769,"531,586","117,372","134,684","93,143","135,245",91.0,3.9,5.7,3.9,13.1,1.6,1.6,13.0,1.29E-04,"2,3,4"
17,14a,Adlupulone,399.2529,7.95,1.7533,"10,252",112,1418,1616,1900,125.7,4.9,6.3,5.4,1.9,1.6,1.6,1.6,2.20E-04,
18,15a,Adlupulone,347.1860,8.25,1.9358,7335,58,1418,1203,1294,125.7,5.2,6.1,5.7,1.6,1.4,7.2,7.1,2.23E-04,
19,16b,Trans-iso-cohumulone,347.1866,4.63,0.2880,"199,093",5408,"65,719","60,803","73,076",2.7,3.1,3.3,2.7,7.0,7.5,7.2,1.7,2.75E-04,"2,3,4"
20,17b,Cis-iso-cohumulone,377.1963,5.05,2.0162,"13,698",5408,4447,4814,5399,2.5,3.1,3.5,2.5,1.6,1.8,1.7,1.7,5.24E-04,"2,3,4"
21,18b,5,377.1963,2.26,0.2651,"29,690",9678,7795,8508,9840,3.1,3.8,3.5,3.0,2.8,3.0,2.8,2.8,5.24E-04,4
22,19a,Cohulupone,317.1760,2.77,2.2070,"61,466","20,454",1969,1273,1825,3.0,3.3,3.7,3.0,4.0,4.3,4.1,4.1,5.50E-04,
23,20b,Dihydroisocohumulone,349.2007,5.71,2.2909,9046,1459,1969,1273,1825,6.2,4.6,7.1,5.0,1.6,1.6,1.6,1.6,6.89E-04,"1,9"
24,21,,364.1946,4.63,7.4136,"14,828",5844,3978,4680,5663,2.5,2.9,3.2,2.6,1.9,1.8,2.0,1.9,6.89E-04,
25,22 c,"1,2-Diacetylglycerol",175.0621,0.92,7.9972,"11,706",4818,3978,5249,5424,2.4,2.9,2.2,4.6,1.7,1.8,1.6,1.6,7.72E-04,
26,23b,Cis-iso-humulone,361.2015,5.81,0.2769,"223,539","43,331","46,298","36,498","48,547",5.2,4.8,6.1,4.6,8.5,8.7,8.4,8.4,8.24E-04,"2,3,4"
27,24a,Cohumulione,363.1807,2.78,0.2753,"34,924","15,653","13,658","15,098","17,713",2.2,2.6,2.3,2.0,2.7,3.0,2.7,2.6,1.49E-04,
28,25a,N-humulione,377.1965,3.39,0.2651,"190,755","41,301","38,697","37,915","47,088",4.6,4.9,5.0,4.1,7.7,8.1,7.6,7.6,1.25E-03,
29,26b,ad-Humulinone A,377.1963,3.65,0.2651,"52,123","12,065","11,120","10,925","13,330",4.3,4.7,4.8,3.9,3.9,4.1,3.9,3.9,1.29E-03,4
30,27b,ad-Humulinone B,377.1954,4.60,0.2651,8118,1039,1098,1036,1474,12.2,7.4,7.8,5.5,1.7,1.8,1.7,1.7,1.36E-03,4
31,28b,Cis-iso-adhumulone,361.2006,6.75,3.0454,"14,522",1191,691,1222,1415,12.2,21.0,11.9,10.3,2.3,2.4,2.2,2.3,1.41E-03,"2,3,4"
32,29b,Trans-iso-adhumulone,361.2006,4.81,2.4917,4181,2825,1516,1902,1799,4.4,8.1,6.5,6.8,1.9,2.2,2.0,2.1,2.20E-03,"2,3,4"
33,30b,Iso-xanthothohumol,365.2318,4.81,0.5664,4181,1035,1604,903,1067,4.0,2.6,4.6,3.9,1.0,0.9,1.0,1.0,2.95E-04,"1,6,7"
