,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,,,,,,,,,q8Z'0 FtZ'8,q8Z'0 FtZ'8,80008,
1,,,,,qSL'0 F 8Z'8,,,,,,,,10F18'0,00,,,,
2,,,,,,,,,,,p&Z F 68Z,pLFZ6Z,28Z F6Z8,,,p6Z F CS7,J'pS F 8ZZ,p0I FZ7Z
3,,,,,,,,qS'0F 6'ZI,"qL'I F 9""ZI",q6'0FZI,,,,,q9'IF S'II,q9'IF S'II,q80FZ'0I,qL'0 F 9'0T
4,,,,,,,100,,,,qS0'0 F S8'0,,,,,,,000000
5,,,,000,00.0,00'0,,000,00'0,00'0,qS0'0 F S8'0,000,00.0,00'0,,,,000000
6,,,,qbI'0 F 89'0,qZ0'0 F Z9'0,q800I90,,100060,,v&0'0+86'0,90000,,,e80'0F Z6'0,0060,,,
7,,,q80'0 F 0Z'0,q80'0 F 0Z'0,60'0 F 66'0,p00099'0,,,,,qIO'0 F ZI'0,,,,jLO'0F 88'O,,,
8,,,,q00'0 F Z0'0,000,000,,0000000,q00'0 F Z0'0,q00'0 F 80'0,,000,000,000000,1001110,000,qO0'OF+0'O,000
9,,,000,800 T 66'0,qZ0'0 F 0Z'I,,qII060,,,,"qZI'0 F L0""T",,,,qeZI'0F80I,"q0Z'0 F Zt""I",,
10,,,000,,,,,,,,,,,,,000,000,000
11,,,qZ0`0F Z8'0,qZ0`0F Z8'0,qZ0'OF ZE'0,,q100I8,qI00F08C,,qI0'0 F 88'0,,"p""eIO'OF 6IO",p00'0F0Z'0,,q80'0 F S8'0,q80'0 F S8'0,,100110
12,,V8u,,,qSF 08I,,,p6Z F ItZ,,pLZ F t8Z,,J'q6Z F tZI,,,,,,
13,[,,,I0,0.2,04,,,,04,,10,,00,,I0,,0.4
14,,,,,Miie,,,,,,,,,,,,,
