,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,ANOVA,Color,Overall,Fresh fruit,Red fruit,Dried fruit,Cooked,Spicy,Sweetness Acidity,Sweetness Acidity,Bitterness Fresh fruit,Bitterness Fresh fruit,Berry (F) Dried fruit,Berry (F) Dried fruit,Herbal,Spicy,Hot (F),Astringency Dryness Body Length,Astringency Dryness Body Length,Astringency Dryness Body Length
1,effect,saturation,aroma,(A),(A),(A,(A,A,,,,F,,(F),(F,(F),,,,
2,Wine,,,,,,,,,,,,,,,,,,,
3,Control,6.55 aa,7.37 b,1.59 a,1.40 b,0.98 b,1.48 a,1.36a,5.34 b,5.97 a,5.58 b,2.22 a,2.80 a,1.05a,1.50 a,0.53b,3.62 a,7.34 a,7.25 a,6.19 a 3.92 a
4,CS+5d,6.53 a,7.29 b,1.59 a,1.78 ab,2.07 a,1.32 a,0.88 a,5.80 ab,5.66 a,5.98 ab,2.22 a,1.93 a,1.28 a,1.13 a,1.45a,4.06 a,6.38 b,6.73 b,6.23a 3.52 b
5,CS+10d,6.75 a,8.04 a,0.96 b,1.86 a,1.82 ab,1.19a,1.00 a,6.28 a,5.68 a,6.08 a,2.22 a,1.86 a,1.45 a,0.92 a,1.03 ab 4.10 a,1.03 ab 4.10 a,7.46 a,7.65 a,6.42a 3.46 b
6,p-value,0.309,0.001,0.031,0.077,0.032,0.685,0.532,0.004,0.217,0.088,0.450,0.165,0.552,0.424,0.132,0.709,<0.0001,0.0001 0.498 0.025,0.0001 0.498 0.025
7,Panelist,,,,,,,,,,,,,,,,,,,
8,p-value,0.010b,0.061,<0.0001,<0.0001,<0.0001,<0.0001,0.103,0.074,<0.0001 0.001,<0.0001 0.001,<0.0001,<0.0001<0.0001,<0.0001<0.0001,0.007,0.020,<0.0001 0.243,<0.0001 0.243,0.000,0.002<0.0001
9,Replicate,,,,,,,,,,,,,,,,,,,
10,p-value,0.154,0.089,0.032,0.028,0.066,0.154,0.125,0.247,0.861,0.386,0.632,0.196,0.295,0.503,0.700,0.001,0.295,0.270,0.416 0.570
11,Panelist ,,,,,,,,,,,,,,,,,,,
12,Wine,,,,,,,,,,,,,,,,,,,
13,p-value,0.994,0.819,0.002,0.001,0.823,0.290,0.920,0.742,0.848,0.604,0.966,0.593,0.699,0.636,0.676,0.939,0.295,0.297,0.790 0.701
