,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Fruit/vegetable,Food intake (g/p/d),Food intake (g/p/d),Food intake (g/p/d),Lycopene,Lycopene,,Lutein,,,Zeaxanthin,Zeaxanthin,,Neoxanthin,Neoxanthin,,Violaxanthin,Violaxanthin,
1,,BP,Women,Men,BP,Women,Men,BP,Women,Men,BP,Women,Men,BP,Women,Men,BP,Women,Men
2,Fruits,,,,,,,,,,,,,,,,,,
3,Acai,3.0,2.4,3.5,,,,4.5,3.6,5.3,,,,,,,,,
4,Apple,11.6,13.5,9.5,,,,,,,,,,,,,,,
5,Banana,18.6,18.8,18.3,,,,9.3,9.4,9.2,,,,,,,,,
6,Fruit salad,2.2,2.4,2.0,6.4,7.0,5.8,2.1,2.3,1.9,1.6,1.7,1.4,,,,0.9,1.0,0.9
7,Grape,1.2,1.1,1.3,,,,1.0,0.9,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
8,Mango,4.7,4.5,4.9,,,,,,,3.1,3.0,3.3,16.1,15.4,16.8,148.4,142.1,154.7
9,Orange,20.6,20.7,20.4,,,,57.3,57.5,56.7,49.0,49.3,48.6,,,,28.0,28.2,27.7
10,Other fruits,7.7,8.6,6.7,47.4,52.9,41.2,0.4,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2
11,Papaya,6.4,7.9,4.7,92.7,114.4,68.1,0.4,0.5,0.3,,,,,,,0.6,0.7,0.4
12,Pineapple,1.4,1.6,1.1,,,,,,,,,,,,,,,
13,Tangerine,4.5,4.8,4.2,,,,,,,,,,,,,,,
14,Watermelon,4.2,4.8,3.6,149.1,170.4,127.8,,,74.7,,,,,,,,,
15,Subtotal,86.1,91.1,80.2,295.6,344.6,242.9,75.0,74.7,74.7,53.8,54.1,53.4,16.2,15.6,17.0,178.2,172.3,184.1
16,Vegetables,,,,,,,,,,,,,,,,,,
17,Cabbage,1.0,1.0,0.9,,,,0.2,0.2,0.2,,,,,,,,,
18,Carrot,0.8,0.8,0.8,,,,4.6,0.1,0.1,,,,,,,,,
19,Cassava,6.1,5.4,6.9,,,,,,,,,,,,,,,
20,Cucumber,0.6,0.5,0.7,,,,0.1,0.1,0.1,,,,,,,,,
21,Curly lettuce,3.6,3.9,3.3,,,,51.5,55.8,189.1,,,,27.4,29.6,25.1,67.3,72.9,61.7
22,Kale,3.8,4.1,3.6,0.0,0.0,,199.6,215.3,38.2,,,,44.8,48.3,10.8,114.4,123.4,15.4
23,Other salads,1.4,1.6,1.3,0.0,0.0,0.0,41.2,47.1,38.2,0.0,0.0,0.0,11.6,13.3,10.8,16.6,19.0,15.4
24,Other vegetables,4.6,4.4,4.8,0.0,0.0,0.0,6.5,20.3,22.1,0.0,0.0,3.2,3.4,3.3,3.6,3.7,3.5,3.8
25,Potato,14.7,14.0,15.4,,,,6.5,6.2,6.8,3.1,2.9,3.2,,,,,,
26,Pumpkin,2.3,2.2,2.4,,,,41.1,39.3,42.8,,,,16.2,15.5,16.9,,,
27,Raw salads,14.8,15.8,13.7,131.0,139.8,121.2,328.4,350.6,304.0,0.0,0.0,0.0,121.3,129.5,112.3,217.7,232.4,201.5
28,Sweet potato,2.5,2.3,2.6,,,,,,,,,,,,,,,
29,Tomato,6.5,5.8,7.3,230.1,205.3,258.4,6.5,5.8,7.3,,,,,,,,,
30,Subtotal,63.6,62.9,64.4,361.1,345.2,379.7,776,740.3,657.6,3.1,2.9,3.2,224.7,239.5,211.0,419.7,451.3,390.9
31,TOTAL,149.7,,,656.7,,,776,,,56.9,,,240.9,,,597.9,,
