,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,,8'66,,,,,,,,
1,2-us,PIIOI,210,,,,,,,,,1001,,00,,,,,,
2,,,,,,,,,,,,6'66,,,,,,,,
3,,,,,244,222,074,,,,,,,,,,,,,
4,,,,,+1,:.,:.,,,,,000,,,,,,,,
5,2-us,,,,,,,,,,,,,,,,,,,
6,,,,,,2,,,,,,,,,,,,,,
7,,,,,+,+,+1,,,,,666,,,,,,,,
8,,,,12,12,,,,,,,,,,,,,,,
9,,,,2,,,,,,,,,,,,,,,,
10,z-us,,,,,,,,,,,9'66,8118,,,,,,,
11,,,,,6,+,2,,,,,986,,,,,,,,
12,,,,,+,,,222,,,,,,,,,,,,
13,,,,,+,,,+1,+1,+1,+1,1000,,,,,,,,
14,,,,,2,,,,,,22,1000,,,,,,,,
15,r-us,,,,,,,,,,,1000,,,,60,,,,
16,,,,,,,122,,,272,,,,,,,,,,
17,,,,,,,,+,+1,+1,+1,000,,,,,,,,
18,,,,,,,,S,,,,000,,,,,,,,
19,,,,,,220,,220,,240,,,S1,(VT) 9-171,TV1,(VAS) -u:81,2:20,(VOD) 6-(:0Z,240,6-1I:tZ
