,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,10 alc/vol,10 alc/vol,,,,,,, 20 alc/vol,,,,,
1,aroma compound,aroma compound,buffer,ethanol content,ethanol content,interaction,Eb,,,WS,,WSM,,EV-S, 20 alc/vol,,,,WSMA,EV-S
2,,,,,,,Eb,,W,WS,,WSM,WSMA,EV-S,E,W,WS,WSM,WSMA,EV-S
3,ethyl acetate,,p<0.001,p<0.001,,p<0.001,87.74 a,87.74 a,78.30 b,64.44 b,64.44 b,61.27 c,49.07 d,36.08 e,60.00 a,51.02 bc,47.65 cd,45.93 cd,48.83 cd,43.47 d
4,ethyl butyrate,,p<0.001,p<0.001,,p<0.001,119.88 a,119.88 a,113.01 ab,107.71 ab,107.71 ab,103.00 bc,87.80 c,59.45 d,64.13 a,60.93 a,55.67 ab,49.35 b.,60.47 a,50.50 b
5,ethyl valerate,,p<0.001,p<0.001,,p<0.001,14.24 a,14.24 a,11.32 ab,9.12 bc,9.12 bc,8.84 bc,6.90 bc,5.78 c,14.88 a,16.37a,17.11 a,15.14 a,15.96 a,15.74 a
6,ethyl hexanoate,ethyl hexanoate,0.7642,0.3996,,p<0.001,1553.59 a,1553.59 a,1494.81 a,1265.43 c,1265.43 c,1222.68 b,1028.61 c,793.61 d,953.15 a,906.15 ab,826.13 bc,781.32 c,856.59 bc,775.14 c
7,ethyl heptanoate,ethyl heptanoate,p<0.001,p<0.001,,p<0.001,30.77 a,30.77 a,29.26 a,22.20 b,22.20 b,21.09 b,15.34 c,19.37 bc,100.60 a,100.96 a,91.46 ab,87.67 b,85.64 b,80.83 b
8,ethyl lactate,,p<0.001,p<0.001,,p<0.001,18.59 a,12.59 a,10.31 b,7.08c,7.08c,6.45c,6.04 cd,4.04 d,22.18 a,20.02 ab,18.23 b,17.77 b,20.09 ab,11.16 ab
9,hexyl butyrate,,p<0.001,p<0.001,,p<0.001,18.59 a,18.59 a,18.72 a.,15.98 a,15.98 a,15.79 a,6.69 b,7.36 b.,43.41 a,10.41 ab,9.39 b,33.08 b,9.89 b,11.16 ab
10,ethyl octanoate,ethyl octanoate,p<0.001,p<0.001,,p<0.001,0.02 a,,0.02 a,51.12 b,51.12 b,0.02 a,32.88 a,27.32 a,43.41 a,36.58 b,33.73 b,33.08 b,38.80 a,37.52 b
11,isopentyl hexanoate,isopentyl hexanoate,p<0.001,p<0.001,,p<0.001,0.02 a,,0.02 a,0.02 a,0.02 a,0.02 a,0.01b,0.01b,0.03 a,0.02 a,0.02 a,0.02 a,0.02 a,0.02 a
12,hexyl hexanoate,hexyl hexanoate,p<0.001,p<0.001,,p<0.001,21.02 a,21.02 a,18.42 b,17.80 b,17.80 b,16.69 c,8.57 c,10.43 bc,30.26 a,29.46 a,30.78 a,31.29 a,28.09 a,31.85 a
13,ethyl laurate,,p<0.001,p<0.001,,p<0.001,15.05 a,,10.48 ab,1.30 ab,1.30 ab,9.72 ab,0.76 b,0.88 b,2.90 a,2.56 a,2.67 a,2.68 a,1.88 a,2.12 a
