,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,1,,,,3,,,,6,,,,9,,,,,,,,,
1,Salting(days),,2,,4,,2,,4,,2,4,,,2,4,,,,,,,,
2,Temperature(C,,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,,,,,,
3,Fatty acids,,,,,,,,,,,,,,,,,,SEM,R,T,S,RxT,RxS
4,C10:0,0.09,0.16,0.09,0.24,0.22,0.14,0.18,0.34,0.30,0.33,0.37,0.44,0.35,0.45,0.57,0.85,0.55,0.026,***,*,***,n.s.,**
5,C12:0,0.15,0.23,0.33,0.30,0.37,0.28,0.36,0.54,0.43,0.44,0.42,0.95,0.48,0.68,0.97,1.36,1.11,0.043,***,*,***,***,n.s.
6,C14:0,1.56,3.05,5.69,3.25,3.81,5.34,5.89,4.61,5.05,6.54,12.2,5.09,9.04,9.04,15.5,5.64,13.4,0.488,***,***,*,***,n.s.
7,C14:1,0.09,0.48,0.50,0.34,0.39,0.40,0.65,0.42,0.75,0.65,0.74,0.69,2.34,1.38,1.13,2.88,2.30,0.096,***,**,***,***,***
8,C15:0,0.06,0.10,0.24,0.15,0.29,0.24,0.23,0.21,0.51,0.43,0.44,0.59,0.70,0.48,0.61,1.13,0.50,0.033,***,n.s.,***,***,n.s.
9,C15:1,0.01,0.02,0.04,0.04,0.04,0.05,0.07,0.06,0.07,0.07,0.18,0.15,0.08,0.14,0.16,0.33,0.22,0.011,***,***,***,***,***
10,C16:0,43.4,75.4,165,66.7,92.3,116,177,89.1,141,147,389,103,275,190,506,146,534,18.7,***,***,n.s.,***,**
11,C16:1n-7,1.45,2.75,6.14,2.11,2.11,4.77,6.34,3.55,4.39,5.72,12.5,4.00,7.29,8.36,13.4,4.33,10.8,0.469,***,***,**,***,n.s.
12,C17:0,0.23,0.30,0.94,0.34,0.39,0.62,0.86,0.57,0.72,0.66,1.40,0.88,0.98,0.78,2.03,1.11,1.03,0.056,***,n.s.,n.s.,***,**
13,C17:1,0.12,0.15,0.48,0.20,0.18,0.36,0.54,0.27,0.35,0.41,0.75,0.41,0.48,0.53,0.99,0.46,0.53,0.029,***,***,**,***,*
14,C18:0,5.70,8.62,22.8,7.63,8.23,15.0,16.4,9.19,14.8,17.4,27.5,11.5,25.2,24.7,37.4,15.9,42.7,1.33,***,***,n.s.,***,n.s.
15,C18:1n-9,66.8,124,258,116,154,220,286,152,203,267,473,176,347,282,543,207,542,17.9,**,***,**,**,n.s.
16,C18:2n-6,10.1,16.1,35.8,16.4,21.2,31.5,29.1,23.5,20.9,36.9,41.2,16.5,24.8,23.8,21.5,10.5,27.9,1.18,**,n.s.,***,**,*
17,C18:3n-6,0.01,0.05,0.08,0.15,0.44,0.13,0.06,0.43,0.63,0.29,0.25,0.62,0.61,0.51,0.16,0.60,0.68,0.032,***,n.s.,***,*,n.s.
18,C18:3n-3,0.19,0.55,1.17,0.37,0.81,1.03,0.74,0.74,0.85,1.30,0.75,1.04,0.77,1.09,0.40,1.18,0.98,0.042,n.s.,***,n.s.,n.s.,*
19,C20:0,1.42,0.29,0.92,0.94,1.33,0.96,0.69,1.32,1.33,1.14,0.89,1.65,1.90,1.65,1.07,1.67,2.14,0.067,**,n.s.,**,n.s.,n.s.
20,C20:1n-9,4.46,1.60,3.13,1.78,2.28,2.45,2.76,2.61,2.29,2.65,3.19,3.35,3.75,3.45,3.66,3.98,4.67,0.118,***,n.s.,*,*,*
21,C20:2n-6,0.52,0.80,1.25,0.99,0.73,1.13,0.94,1.26,1.16,1.51,1.03,1.53,1.43,1.65,0.85,1.55,2.09,0.052,***,,**,**,*
22,C20:3n-6,0.08,0.19,0.29,0.48,0.42,0.43,0.29,0.94,0.53,0.80,0.36,1.07,0.45,0.94,0.48,1.24,0.96,0.044,***,***,***,**,n.s.
23,C20:4n-6,0.51,0.88,1.48,1.11,1.54,1.21,0.91,2.03,1.69,1.60,0.97,2.24,1.86,1.89,1.10,4.21,2.56,0.104,***,***,***,**,***
24,C20:3n-3,0.20,0.32,0.81,1.15,0.78,0.62,0.53,2.07,1.41,0.90,0.96,1.90,1.82,1.44,0.95,2.01,2.34,0.086,***,n.s.,***,n.s.,*
25,C20:5n-3,0.06,0.10,0.07,0.19,0.12,0.12,0.15,0.68,0.19,0.21,0.15,0.60,0.40,0.23,0.17,0.70,0.60,0.030,**,***,***,n.s.,n.s.
26,C22:2n-6,21.5,19.3,4.87,18.2,13.2,4.97,24.3,21.0,29.6,9.41,22.2,25.1,37.8,14.1,11.1,21.7,105,2.97,***,***,***,***,***
27,C24:0,0.32,0.44,2.01,0.37,0.81,0.75,1.39,0.69,1.21,0.72,2.76,1.00,1.63,1.19,1.59,1.58,1.70,0.086,*,n.s.,n.s.,***,n.s.
28,SFA,53.0,88.6,198,79.8,104,139,203,107,166,174,435,125,316,229,547,175,597,20.2,***,***,n.s.,***,**
29,UFA,106,168,314,159,197,269,347,211,268,329,553,234,431,341,599,261,704,20.5,***,***,n.s.,***,**
30,MUFA,72.9,129,268,120,158,228,296,159,211,276,490,184,361,296,563,219,560,18.4,***,***,**,***,n.s.
31,PUFA,33.2,38.3,45.8,38.8,39.2,41.1,51.0,51.9,56.9,52.8,62.4,50.2,70.0,45.5,36.8,42.2,143,3.24,***,***,***,***,**
32,TFFA,159,256,512,239,301,408,550,318,433,503,987,360,746,570,1146,436,1300,40.5,***,***,n.s.,***,**
33,Dn-3,0.46,0.97,2.05,1.71,1.68,1.77,1.42,3.31,2.36,2.41,1.86,3.28,3.00,2.77,1.52,3.60,3.77,0.119,***,***,***,n.s.,**
34,Dn-6,32.7,37.3,43.8,37.1,37.5,39.4,49.6,48.6,54.6,50.3,60.5,46.9,67.0,42.7,35.2,38.6,140,3.18,***,***,***,***,***
35,P/S,0.63,0.43,0.23,0.49,0.39,0.30,0.26,0.49,0.34,0.31,0.15,0.40,0.22,0.20,0.07,0.24,0.24,0.017,***,***,***,***,**
36,n-6/Dn-3,71.9,39.1,21.7,21.8,22.3,22.2,35.7,15.0,23.1,21.1,32.9,14.2,22.4,15.6,23.5,11.4,37.3,1.55,n.s.,***,**,n.s.,*
37,AI,0.47,0.53,0.60,0.50,0.55,0.51,0.58,0.51,0.61,0.53,0.79,0.53,0.72,0.66,0.95,0.65,0.84,0.017,***,***,n.s.,***,n.s.
38,TI,0.40,0.69,1.05,0.73,0.80,0.84,0.94,0.80,0.99,0.89,1.37,0.86,1.26,1.15,1.65,1.11,1.48,0.037,***,***,n.s.,***,n.s.
39,h,99.9,163,304,155,193,261,337,204,260,319,535,226,417,327,580,249,685,19.9,***,***,n.s.,***,**
40,H,45.0,78.4,171,69.9,96.2,121,183,93.7,146,153,401,108,284,199,521,151,547,19.2,***,***,n.s.,***,**
41,h/H,2.22,2.06,1.78,2.22,2.02,2.19,1.84,2.20,1.78,2.10,1.34,2.09,1.47,1.66,1.12,1.65,1.25,0.045,***,***,n.s.,***,n.s.
42,NI,1.67,1.76,1.70,1.86,1.72,2.06,1.70,1.83,1.54,1.95,1.29,1.82,1.36,1.62,1.13,1.53,1.10,0.035,***,***,**,***,n.s.
