,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Food,Waterb,,Sodium,,,Hedian Meansd(n,,Median Meansdn,Median Meansdn,,Median Meanesd(n,,Medi an Meansdn
1,Beverages,,,,,,,,,,,,,
2,Tap water,,,,,,,,3227,3227,,027,,
3,,100.0,2,3,3(28,0,0028,3,3227,3227,0,027,0.8,1.00.628
4,reconstitutea,88.1,,1,1(28,19,20728,2,227,227,,2127,1.3,0.428
5,"Orange drink,",,,7,,,341128,,5227,5227,,027,1.8,
6,canned,87.6,4,7,828,38,341128,5,5227,5227,,027,1.8,0.928
7,from pouder,93.0,4,6,628,,0028,0,4527,4527,,27,0.0,0.528
8,ime soca,90.2,11,12,528,0,4528,3,3,1(27),,0(27,0.6,0.428
9,,88.6,3,3,3(28,1,1128,3,,,14,3(27,0.6,0.428
10,Carbonated diet,,,3,3(28,,2128,,,227,14,13327,0.6,0.60.428
11,cola,99.7,15,15,528,2,2128,,227,227,13,13327,0.5,0.60.428
12,instant,98.0,1,1,1(28,41,4929(28,2,2,1(27,3,227,3.6,4.52.728
13,Decaffeinated,,,1,1(28,,4929(28,,2,1(27,,227,3.6,4.52.728
14,coffeefrom,,,,,,,,,,,,,
15,instant,98.2,",",1,1(28),42,47+2228,2,2,1(27),4,42(27,4.3,2.528
16,tea bag,98.2,,,0(28,16,16728,0,027,027,1,1027,0.8,0.90.428
17,"Beer,canned",,,4,2(28,25,24528,5,5,1(27),,1027,6.0,5.91.628
18,,96.3,4,4,2(28,25,24528,5,5,1(27),12,3(27,6.0,5.91.628
19,lable wine,,,4,,,702228,,,127,,,9.6,9.31.728
20,Whisky.BD-proof,98.9,6,10,28,72,702228,,,127,14,327,9.6,9.31.728
21,,100.0,1,1+,028,1,1028,0,0027,0027,,27,"0,0",0.00.128
22,Strainedtiunior,etables,,,,,,,,,,,,
23,Creamed spinach,89.0,33,36,14(28,1981953928,1981953928,114,1142727,1142727,60,59827,38.0 38.910.928,38.0 38.910.928
24,,79.1,5,5,2(28,98,992028,21,20,327,53,52927,18.317.92.628,18.317.92.628
25,,92.1,1,1,128,1571563128,1571563128,40,40,327,27,26427,19.6,19.54.328
26,Carrots,,,,,,,,,,23,>337,,10.110.11.528
27,,89.4,31,TA,25(28),19770751281,19770751281,26,25327,25327,23,>337,10.110.11.528,10.110.11.528
28,yel low squash,76.7,11,16,12(28,2422433828,2422433828,16,17,3(27,26,26327,14.514.71.828,14.514.71.828
29,,83.3,10,10,328,97,971528,20,19327,19327,41,0527,11.1,11.01.928
30,Mixed/garden,,14,14,,,,20,,,27,28427,11.1,11.02.726
31,vegetables,89.5,14,14,6(28),1211182028,1211182028,16,17427,17427,27,28427,11.1,11.02.726
32,Orange juice,Strained/junfor fruits and juices,,,,,,,,,,,,
33,Orange juice,88.4,3,4,328,1841642028,1841642028,12,12227,12227,16,161(27,11.211.31.228,11.211.31.228
34,Applesauce,,,,,,,,,,,,,
35,,83.1,,12,1(28,90,90+1028,5,5127,5127,7,7127,4.1,4.10.628
36,Dutch apple/,87.0,2,3,4(28),101 1001228,101 1001228,,6227,6227,6,6127,4.4,4.31.028
37,apple betty,80.1,11,12,3(28,42,43728,4,5,227),3,4227,2.2,2.20.428
38,pineappie,,,,,,43728,,,227),,4227,2.2,2.20.428
39,pineappie,84.0,5,5,3(28,1031041828,1031041828,6,6,1(27,6,6127,9.2,9.31.828
40,Peaches,,3,5,3(28,,,,6,1(27,,6127,7.3,9.31.828
41,,A5.2,3,3,228,1681692028,1681692028,5,127,127,15,15227,7.3,7.1.1(28
42,,82.6,,1,1(28,1111101128,1111101128,12,11227,11227,10,10127,7.2,7.10.628
43,,80.0,3,4,228,1511533428,1511533428,14,14327,14327,14,14427,9.3,9.22.428
44,,83.5,S,6,2(28,87,932528,,127,127,7,71(27,5.5,5.51.428
45,Strained/junior cereals,Strained/junior cereals,,,,,,,,,,,,
46,Mixed cereal,,,,,,,,,,,,,
47,prepared w/,,,,,,,,,,,,,
48,whole milk,60.1,25,211728,211728,1071076628,1071076628,1731825727,1731825727,1731825727,1621514727,1621514727,23.12.77.728,23.12.77.728
49,Oatmeel w/,,,,,,,,,,,1621514727,,23.12.77.728
50,and bananas,80.1,1,1,128,6970728),6970728),8227,8227,8227,3939527,3939527,13.513.92.028,13.513.92.028
51,Milk-based,,,,,,,,,,,,,
52,formule plus,,,,,,,,,,,,,
53,Milk-based,63.7,22,22,4(28),a2,841328,52,551527,551527,3h39827),3h39827),7.07.11.128,7.07.11.128
54,ready-to-serve 87.4,,22,23,4(28),83,851328,51561427,51561427,51561427,3640927,3640927,6.96.81.028,6.96.81.028
55,Beef,,,,,,2192242328,,,,,1141131127,,
56,Pork,,47,48,528,2192242328,2192242328,5,51(27,51(27,1141131127,1141131127,14.114.31.228,14.114.31.228
57,Chicken/turkey,78.8,12,43,5(28,2322321728,2322321728,5,51(27,51(27,121121927,121121927,15.215.21.228),15.215.21.228)
58,,81.0,47,47,8(28),1721753828,1721753828,60,7231(27,7231(27,1391371227,1391371227,"15.515.61,428","15.515.61,428"
59,Strained/junior dinners,Strained/junior dinners,,,,,,,,,,,,
60,Deef ard,,,,,,,,,,,,,
61,vegetables,86.5,24,24,4(28,1311311628,1311311628,9,10327,10327,58,58627,$0.810.71.1(28,$0.810.71.1(28
62,Chicken/turkey,86.2,20,252728,252728,1461432428,1461432428,8,127,127,66,4927,1.611.71.828,1.611.71.828
63,and vegetables 36.6,,,23,5(28,100,991828,86,803527,803527,82,831327,10.610.81.528,10.610.81.528
