,0,1,2
0,,HD-glycinin (g/g),
1,,Sandwich,Competitive
2,Cashew,<LOQ,<LOQ
3,Hazelnut,<LOQ,<LOQ
4,Macadamian nut,<LOQ,<LOQ
5,Walnut,<LOQ,<LOQ
6,Brazil nut,<LOQ,<LOQ
7,Pecan nut,<LOQ,<LOQ
8,Pine kernel,<LOQ,<LOQ
9,Peanut,<LOQ,<LOQ
10,Beans,<LOQ,<LOQ
11,White beans,<LOQ,LOQ
12,Lupine,<LOQ,<LOQ
13,Red beans,ZLOQ,<LOQ
14,Pea,0.26,LOQ
15,Chickpea,0.24,5.87
16,Lentils,<LOQ,<LOQ
17,Sesame seed,LOQ,LOQ
18,Linseed,<LOQ,LOQ
19,Poppy seed,LOQ,LOQ
20,Pumpkin seed seed,<LOQ,11.73
21,Sunflower seed,<LOQ,<LOQ
22,Chicken meat,LOQ,<LOQ
23,Beef meat,LOQ,<LOQ
24,Pork meat,LOQ,15.2
25,Buckwheat,<LOQ,<LOQ
26,Wheat,<LOQ,<LOQ
27,Corn,<LOQ,<LOQ
28,Rice,<LOQ,<LOQ
29,Barley,<LOQ,<LOQ
30,Rye,<LOQ,<LOQ
31,Oat,<LOQ,<LOQ
32,Crustacean,<LOQ,9.43
33,Hake,<LOQ,<LOQ
34,Tuna,<LOQ,<LOQ
35,Carrot,<LOQ,<LOQ
36,Coconut,<LOQ,<LOQ
37,Kiwi,<LOQ,<LOQ
38,Milk,<LOQ,<LOQ
39,Egg,LOQ,<LOQ
40,Cocoa,<LOQ,38.0
