,0,1,2,3,4,5,6,7,8,9
0,,Ranges,,,Averages and significant differences,Averages and significant differences,,,,
1,,Low,Medium,High,Low(n=20,Medium (n=20,High (n=20,High (n=20,,
2,Pricea,1.89-3.49,4.207.00,7.75-13.50,2.66 a,5.42 b,,9.08,c,
3,Vintage,2009-2012,2007-2012,1998-2011,2011 a,2010 a,2008,b,,
4,L*,68.00-86.50,64.70-87.30,66.5084.20,22.35 a,81.54 a,,25.16 a,,a
5,C,13.42-33.90,14.33-32.38,17.3432.34,22.35 a,22.86 a,,25.16 a,,
6,h*,10.93-52.63,6.75-39.37,18.4445.37,26.33 a,21.56 a,,28.01 a,,
7,a*,8.14-28.41,12.2632.27,18.39-32.48,19.87 a,21.56 a,,24.04 a,,
8,b*,3.70-18.50,3.57-14.79,6.8922.46,3.49 a,9.23 a,,12.56 b,,
9,pH,3.24-3.73,3.48-3.72,3.533.82,3.49 a,3.58 b,,3.67 c,,
10,Ethanolb,12.10-14.00,12.25-14.25,12.75-15.00,12.63 a,13.10 b,,13.57 c,,
11,SO freec,1.1-48.6,1.548.6,2.044.8,16.9 a,14.7 a,,17.0 a,,
12,SO2 totc,10.2112.6,10.994.7,10.2-104.3,56.8 a,45.9 a,,47.7 a,,
