,0,1,2,3,4,5,6,7,8,9,10
0,Quality parameter,Fruit class,Pre-pr,LV,Calibration,,Validation,,,,Info. region (nm)
1,,,,,R,RMSEC,R,RMSEP,RPD,Slope,
2,Mass (g),All,None,7,0.97,9.72,0.96,10.45,3.53,0.92,900-1550
3,Mass (g),All colour,None,7,0.94,8.83,0.93,9.96,2.7,0.87,900-1550
4,,All size,None,7,0.99,8.36,0.98,9.79,5.22,0.97,900-1550
5,Colou r index,All,MSC,10,0.88,0.69,0.83,0.82,1.99,0.73,1000-1900
6,,All colour,MSC,10,0.89,0.7,0.84,0.82,2.08,0.74,1000-1900
7,,All size,MSC,10,0.89,0.59,0.79,0.81,1.62,0.68,1000-1900
8,TSS (Brix),All,1st der.,6,0.89,0.48,0.83,0.58,1.87,0.73,900-1800
9,,All colour,1st der.,6,0.87,0.53,0.83,0.59,1.83,0.71,900-1800
10,,All size,1st der.,6,0.94,0.33,0.86,0.48,2.2,0.78,900-1800
11,Vitamin C(mg/100mL),All,MSC,8,0.73,7.21,0.66,8.01,1.33,0.48,1050-2000
12,,All colour,MSC,8,0.81,6.07,0.72,7.29,1.42,0.61,1050-2000
13,,All size,MSC,8,0.71,7.59,0.59,8.78,1.27,0.42,1050-2000
