,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Species,,Obtained sizes (bp) of digested fragments,,,,,,,,,,,,,,,,
1,,,BseDI,BseDI,,,,,,MnlI,,,,,,,MspAI,,
2,L.fulvus,,"110,120,140,190,230,240,340,350,420",,,,,,,,"<50,50.70.85,110,125.145.180,200,250,345",,,,,,,"110,190,350,450","110,190,350,450"
3,L.rivulatus,,"120,230,240,350,440",,"120,230,240,350,440","120,230,240,350,440",,,,,"<50,50,70,85,110,125,145,170,180,200,250,265,345",,,,,,,"110,190,450",
4,L. quinquelineatus,,"120,180,230,240,345,350,390,440",,,,,,,,"<50,50,70,85,110,125,145,180,200,250,290,345",,,,,,,"50,110,190,240,350,450","50,110,190,240,350,450"
5,L. fulviflamma,,"120,230,240,340,350,430,440",,,,,,,,"<50,50,70,85,110,125,145,180,200,240,250,345",,,,,,,"110,190,250,370,450","110,190,250,370,450"
6,L.madras,,"110,120,140,190,230,350,420",,,,,,,"<50,50,70,85,110,145,180,350,380","<50,50,70,85,110,145,180,350,380",,,,,,,"110,160,240,450","110,160,240,450"
7,L.decussatus,,"120,230,240,350,430,440",,,,,,,,"<50,50,70,85,110,125,145,170,180,200,250,265,345",,,,,,,"110,190,350,450","110,190,350,450"
8,,M,,1,2,3,4,5,6,,,1,2,3,4,5,6,M,
9,,,,,,,,,,,,,,,,,,,500bp
10,,,,,,,,,,,,,,,,,,,450bp
11,400bp,,,,,,,,,,,,,,,,,,400bp
12,350bp,,,,,,,,,,,,,,,,,,350bp
13,300bp,,,,,,,,,,,,,,,,,,300bp
14,250bp,,,,,,,,,,,,,,,,,,250bp
15,200bp,,,,,,,,,,,,,,,,,,200 bp
16,150bp,,,,,,,,,,,,,,,,,,150 bp
17,100bp,,,,,,,,,,,,,,,,,,100 bp
18,50bp,,,,,,,,,,,,,,,,,,>50 bp
