,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Vegetala,Irrigationb,Ref.,Na,Mg,Al,Si,P,S,CI,K,Ca,Mn,Fe,Cu,Zn,Br,Rb,Sr
1,C,TWW,This work,5279,2690,450,720,3970,2600,9810,32600,4232,6.9,44.8,8.8,25.6,44.5,5.9,17.6
2,,FW,Arora et al.,,,,,,,,,,15,17.5,7.5,42,,,
3,,TWW,Arora et al.,,,,,,,,,,14-,200,12.5,40-,,,
4,,,(2008),,,,,,,,,,20,235,21.6,51,,,
5,,FW,,57-,49-,nd-,,156-,23-,,1400-,220-,9.39,1.25-,nd-5.4,nd-,,,
6,,,,1100,213,201,,915,327,,7600,870,,31,,22,,,
7,,FW,Pandino et al.,2500,800,,,,,,20600,2800,7.2,33.2,3.6,10.8,,,
8,,,2011,,,,,,,,,,,,,,,,
9,,FW, Kabata-Pendias,,,7.8,,,,,,,,16-67,4.6-,21-,,,1.5-
10,,,(2001),,,,,,,,,,,,8.4,24,,,131
11,,FW,Azam et al.,,1700,,,,7100,,4600,1700,28,17,,17,,,
12,,,(2013),,,,,,,,,,,,,,,,
13,S,TWW,This work,9600,9200,755,1340,5690,5120,12150,59300,15746,22,174,17,103,133,16,54
14,,FW,Arora et al.,,,,,,,,,,45,225,5,17,,,
15,,,(2008),,,,,,,,,,,,,,,,
16,,TWW,Arora et al.,,,,,,,,,,64-,279,15-17,31-,,,
17,,,(2008),,,,,,,,,,74,333,,35,,,
18,,TWW,Khan et al.,,,,,,,,,,,,14,60,,,
19,,,(2008),,,,,,,,,,,,,,,,
20,,FW,Pandino et al.,,,,,,,,37300,9400,168,527,16.6,77.8,,,
21,,,2011),,,,,,,,,,,,,,,,
22,,FW,Kabata-Pendias,,,104,,,,,,,,,,,,,45-
23,,,(2001),,,,,,,,,,,,,,,,70
24,A,TWW,This work,1840,2400,403,513,2967,2950,9008,23115,3529,13.7,24.7,8,29.2,16.8,1.8,6.7
25,,FW,Razic et al.,,3859,,,,,,9031,11772,63.2,123.7,8,26.5,,,
26,,,(2008),,,,,,,,,,,,,,,,
27,,FW,Pandino et al.,1500,1400,,,,,,18800,4500,11.8,47,7.2,26.6,,,
28,,,2011,,,,,,,,,,,,,,,,
29,R,TWW,This work,3300,2827,671,867,6340,5578,9681,59170,8301,12.8,50.3,8.3,47.3,84.3,12.528.3,12.528.3
30,,TWW,Khan et al.,,,,,,,,,,,,9,58,,,
31,,,(2008),,,,,,,,,,,,,,,,
32,,FW,Kabata-Pendias,,,,,,,,,,,,,27-,24-,,
33,,,(2001,,,,,,,,,,,,,708,26,,
34,,FW,Azam et al.,6900,,,,,,,35100,,38,,,51,,,
35,,,(2013),,,,,,,,,,,,,,,,
36,C,TWW,This work,7189,3239,1094,2084 3758,2084 3758,5963,15836 52391,15836 52391,10359,31,394,13,51,41,10,39
37,,FW,Arora et al.,,,,,,,,,,30,275,7,20,,,
38,,,(2008),,,,,,,,,,,,,,,,
39,,TWW,Arora et al.,,,,,,,,,,41-,292-,10.9-,29-,,,
40,,,(2008),,,,,,,,,,48,326,13,33,,,
