,0,1,2,3,4,5
0,Food items,Time of,Origin,Origin,Number/amount,"Sampling, preparation and processing"
1,,purchase,,,further processed,
2,Apple(red),Autumn 2010,Italy,Italy,2 from a box of 6 chosen,"Cubes from edible parts including skin,removal of inner parts"
3,Apricot,Summer 2008,Israel,Israel,10 fruits,"Removal of kernels, cubes cut and mixed"
4,Arugula,Summer 2008,France,France,1box,"Slices and cubes, removal of bottom end"
5,Aubergine,Summer 2010,France,France,1 of 2 chosen,"Cubes from edible parts including skin,removal of top and bottom end"
6,Banana,Autumn 2009,,,2 from a bundle chosen,"Cubes from peeled fruits, cubes mixed"
7,Butter,Summer 2010,Luxembourg,,1 pack of 250 g,Thin slices were scraped from the surface with a kitchen knife
8,Bean (green),Summer 2010,Belgium,Belgium,30 beans chosen from a box,"Removal of non-edible parts at both ends, cubes from appr. 30 beans"
9,Blackberry,Summer 2008,a,a,50 berries chosen from a box,"Cubes from blackberries, approx. 8 cubes / fruit"
10,Broccoli,Summer 2008,France,France,1 broccoli,"Removal of non-edible parts (stem),cubes cut and mixed"
11,Cabbage (green),Summer 2008,France,France,1 cabbage,"Removal of bottom end, slices and cubes,mixed"
12,Carrot,Summer 2008,Belgium,Belgium,3 chosen from a bundle,"Upper and lower ends were removed, cubes from un-peeled carrots"
13,Carrot (juice),Autumn 2010,Germany,Germany,"1 L,glass bottle","Juice was transferred to a beaker, aliquots weighed in centrifuge tubes"
14,Cheese (25% fat),Autumn 2010,Luxembourg,,"1 box,200g",Cottage cheese was stirred in a mortar and transferred to centrifuge tubes
15,Cheese (32% fat),Autumn 2010,Luxembourg,,"1 pack,250g","Dry cheese was sliced with a kitchen knife, then cubes were cut"
16,Cherry,Summer 2008,Luxembourg,,50 chosen from a box,"Removal of kernels, cutting and mixing of cubes"
17,"Corn, sweet",Summer 2008,,,2 from a box of 4 chosen,Sweet corn seeds were scraped from the trunk with a kitchen knife
18,Courgette,Summer 2008,Belgium,Belgium,2 chosen from a bag of 6,"Top and bottom end were removed,cubes cut and mixed"
19,Eggs (total),Autumn 2010,Netherlands,,3 from a box of 6 chosen,"Liquid inner parts of eggs transferred in a mortar, mixed and homogenized"
20,Endive (curly),Summer 2008,Belgium,Belgium,1 endive,"Removal of bottom end, slices and cubes from leaves (1 endive head)"
21,Grapefruit (pink),Autumn 2010,a,a,3 chosen from a bag of 7,"Peel and other non-edible fibrous parts removed, flesh cut into cubes"
