,0,1,2,3,4,5,6,7,8,9
0,Fatty Acida,14:0,14:0,14:1,16:0,16:1,18:0,18:1,18:2,18:3
1,Quality Grade,Ch,Se,Se,Se,Se,Se,Se,Se,Se
2,"Brisket,Point-half",0.27,0.15,0.140.07,2.031.33,0.600.38,0.920.62,3.942.63,0.290.23,0.040.01
3,Level of Significanceb,0.04,0.04,0.01,NS,NS,NS,NS,NS,NS
4,"Brisket,Flat-haf",0.19,0.12,0.010.07,1.561.07,0.420.31,0.710.48,3.002.00,0.240.21,0.030.02
5,Level of Significance,,NS,NS,NS,NS,NS,NS,NS,NS
6,Blade Roast,0.29,0.15,0.110.06,2.321.28,0.540.27,1.280.80,4.302.30,0.380.25,0.050.01
7,Level of Significance,0.02,0.02,NS,0.02,0.02,NS,0.01,0.02,0.02
8,Arm Pot Roast,0.16,0.07,0.070.04,1.380.71,0.330.16,0.700.41,2.611.25,0.260.20,0.020.00
9,Level of Signiticance,0.01,0.01,NS,0.01,0.01,0.01,0.01,0.02,NS
10,Rib Steak,0.380.24,0.380.24,0.150.08,2.00,0.650.39,1.531.24,5.003.25,0.390.28,0.060.02
11,Level of Significance,0.05,0.05,0.03,0.02,0.01,NS,0.01,0.01,0.01
12,Rib Roast,0.290.13,0.290.13,0.110.05,2.331.16,0.520.22,1.200.71,4.071.91,0.320.19,0.040.01
13,Level of Significance,0.01,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.02
14,Top Loin Steak,0.21,0.10,0.080.04,1.791.02,0.390.21,0.920.52,3.211.72,0.270.20,0.030.01
15,Level of Significance,0.01,0.01,0.05,0.02,0.03,0.02,0.03,NS,NS
16,Tenderloin Steak,0.27,0.17,0.100.06,2.191.50,0.420.27,1.250.97,3.702.37,0.350.29,0.050.02
17,Level of Signiticance,,NS,NS,NS,0.03,NS,0.05,NS,0.03
18,Top Sirloin Steak,0.14,0.07,0.090.04,1.330.79,0.290.15,0.690.50,2.461.37,0.270.24,0.020.00
19,Level of Significance,0.03,0.03,NS,0.01,0.01,NS,0.01,NS,NS
20,Round Tip Roast,0.130.07,0.130.07,0.050.05,1.24.0.70,0.260.12,0.620.39,2.231.13,0.240.17,0.020.00
21,Level of Significance,0.04,0.04,NS,0.02,0.01,0.02,0.01,0.03,0.04
22,Top Round Steak,0.120.05,0.120.05,0.060.03,1.150.54,0.250.10,0.560.32,2.090.90,0.230.17,0.020.00
23,Level of Sigriticance,0.03,0.03,NS,0.01,0.01,0.03,0.01,0.03,NS
24,Eye of Round Roast,0.16,0.08,0.070.04,1.460.83,0.330.16,0.680.44,2.641.35,0.230.17,0.020.10
25,Level of Significance,,NS,NS,0.04,0.02,NS,0.02,NS,NS
26,Bottom Round Roast,0.21,0.07,0.100.04,1.700.70,0.440.16,0.720.35,2.941.22,0.270.18,0.030.01
27,Level of Significance,,NS,NS,NS,NS,NS,0.04,NS,NS
28,Bottom Round Steak,0.22,0.10,0.100.06,1.81.0.99,0.480.23,0.840.54,3.451.78,0.300.24,0.040.01
29,Level of Sianilicance,NS,NS,NS,NS,0.04,NS,0.04,NS,NS
