,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,(s//o),,,,,,,11111,,,,,,1111m,1111m,,2,22,22
1,,,88'0,,,88'0,06'0,160,06'0,06'0,06'0,06'0,680,88'0,,,,,,08'0
2,,,00.0,,,900,,900,,005,00.4,,,,,800,900,,,
3,,,,,,,,,,,,3,,,,,,,4,
4,,,,,,,p 9900,,,1100,,,,800,000m,,,1100,,9000
5,,,,195,,,,,,,2se,,de,,,,,,,
6,%,,,195,,,,,,,2se,,280,,,,,,,
7,,,op9600,,,,POLO,,,,,op 8600,,0600,00000,000R,,J Zv0'0,,
8,%,,,418,,,,,,191,,09,,,,,,,,
9,,,,P08'0,,,,,,,9900,,0100,0000,0000,,0000,,,
10,,%,,,,,,,,,,88,,,,,,,,
11,,,180,122d,,,,,,,,,,080,,000,,,600,
12,%p,,,3 48'89,,,,,,,886,,,,,,,,,
13,,,P700,,q 6600,,,,,,,,00000,,,,89100,1100,q8 600'0,6000
14,,,,U,,,+,,,6o,1,,,,,,,,,
15,,,,,898,142,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,000,,,,,
17,,,,,,,,,,,,,,,,,,,1111m,
18,,,,,0,,,,,,,,0,,0,,,,,
19,,,,,,,,,2,,,,,,3,,,,,
