,0,1,2,3,4,5,6,7
0,,,,Vitamin D,,,"Vitamin K,",
1,,,,,% of label,,,% of label
2,Manufacturer,Brand,IU/100 kcal,IU/100 kcal,declaration,g/100 kcal,g/100 kcal,declaration
3,A,1 (6)**,6617,,106  28,19  4,,24150
4,,2 (4),7418,,11828,18  1,,226  17
5,B,3(11),74  12,,119 19,157,,16977
6,,4 (5),787,,126  11,123,,14039
7,,5(7),8411,,13518,194,,12127
8,C,611),68  13,,11422,29  6,,19440
9,,7(4),6617,,110 28,17 5,,206  60
10,,8(5),6112,,10219,20  2,,25121
11,D,9(5),70  12,,116  20,193,,12819
12,,104,662,,1104,134,,16055
13,,11(8),68  12,,11320,13  3,,166  42
