,0,1,2,3,4
0,Wines,cis-resveratrol,,trans-resveratrol,
1,,Concentration,S.D.,Concentration,S.D.
2,B-RS-1,0.10,0.02,2.96,0.08
3,B-M-1,0.15,0.02,3.78,0.06
4,B-M-2,0.19,0.00,3.95,0.36
5,B-M-3,0.08,0.02,0.65,0.02
6,B-M-4,0.15,0.03,1.85,0.03
7,B-RB-1,0.18,0.01,1.65,0.10
8,B-RB-2,0.19,0.01,1.25,0.09
9,B-RB-3,0.11,0.02,2.11,0.34
10,B-RB-4,0.16,0.03,2.80,0.23
11,B-RB-5,0.18,0.02,5.14,0.34
12,B-RB-6,0.07,0.04,1.97,0.28
13,B-RB-7,n.d.,,2.13,0.28
14,B-RB-8,0.12,0.08,1.14,0.41
15,B-RB-9,n.d.,,1.70,0.07
16,B-V-1,0.15,0.02,7.95,0.06
17,B-V-2,0.19,0.02,1.44,0.39
18,B-V-3,0.18,0.03,1.57,0.20
19,B-V-4,0.19,0.02,3.00,0.06
20,B-V-5,n.d.,,2.73,0.21
21,B-V-6,n.d.,,0.81,0.03
22,B-R-1,0.07,0.05,2.65,0.36
23,B-R-2,0.04,0.06,3.92,0.36
24,B-R-3,0.17,0.01,2.04,0.44
25,B-R-4,n.d.,,0.99,0.03
