,0,1,2,3,4,5,6,7,8
0,,,,,Fish Sauce a,,Soy sauce,Soy sauce,
1,,,Average value(x ),,Standard deviation (on),Standard deviation (on),,,
2,pH,,6.0,,,0.7,4.7,-4.9,-4.9
3,NaCl,g/a1),25.9,,,3.7,16.0,-18.0,-18.0
4,Total amino acids,g/d1),5.8,,,2.5,5.5,7.8,7.8
5,Glutamic acid,g/d1),0.90,,,0.45,0.9,-1.3,-1.3
6,Total organic acids (g/dl),Total organic acids (g/dl),1.24,,,1.00,1.4,-,2.1
7,Acctic acid,g/d1,0.87,,,1.13,0.1,,0.3
8,Lactic acid,g/d1),0.27,,,0.21,1.2,,1.6
9,Succinic acid,g/d1,0.10,,,0.08,0.04,-0.05,-0.05
10,Reducing sugar,g/d1),trace,c,,,1,-3,-3
11,Alcohol,g/d1,trace,c,,,0.5,-2,-2
