,0,1,2,3,4,5,6,7
0,Element,TORT-2,,NIST 1568a,,BCR-185R,,
1,,Obtained (mgkg-1),Certified (mg kg-),Obtained (mgkg-),Certifiedmgkg,Obtained (mgkg-1),,Certified (mg kg)
2,Al,-,,3.5  0.5,4.4  1.0,,1,
3,As,241,21.6  1.8,<LOD (0.54),0.29  0.03,<LOD (0.54),,0.0330.002
4,Cd,25.9  0.4,26.7  0.6,<LOD (0.027),0.022  0.002,<LOD(0.027),,0.544  0.017
5,Cr,0.64  0.03,0.77  0.15,,,,,
6,Cu,109.0  0.5,10610,2.55  0.08,2.4  0.3,2843,,2775
7,Fe,983,105 13,7.3  0.2,7.4  0.9,-,-,
8,Mn,12.7  0.2,13.6  1.2,18.5  0.3,20.0  1.6,10.7  0.2,,11.070.29
9,Mo,0.79  0.04,0.95  0.1,1.33  0.07,1.46  0.08,-,-,
10,Na,,,<LOD (10.6),6.6  0.8,-,-,
11,Se,6.8  0.6,5.63  0.67,<LOD (1.1),0.38  0.04,2.1  0.3,,1.68  0.14
12,Sr,473,45.2  1.9,,,-,-,
13,Zn,1821,1806,18.9  0.2,19.4  0.5,134 2,,138.6  2.1
