,0,1,2
0,Ginseng samples,Voucher,Localities
1,Chunpoonga,GB001,"Gochang, Korea"
2,Yunpoonga,GB002,"Gochang, Korea"
3,Gopoonga,GB003,"Gochang, Korea"
4,Sunpoonga,GB004,"Gochang, Korea"
5,Gumpoonga,GB005,"Gochang, Korea"
6,Sunwona,GBD048,"Daejeon, Korea"
7,K-1a,GBD201,"Gochang, Korea"
8,Damayab,GB090,Jilin China
9,Ermayab,GB091,Jilin China
10,Biantiaob,GB092,Jilin China
11,P. quinquefolius,GB099,Wisconsin USA
12,P. quinquefolius,GB100,"Minnesota, USA"
13,P. quinquefolius,GB102,"Shandong, China"
14,P. quinquefolius,GB103,"Daejeon, Korea"
15,P. quinquefolius,GB105,"Jilin, China"
