,0,1,2,3,4,5,6,7,8,9,10
0,Sub-genome,Element (mg/100 g),Element (mg/100 g),,,,,,,,
1,group,K,N,Mg,P,Ca,Fe,Mn,Zn,B,Cu
2,Sucrier,1180,156  18,130  14,65  16,20  2,2.17  0.23,0.92  0.25,0.67  0.04,0.63  0.08,0.31  0.11
3,,230(66)b,(5)ef,4)ac,5bc,(0.54)cd,(0.07)b,(0.07)c,(0.01)ab,(0.02)bc,(0.03)b
4,Inarnibal,1490  81,304  4,126  9,109  2,13  0.52,2.43  0.10,1.54  0.04,0.90  0.00,1.01  0.02,0.44  0.01
5,,(33)de,(2abf,4abc,0.77)e,(0.21)a,(0.04)ab,(0.02)abc,(0.00)cd,(0.01)d,(0.00)a
6,Cavendish,1260  97,461  164,132  13,68  12(1)c,(0.49)bc,2.58  0.36,1.38  0.69,0.80  0.09,0.62  0.27,0.40  0.09
7,,(9)cf,(16)cd,(1)a,,(0.49)bc,(0.03)a,(0.07)a,(0.01)e,(0.03)b,(0.01)a
8,Red,1350  26,572  22,1415,56  0.96,33  0.88,2.09  0.07,1.99  0.18,0.78  0.05,0.48  0.07,0.44  0.04
9,,11ac,(9)dg,(2)d,(0.39)ab,(0.36),(0.03)b,(0.07)bd,(0.02)e,(0.03)e,(0.01)a
10,Lakatan,1440  16,399  11,138  3,50  1,15  0.39,2.45  0.17,1.80  0.06,0.66  0.02,0.47  0.05,0.41  0.01
11,,(7)ade,4abc,1)ad,(0.58a,(0.16)ab,(0.07)ab,(0.02)aba,(0.01)ab,(0.02)e,(0.00)ac
12,Pome synthetic,1340  6,641  23,145 3,85  4(2)d,34  0.46,2.45  0.05,1.49  0.01,1.06  0.04,0.87  0.06,0.42  0.02
13,hybrid,(3)ac,(9)8,(1)d,,(0.19),(0.02)ab,(0.00)abc,(0.02)f,(0.02)ad,(0.01)a
14,Goldfinger,1420 ,489  180,138  10,87  23(5)d,24  1,2.51  0.40,2.35  1,0.71  0.05,0.75  0.18,0.34  0.10
15,selection,170(35)ad,(37)cd,(2)d,,(0.33)ef,(0.08)a,(0.27)d,(0.01)b,(0.04)ac,(0.02)bc
16,Synthetic,1550  40,236  54,1185,129  4(2)f,18  0.74,3.47  0.11,1.57  0.05,0.97  0.01,0.76  0.04,0.39  0.01
17,hybrid,(17)e,(22)aef,(2)b,,(0.30)abc,(0.05)c,(0.02)abc,(0.00)df,(0.02)abed,(0.00)abc
18,Pome,1120  60,336  220,125  8,65  9(3)bc,27  3,2.39  0.29,1.56  0.09,0.87  0.05,0.85  0.22,0.38  0.13
19,,(17)b,(64)ab,(2bc,,(0.72)f,(0.08)ab,(0.03)abc,(0.01)c,(0.06)ad,(0.04)abc
20,Sukali Ndizi,772  6,108  12,1031,47  3(1)a,23  1,2.59  0.27,1.81  0.05,0.62  0.02,0.75  0.08,0.15  0.01
21,,(3)8,(5)e,(0.48)e,,(0.51)de,(0.11)a,(0.02)abd,(0.01)a,(0.03)abc,(0.00)d
22,Mysore,1190  14,449  7,127  5,153  3(1)g,23  0.22,3.53  0.55,1.07  0.02,0.94  0.05,0.81  0.00,0.37  0.01
23,,(6)bf,3)bcd,2)abc,,(0.09)def,(0.22)c,(0.01)ac,(0.02)cd,(0.00)abcd,(0.00)abc
