,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Propylhexanoate[626-77-7],1098,,,-,,,-,,,4.6,,,,,,,4.7,,
1,Undecane [1120-21-4],1100,,-,0.6,0.7,1.1,1.5,0.8,0.8,,0.5,1.8,1.1,1.3,,,0.9,1.1,
2,Linalool[78-70-6],1101,,-,-,,1,,,,1.4,1.2,,,,,,1.4,,
3,2-Phenylethanol [60-12-8],1118,,-,-,0.3,1,0.6,0.5,0.4,0.4,0.4,,2.6,0.4,,,0.4,0.3,0.7
4,Cyclohexanoic acid ethylesterd [3289-28-9],1133,-,,,,0.5,,,,1.3,0.5,0.4,,,,,1.7,,
5,Benzylcyanide [140-29-4],1138,-,-,,,,0.2,0.5,0.3,,1,,0.8,,,,,,-
6,Hexanoic acid-2-methylpropylester[105-79-3],1146,,,,-,,-,,,0.4,,-,1,,,,0.9,,
7,Camphord [76-22-2],1147,-,-,-,-,-,-,-,-,0.7,,-,,-,,,0.7,,-
8,trans-2-Nonenal[2277-19-2],1161,0.3,,0.2,0.3,-,-,0.6,0.5,0.5,-,-,0.5,1.4,,,0.5,1.2,1.6
9,Benzylacetate [140-11-4],1162,,,,,-,-,,,,,,,-,,,,0.7,
10,4-Ethylphenol [123-07-9],1178,,,,,-,-,,0.3,,0.4,,,-,,,0.8,,
11,Octanoic acida [124-07-2],1179,0.3,1.7,0.4,0.6,0.3,-,0.2,0.5,0.8,-,0.4,-,0.4,,,0.8,,0.4
12,Naphthalene [91-20-3],1186,0.2,-,tr,tr,0.3,0.3,tr,0.2,-,0.5,-,1.3,,,,0.7,0.9,-
13,2-Decanone[693-54-9],1188,-,-,,-,-,-,-,,2.6,,-,,,,,1.7,,
14,2-Decanone[693-54-9],1196,,tr,,11,0.4,,tr,0.2,0.2,,,11,0.3,,,,tr,11
15,Octanoic acid ethylesterd [106-32-1],1197,,,,11,-,,tr,2.1,2.3,,,11,,,,2.4,,11
16,Dodecane[112-40-3],1200,,0.2,1,1.4,1.9,2.5,1.9,2.1,2.3,,3.7,2.3,2.4,,,,4.6,1.3
17,"(E,E)-2,4-Nonadienal [6750-03-4]",1222,tr,0.4,-,tr,-,tr,,tr,,,,,,,,,,
18,2-Phenoxyethanol [122-99-6],1245,,,,,,,,,1.3,-,,-,,,,,1.2,
19,2-Decenal [3913-81-3],1265,0.7,0-9,0.9,1.5,1,0.8,4.4,2,1.3,1.2,1.5,0.3,9.4,,,1.3,2.5,8
20,Nonanoic acid[112-05-0],1276,,0-9,,,,,,,=,,,,0.3,,,,,
21,n-Amylhexanoate[540-07-8],1282,-,0.3,-,,-,-,-,1,,,,,,,,,,
22,"(E,E)-2.4-Decadienalc [2515-84-5]",1318,-,,,,-,-,,1,,-,0.4,-,1.3,,,,1.1,1.1
23,2-Undecenal[2463-77-6],1376,-,,,,-,-,-,1,-,-,1,,1.3,,,,,0.8
24,n-Hexylhexanoate[6378-65-0],1379,-,,,,-,-,-,,,1,=,,,,,0.2,,
25,Glycerol [95-13-6],,25,,15.2,-,9.4,-,-,,,-,,-,,,,,,-
26,Pentandiol [42075-32-1],,,,,,1,=,0.6,,,,-,6.6,,,,,,11
27,p-Ethylguajacold [2785-99-9],,-,,-,0.3,0.6,0.7,0.6,-,0.3,,,,,,,,,11
28,Ethylpentanoated [539-82-2],,,,1,-,,,-,,0.7,0.3,,,-,,,0.7,,
29,Propylvalerated [141-06-0],,,,-,-,,-,-,,2.2,,1,-,,,,2.2,-,
30,Unidentified hydrocarbon,,,-,,,1,-,-,-,,1.7,24.5,1,,,,2.2,1,1
31,2.5-Furandione.3.4-dimethyl[766-39-2],,,-,0.7,0.3,0.4,0.5,0.4,,0.6,-,,-,0.6,,,0.7,1.2,0.9
32,Isoamylbutyrate [106-27-4],,,,,-,,,,-,1.5,-,-,1,0.4,,,,,
33,Tetramethylpyrazine [1124-11-4],,,-,-,-,,-,-,-,0.4,5.7,-,1,tr,,,0.4,-,1
34,Pentanoicacid butylesterd [591-68-4],,,,1,,1,,-,,2.3,,,-,,,,,-,1
