,0,1,2,3
0,"Aishah, M.S., Rosli, W.W.I., 2013. Effect of different drying techniques on the",,"Chang,S.T.,Miles,P.G.,2004.Pp.27-37.:CRC.Mushrooms Cultivation,Nutritional",
1,nutritional values of oyster mushroom (Pleurotus sajor-caju). Sains Malaysiana,,"Value,Medicinal Effect,and Environmental Impact.CRC Press/Balkema,Boca",
2,"42,937-941.","42,937-941.","Raton,United States of America","Raton,United States of America"
3,"Akindahunsi,A.A.Oyetayo,F.L.2006.Nutrient and antinutrient distribution of",,"Chen, J., Mao, D., Yong, Y., Li, J., Wei, H., Lu, L., 2012a. Hepatoprotective and",
4,"edible mushroom,Pleurotus tuber-regium(friessinger.LWT-Food Sci.Technol.",,hypolipidemic effects of water-soluble polysaccharidic extract of Pleurotus,
5,"39,548-553","39,548-553","eryngii. Food Chem. 30, 687-694","eryngii. Food Chem. 30, 687-694"
6,"Akram, K., Ahn, J.J., Yoon, S.R., Kim, G.R., Kwon, J.H., 2012. Quality attributes of",,"Chen, S.Y., Ho, K.J., Hsieh, Y.H., Wang, L.T., Mau, J.L., 2012b. Contents of lovastatin,",
7,"Pleurotus eryngii following gamma irradiation.Postharvest Biol.Technol.66,",,Y-aminobutyric acid and ergothioneine in mushroom fruiting bodies and,
8,,42-47.,"mycelia.LWT-Food Sci.Technol.47,274-278","mycelia.LWT-Food Sci.Technol.47,274-278"
9,"Akyiiz, M., Kirbag, S., 2010. Nutritive value of wild edible and cultured mushrooms.",,"Chen, J., Yong. Y., Xia, X., Wang, Z., Liang. Y., Zhang, S., Lu, L., 2014. The excreted",
10,"Akyiz, M., Kirbag,S., Li, Y.R., Liu, Q.H., Wang, H.X., Ng, T.B., 2010. A novel lectin with","Turk.J.Biol.34,97-102.",polysaccharide of Pleurotus eryngii inhibits the foam-cell formation via down-,
11,"Akyiz, M., Kirbag,S., Li, Y.R., Liu, Q.H., Wang, H.X., Ng, T.B., 2010. A novel lectin with",,"regulation of CD36. Carbohydr. Polym. 112, 16-23.","regulation of CD36. Carbohydr. Polym. 112, 16-23."
12,"potent antitumor,mitogenic and HIV-1 reverse transcriptase inhibitory",,"Chen, R.R.,Liu,Z.K., Liu, F.,Ng,T.B.,2015.Antihyperglycemic mechanisms of an",
13,activities from the edible mushroom Pleurotus citrinopileatus. Biochimica et,,aceteoside polymer from rose flowers and a polysaccharide?protein complex,
14,"Biophysica Acta (BBA)-General Subjects 1780,51-57","Biophysica Acta (BBA)-General Subjects 1780,51-57","from abalone mushroom.Nat.Prod.Res.29,558-561","from abalone mushroom.Nat.Prod.Res.29,558-561"
15,"Alam,N.,Amin,R.,Khan,A.,Ara, I.,Shim,M.J., Lee,M.W.,Lee,T.S.,2008.Nutritional",,"Cheung,P.C.K.,2008.Mushrooms as Functional Foods Hoboken.JohnWiley & Sons,",
16,"analysis of cultivated mushrooms in Bangladesh-Pleurotus ostreatus,Pleurotus",,"Inc.,NY,USA.","Inc.,NY,USA."
17,"sajor-caju,Pleurotus florida and Calocybe indica. Mycobiology 36,228-232",,"Chirinang,P.,Intarapichet,K.,2009.Amino acids and antioxidant properties of the",
18,"Alam, N., Yoon, K.N., Lee, K.R., Shin, P.G., Cheong, J.C., Yoo, Y.B., Shim, J.M., Lee, M.W.,",,"oyster mushrooms, Pleurotus ostreatus and Pleurotus sajor-caju. ScienceAsia 35,",
19,"Lee,U.Y.,Lee,T.S.,2010.Antioxidant activities and tyrosinase inhibitory effects",,326-331,326-331
20,"of different extracts from Pleurotus ostreatus fruiting bodies.Mycobiology 38,",,"Choi,J.H.,Kim,H.G.,Jin,S.W.,Han,E.H.,Khanal,T.,Do, M.T.,Hwang,Y.P.,Choi, J.M.",
21,295-301.,295-301.,"Chun,S.S.,Chung,Y.C.,Jeong,T.C.,Jeong,H.G.,2013.Topical application of",
22,"Alam,N.,Yoon,K.N.,Lee,J.S.,Cho,H.J.,Shim,M.J.,Lee,T.S.,2011.Dietary effect of",,"Pleurotus eryngii extracts inhibits 2, 4-dinitrochlorobenzene-induced atopic",
23,Pleurotus eryngii on biochemical function and histology in,Pleurotus eryngii on biochemical function and histology in,dermatitis in NC/Nga mice by the regulation of Th1/Th2 balance. Food Chem.,
24,"hypercholesterolemic rats.Saudi J.Biol.Sci.18,403-409","hypercholesterolemic rats.Saudi J.Biol.Sci.18,403-409","Toxicol.53,38-45","Toxicol.53,38-45"
25,"Alananbeh,K.M.,Bouqellah,N.A.,Al Kaff,N.S.,2014.Cultivation of oyster mushroom",,"Correa, R.C., de Souza, A.H., Calhelha, R.C., Barros, L., Glamoclija, J., Sokovic, M.,",
26,Pleurotus ostreatus on date-palm leaves mixed with other agro-wastes in Saudi,,"Peralta, R.M., Bracht, A., Ferreira, I.C., 2015. Bioactive formulations prepared",
27,"Arabia.Saudi J.Biol.Sci.21,616-625","Arabia.Saudi J.Biol.Sci.21,616-625",from fruiting bodies and submerged culture mycelia of the Brazilian edible,
28,"Anandhi, R., Annadurai,T.,Anitha, T.S., Muralidharan,A.R., Najmunnisha, K.",,"mushroom Pleurotus ostreatoroseus Singer.Food Funct.6, 2155-2164.",
29,"Nachiappan,V.,Thomas,P.A.,Geraldine,P.,2013.Antihypercholesterolemic and",,"Cui, H., Wu, S., Sun, Y., Wang, T., Li, Z., Chen, M., Wang, C., 2016. Polysaccharide from",
30,"antioxidative effects of an extract of the oyster mushroom,Pleurotus ostreatus,",,Pleurotus nebrodensis induces apoptosis via mitochondrial pathway in HepG-2,
31,"and its major constituent, chrysin, in Triton WR-1339-induced","and its major constituent, chrysin, in Triton WR-1339-induced","cells.Food Funct.7,455-466.","cells.Food Funct.7,455-466."
32,"hypercholesterolemic rats.J.Physiol.Biochem.69,313-323.","hypercholesterolemic rats.J.Physiol.Biochem.69,313-323.","Da Paz, M.F., Breyer, C.A., Longhi, R.F., Oviedo, M.S.V., 2012. Determining the basic",
33,"Ancona, L., Sandoval, C.A., Belmar, R., Capetillo,C.M., 2005.Effect of substrate and",,composition and total phenolic compounds of Pleurotus sajor-caju cultivated in,
34,harvest on the amino acid profile of oyster mushrooms (Pleurotus ostreatus).J.,,"three different substrates by solid state bioprocess.J.Biotechnol.Biodivers.3,",
35,"Food Compos.Anal.18,447-450","Food Compos.Anal.18,447-450",,11-14
36,"Ashraf, J., Ali, M.A., Ahmad, W., Ayyub, C.M., Shafi, J., 2013. Effect of different",,"Da Silva, M.C.S., Naozuka, J., Da Luz, J.M.R., De Assuncao, L.S., Oliveira, P.V., Vanetti,",
37,substrate supplements on oyster mushroom (Pleurotus spp.) production. Food,,"M.C.D.,et al.,2012.Enrichment of Pleurotus ostreatus mushrooms with selenium",
38,"Sci.Technol.1, 44-51.","Sci.Technol.1, 44-51.","in coffee husks.Food Chem.131,558-563.","in coffee husks.Food Chem.131,558-563."
39,"Banfi, R., Pohner, Z., Kovacs, J., Luzics, S., Nagy, A., Dudas, M., Tanos, P., Marialigeti, K.,",,"Da Silva, M.C.S., Nunes, M.D., Da Luz, J.M.R., Kasuya, M.C.M., 2013. Mycelial growth of",
40,"Vajna, B., 2015. Characterisation of the large-scale production process of oyster",,"Pleurotus spp: in Se-enriched culture media.Adv.Microbiol.3,11-18.",
41,mushroom (Pleurotus ostreatus) with the analysis of succession and spatial,,"Dalonso,N.,Goldman,G.H.,Genr,R.M.M.,2015.-13,16-Glucans",
42,"heterogeneity of lignocellulolytic enzyme activities. Fungal Biol. 119, 13541363.",,"medicinal activities, characterization, biosynthesis and new horizons. Appl.",
43,"Baggio, C.H.,Freitas, C.S., Martins,D.F., Mazzardo,L., Smiderle, F.R., Sassaki, G.L.",,"Microbiol.Biotechnol.99,7893-7906","Microbiol.Biotechnol.99,7893-7906"
44,"Iacomini, M., Marques, M.C.A., Santos, A.R.S., 2010. Antinociceptive effects of (1",,"Day,L.,2013.Proteins from land plants-Potential resources for human nutrition and",
45,31-6-linked -glucan isolated from Pleurotus pulmonarius in models of,,"food security.Trends Food Sci.Technol.32,25-42","food security.Trends Food Sci.Technol.32,25-42"
46,acute and neuropathic pain in mice: evidence for a role for glutamatergic,,"De Assuncao, L.S., Da Luz, J.M.R., Da Silva, M.D.C.S., Vieira, P.A.F., Bazzolli, D.M.S.",
47,"receptors and cytokine pathways.J.Pain 11,965-971","receptors and cytokine pathways.J.Pain 11,965-971","Vanetti,M.C.D.,Kasuya,M.C.M.,2012.Enrichment of mushrooms: an interesting",
48,"Baggio, C.H., Freitas, C.S., Marcon, R., Werner, M.F.P., Rae, G.A., Smiderle, F.R., Sassaki,",,"strategy for the acquisition of lithium. Food Chem. 134, 1123-1127.",
49,"G.L., Iacomini, M., Marques, M.C.A., Santos, A.R.S., 2012. Antinociception of -d-",,"Deepalakshmi,K.,Mirunalini,S.2014.Pleurotus ostreatus: an oyster mushroom",
50,glucan from Pleurotus pulmonarius is possibly related to protein kinase C,,"with nutritional and medicinal properties. J. Biochem. Technol. 5, 718726.",
51,"inhibition. Int. J. Biol. Macromol. 50, 872-877.","inhibition. Int. J. Biol. Macromol. 50, 872-877.","Devi, S.K.P.,Roy,B.,Patra,P.,Sahoo,B.,Islam,S.S., Maiti,T.K.,2013.Characterization",
52,"Bergendiova, K.,Tibenska,E., Majtan, J.,2011.Pleuran -glucan from Pleurotus",,and lectin microarray of an immunomodulatory heteroglucan from Pleurotus,
53,"ostreatus) supplementation, cellular immune response and respiratory tract",,"ostreatus mycelia.Carbohydr.Polym.94,857-865.","ostreatus mycelia.Carbohydr.Polym.94,857-865."
54,"infections in athletes. Eur. J. Appl. Physiol. 111, 2033-2040.","infections in athletes. Eur. J. Appl. Physiol. 111, 2033-2040.","Devika,R.,Elumalai, S.,Manikandan,E.,Eswaramoorthy,D.2012.Biosynthesis of",
55,"Bernas, E., Jaworska, G., 2010. Comparison of amino acid content in frozen P:",,silver nanoparticles using the fungus Pleurotus ostreatus and their antibacterial,
56,ostreatus and A.bisporus mushrooms.ACTA Scientiarum Polonorum,,"activity.Open Access Sci.Rep.1,1-5.","activity.Open Access Sci.Rep.1,1-5."
57,"Technologia Alimentaria 9,295-303","Technologia Alimentaria 9,295-303","Dundar,A.,Acay,H.,Yildiz,A.,2009.Effect of using different lignocellulosic wastes",
58,"Bhat, R., Sharanabasava, V.G., Deshpande, R., Shetti, U., Sanjeev, G., Venkataraman,",,for cultivation of Pleurotus ostreatus (Jacq.)P Kumm.on mushroom yield,
59,"A.,2013.Photo-bio-synthesis of irregular shaped functionalized gold",,"J.Biotechnol.8,662-666",
60,nanoparticles using edible mushroom Pleurotus florida and its anticancer,,"Ebigwai, J.K., Edu, E.A., Itam, E.H., Mofunanya, A.J., 2012. Activity of crude cold-water",
61,"evaluation.J.Photochem.Photobiol.B 125,63-69.","evaluation.J.Photochem.Photobiol.B 125,63-69.","extract of the culinary-medicinal oyster mushroom, Pleurotus ostreatus (Jacq.:",
62,"Bhatia,P.,Prakash, R.,Prakash,N.T.,2013a.Selenium uptake by edible oyster",,"Fr.)P. Kumm.(higher Basidiomycetes),and timolol maleate on induced ocular",
63,mushrooms (Pleurotus sp.) from selenium-hyperaccumulated wheat straw.J.,,"hypertension. Int.J. Med. Mushrooms 14,467-470","hypertension. Int.J. Med. Mushrooms 14,467-470"
64,"Nutr. Sci. Vitaminol. (Tokyo) 59, 69-72.","Nutr. Sci. Vitaminol. (Tokyo) 59, 69-72.","El Enshasy,H.A.,Hatti-Kaul,R.,2013.Mushroom immunomodulators:unique",
65,"Bhatia, P., Aureli, F., D'Amato, M., Prakash, R., Cameotra, S.S., Nagaraja, T.P., Cubadda,",,"molecules with unlimited applications.Trends Biotechnol.31,1-10.",
66,"F.,2013b.Selenium bioaccessibility and speciation in biofortified Pleurotus",,"El-Fakharany, E.M., Haroun, B.M., Ng, T.B., Redwan, E.R., 2010. Oyster mushroom",
67,mushrooms grown on selenium-rich agricultural residues.Food Chem.140,,laccase inhibits hepatitis Cvirus entry into peripheral blood cells and hepatoma,
68,225-230.,225-230.,"cells.Protein Pept.Lett.17,1031-1039","cells.Protein Pept.Lett.17,1031-1039"
69,"Bobovak,M.,Kuniakova,R.,Gabriz,JMajtan,J.2010.Effect of Pleuran-glucan",,"Erjavec, J., Kos, J., Ravnikar, M., Dreo, T., Saboti, J., 2012. Proteins of higher fungi-",
70,from Pleurotus ostreatus) supplementation on cellular immune response after,,"from forest to application.Trends Biotechnol.30,259-273.",
71,"intensive exercise in elite athletes. Appl. Physiol. Nutr. Metab. 35, 755-762.",,"FAO,2011.Dietary Protein Quality Evaluation in Human Nutrition.(Retrieved",
72,"Bonatti,M., Karnopp,P., Soares,H.M.,Furlan, S.A., 2004.Evaluation of Pleurotus",,"December 15,2015 from: http://www.fao.org/documents/card/es/c/ab5c9fca",
73,ostreatus and Pleurotus sajor-caju nutritional characteristics when cultivated in,,dd15-58e0-93a8-d71e028c8282/).,dd15-58e0-93a8-d71e028c8282/).
74,"different lignocellulosic wastes.Food Chem.88,425-428","different lignocellulosic wastes.Food Chem.88,425-428","FAOSTAT.(2016.Retrieved April 25,2016 from:http://faostat.fao.org/site/567/",
75,"Caz,V.,Gil-Ramirez,A.,Largo,C.,Tabernero,M.,Santamaria,M.,Martin-Hernandez",,default.aspx#ancor.,default.aspx#ancor.
76,"R., Marin, F.R., Reglero, G., Soler-Rivas, C., 2015. Modulation of cholesterol-",,2015 from: http://www.fda.gov/Food/GuidanceRegulation/,
77,related gene expression by dietary fiber fractions from edible mushrooms. J.,,2015 from: http://www.fda.gov/Food/GuidanceRegulation/,
