,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,NEAA,,,,,,,,,EAA,,,,,,
1,,genera,Asp,Ser,Glu,Gly,His,Arg,Ala,Pro,Tyr,Thr,Val,Met,Lys,Ile,Leu,Phe
2,brown,Adenocystis,11.0,7.62,18.8,7.17,2.31,6.36,8.07,5.78,4.40,5.24,6.50,2.18,8.34,5.40,8.10,4.80
3,,Lessonia,10.5,6.78,14.9,6.10,1.90,4.31,6.21,4.57,3.34,4.72,5.00,1.49,6.26,3.71,5.81,3.74
4,,Macrocystis,9.75,5.31,13.3,5.87,2.07,4.47,8.73,4.51,2.58,4.65,5.33,1.81,8.09,4.06,6.33,4.35
5,red,Ceramium,8.43,4.74,12.7,5.17,1.46,9.21,5.64,4.40,3.16,4.47,5.56,1.55,7.40,4.18,6.18,3.98
6,,Heterosiphonia,9.01,4.50,11.8,4.75,1.44,5.76,5.97,4.22,2.89,4.24,5.10,1.50,5.98,4.39,6.06,3.85
7,,Iridaea,10.0,5.25,10.1,5.33,1.64,8.80,6.52,4.65,2.65,4.89,5.74,1.72,7.58,5.08,6.97,4.46
8,,Gigartina,12.6,7.35,18.5,6.97,2.24,9.43,8.82,6.79,1.62,6.09,7.53,1.91,9.71,5.73,8.60,5.89
9,,Mazzaella,9.72,9.70,12.3,8.23,2.29,6.68,8.98,5.07,2.90,5.16,5.70,1.15,5.87,4.33,5.83,3.97
10,,Nothogenia,9.16,5.53,12.5,5.96,2.09,6.38,6.61,4.88,3.81,4.40,5.42,1.49,7.30,4.16,5.75,4.15
11,,Polysiphonia,8.26,4.09,13.6,3.57,1.26,4.57,4.59,3.54,2.57,3.61,4.21,1.50,6.05,4.15,5.52,3.41
12,,Porphyra,9.38,5.29,13.6,6.63,1.60,7.16,9.62,4.80,2.99,4.95,6.12,1.09,6.49,3.97,6.42,3.71
13,,Sarcothalia,8.16,4.41,13.6,4.53,1.43,7.57,6.05,4.19,2.14,4.00,4.71,1.29,7.45,3.99,5.79,3.85
14,green,Ballia,9.22,5.37,18.2,7.18,2.19,6.42,6.83,4.09,3.51,4.26,5.06,1.61,9.80,3.75,5.50,3.74
15,,Cladophora,8.92,7.08,11.0,6.07,2.11,4.79,7.69,6.23,3.12,5.10,5.80,1.08,6.46,4.22,6.06,4.13
16,,Codium,10.9,6.26,19.0,6.14,1.80,4.82,7.50,4.97,1.80,5.35,6.71,1.78,6.59,4.64,7.25,4.84
17,,Enteromorpha,9.77,6.62,14.5,7.34,1.83,5.68,7.53,5.07,3.08,5.24,5.74,1.02,6.12,4.39,6.31,4.69
18,,Monostroma,9.87,5.58,13.2,10.1,2.55,5.35,8.43,5.57,3.61,4.67,5.92,1.11,6.58,4.42,6.36,4.36
19,,Ulva,9.99,5.56,11.8,6.07,1.75,5.24,7.92,4.39,2.34,4.75,5.83,1.59,4.84,3.86,5.46,4.32
20,p (sig),,0.187,0.009,0.005,0.087,0.012,0.003,0.041,0.209,0.054,0.264,0.157,0.012,0.057,0.072,0.067,0.023
21,red,,9.57,6.06,13.3a,6.49,1.79,7.24b,7.67,4.91,2.88a,4.90,5.91,1.28a,6.84ab,4.26,6.38a,4.02a
22,green,,9.80,6.22,13.7a,6.79,1.89,5.37a,7.67,4.99,2.79a,5.02,5.84,1.30a,5.99a,4.20,6.07a,4.46b
23,brown,,10.6,6.90,16.8b,6.67,2.18,5.55a,7.93,5.26,3.77b,5.01,5.96,1.97b,7.93b,4.78,7.27b,4.51b
24,p (sig)*,,0.315,0.240,0.018,0.554,0.055,0.000,0.380,0.687,0.183,0.889,0.745,0.033,0.035,0.380,0.046,0.013
