,0,1,2,3,4,5,6,7,8,9,10
0,Traits,M100G,Length,L*,a*,CT,P,Mg,Fe,Zn,Cu
1,M100G,-0.138,0.114,1.007,0.547,0.001,0.122,0.045,0.040,0.074,0.087
2,Length,0.128,0.009,0.331,0.872,0.236,0.039,0.090,0.152,0.046,0.066
3,L*,0.855,0.142,0.002,0.218,0.512,0.096,0.102,0.014,0.094,0.067
4,a*,0.350,0.147,0.017,0.055,0.816,0.158,0.266,0.054,0.176,0.149
5,CT,0.446,0.963,0.004,0.005,0.029,0.284,0.067,0.302,0.021,0.274
6,P,0.040,0.153,0.034,0.026,0.131,0.011,0.393,0.302,0.835,0.604
7,Mg,0.189,0.318,0.006,0.006,0.038,0.925,0.371,0.135,0.160,0.145
8,Fe,0.095,0.043,0.012,0.021,0.057,0.005,0.343,0.989,0.204,0.178
9,Zn,0.097,0.113,0.022,0.006,0.124,0.009,0.620,0.118,0.550,0.733
10,Cu,0.225,0.163,0.000,0.002,0.059,0.222,0.632,0.202,0.148,0.385
