,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,(/xoon WsAV,,100,,,,,,,,60'0,600,10.0,60'0,,,,,,
1,,,,100,,,,,,,,+,+1,+1,+1,+1,,+1,,,+
2,,(/xoon WsAV,,,,,,,,,,212,,,,,,8,,,
3,,(T/AV 8W) dL,,,,,,,,,,960,205,044,,,,117,,860,
4,,(T/AV 8W) dL,,,,,,,,,,960,,+1,,,+,+1,,+1,
5,,(T/AV 8W) dL,,,,,,,,,,,1118,11114,,,14120,,,,
6,,8/3WDd,02.0,,,,111,,,,,00,012,,110,014,071,012,,,
7,,8/3WDd,+,,,,111,,,,,00,+,+1,+1,+1,+1,+1,,+1,
8,ME,8/3WDd,,,,,,,,,,,1118,,,,,2,,8,
9,ME,8/3WDd,,,,,,,,,,,1118,,,2,,,,,
10,,/V,,,,30.01,,115,20.07,,,,,,,,,,,,
11,,,,,+,,,,,,,,,,,+1,,,,,+
12,,,,,,,,,,,,,,,,,,,,,
13,,,,,,30.01,,,20.07,,,,,,,,,5,,2,
14,,T/AV 8W) DdL,,86'0,05.2,011,,,,,18.4,,,,,,,,,103,103
15,,T/AV 8W) DdL,4,+1,,+1,+1,,,,+1,+1,+1,+/,+1,+1,T,,,+1,+
16,,T/AV 8W) DdL,,,,,,,,,,,,688,,,,,,,
17,,8/3wd,00,,,,,,,,,014,,,042,,,,ST,,
18,,,,,,,,,,,,,,,,,,,,49,
19,,8/3wd,00,,,,,,,,,+1,+1,+1,+1,+1,+1,+1,,+1,+
20,,8/3wd,,,6044,,,,,,,,1446,F,,,,,,8,
21,,/xon  SLAV,,,,000,990,,,,00'0,012,900,,,0,,,,,89'0
22,,,,,,000,990,,,4,+1,+1,+1,+1,+1,+1,+1,+1,,+1,+
23,,/xon  SLAV,200,3,4711,,,,,,,,,,2,,,80,,,
24,,,,3,4711,,,,,,,,,,,,3,,,,
25,,T/ZVD 3W) DdL,,,,,,,,,,,,,,,,$60,,5,
26,,T/ZVD 3W) DdL,,,,,,,,,,,+,+1,+,+,+1,+,,+1,
27,,T/ZVD 3W) DdL,,,,,,,,,,,,1112,,,,,,,
28,,8/8w) Dd,,,,,,,111,,,11,114,,98'0,11'1,040,180,,11'8,090
29,,8/8w) Dd,,+1,,+1,,,111,,,+1,+1,+1,+1,+1,+1,+1,,+I,+I
30,,8/8w) Dd,,,,,,,,,,,14,1174,,18'1,,,,2,
31,,8/8w) Dd,,,,,,,,,,,,1174,,18'1,,,,33,33
32,,,,,,,,,,,,89,,,,,,,,,
33,,,,,,,,,,,,,,,0,0,,,,0.00,
34,,,,,,,,,89,,,,,,,,,,,,
