,0,1,2,3,4,5
0,Food group,,,,,
1,,Mean,Mina,Maxb,P95c,>LOQa (%)
2,Cereals and cereal products,0.027,0.020,0.045,0.040,100
3,,0.073,0.031,0.217,0.175,100
4,,0.015,0.010,0.020,0.020,50
5,,0.040,0.020,0.095,0.084,60
6,,0.085,0.010,0.148,0.132,60
7,,0.042,0.020,0.088,0.058,100
8,,0.046,0.020,0.316,0.115,83
9,,0.047,0.020,0.316,0.084,71
10,Cooked dishes and snacks,0.054,0.023,0.121,0.107,100
11,,0.054,0.010,0.085,0.069,57
12,,0.054,0.035,0.085,0.080,100
13,,0.021,0.010,0.039,0.031,87
14,Dairy products,0.021,0.010,0.039,0.031,32
15,,0.021,0.010,0.122,0.036,37
16,,0.056,0.020,0.122,0.102,88
17,,0.025,0.010,0.122,0.053,41
18,Drinks,0.067,0.010,0.153,0.126,80
19,,0.020,0.010,0.045,0.034,43
20,,0.021,0.010,0.043,0.037,39
21,,0.025,0.010,0.153,0.069,23
22,,0.030,0.010,0.092,0.076,41
23,Eggs and egg products,0.038,0.037,0.040,0.056,57
24,Tofu,0.067,0.020,0.206,0.168,100
25,Fat and oil,0.067,0.020,0.206,0.168,100
26,,0.042,0.024,0.062,0.059,100
27,,0.036,0.010,0.020,0.020,45
28,,0.034,0.010,0.206,0.069,45
29,Fish and fish products,0.234,0.010,1.310,0.060,70
30,,0.234,0.047,1.310,0.559,100
31,,0.123,0.010,1.310,0.463,83
32,Fruits and vegetables,0.038,0.020,0.063,0.059,24
33,,0.021,0.010,0.081,0.052,24
34,,0.021,0.010,0.057,0.047,27
35,,0.016,0.010,0.027,0.024,35
36,,0.028,0.020,0.057,0.046,13
37,,0.024,0.020,0.057,0.057,67
38,,0.024,0.023,0.033,0.057,33
39,Ice cream,0.028,0.023,0.033,0.032,100
40,Meats and offal,0.070,0.023,0.293,0.126,100
41,,0.033,0.010,0.062,0.056,75
42,,0.033,0.020,0.062,0.056,75
43,,0.040,0.010,0.293,0.099,59
44,,0.040,0.010,0.293,0.099,59
45,"Salt, spices, soup and sauces",0.027,0.010,0.067,0.057,50
46,,0.097,0.020,0.314,0.260,65
47,"Sweeteners, honey and confectionery",0.051,0.010,0.314,0.161,65
48,"Sweeteners, honey and confectionery",0.080,0.020,0.238,0.227,90
49,,0.057,0.010,0.238,0.217,38
50,,0.057,0.010,0.238,0.217,67
