,0,1,2,3,4,5,6,7
0,Components,Un-spiked,,Spiked,,Spike Concentration (mg L-1),% Spike Recovery,
1,,Sample,,Sample,,,,
2,,(mg L-1,,(mg L-1),,,,
3,,Mean,SD,Mean,SD,,Mean,SD
4,Naphthalene,3.46,1.75,529.27,36.67,500,105%,7%
5,Acenaphthylene,0.16,0.23,507.02,6.56,500,101%,1%
6,Acenaphthene,0.16,0.22,570.12,10.23,500,114%,2%
7,Fluorene,0.00,0.00,480.25,50.16,500,96%,9%
8,Phenanthrene,0.00,0.00,466.45,47.33,500,93%,3%
9,Anthracene,0.00,0.00,453.27,13.39,500,91%,3%
10,Fluoranthene,0.00,0.00,474.59,66.64,500,95%,13%
11,Pyrene,0.00,0.00,485.29,24.08,500,96%,5%
12,Benzo[c]phenanthrene,0.00,0.00,481.79,25.96,500,96%,5%
13,Benz[a]anthracene,0.00,0.00,477.03,25.12,500,95%,5%
14,Chrysene,0.00,0.00,477.03,13.46,500,95%,3%
15,Benzo[e]pyrene,0.00,0.00,537.86,45.17,500,108%,9%
16,Benzo[k]fluoranthene,0.00,0.00,484.46,67.21,500,97%,13%
17,Benzo[b]fluoranthene,0.00,0.00,456.07,22.48,500,91%,3%
18,3-Methylcholanthrene,0.00,0.00,480.82,16.51,500,96%,3%
19,"Indeno[1,2,3-cd]pyrene",0.44,0.62,512.72,32.18,500,102%,6%
20,"Dibenz[a,h]anthracene",0.00,0.00,488.65,41.67,500,98%,8%
21,Benzo[ghi]perylene,0.00,0.00,482.89,42.50,500,97%,8%
22,"Dibenzo[a,h]pyrene",0.00,0.00,525.61,25.78,500,94%,5%
23,"Dibenzo(a,i)pyrene",0.00,0.00,470.86,34.50,500,94%,7%
24,"Dibenzo(a,l)pyrene",0.00,0.00,509.82,9.55,500,102%,2%
25,Benzo[a]pyrene,0.08,0.00,513.93,5.50,500,103%,1%
