,0,1,2,3,4,5,6,7,8,9,10
0,,Nutritive Aspects,Linear Regressions,Linear Regressions,,,,,,Multivariate regression,Multivariate regression
1,,,CEC,pH,Moisture Capacity,Texture,Nutrient Avail.,Nutrient Retent.2,Toxicity,adjusted r2,P
2,Proximate Analyses,Water (fruit),0.23,0.15,-0.14,0.06,0.15,-0.14,0.06,,
3,,Energy,0.791**,0.24,0.27,0.536*,0.44,0.28,0.529*,0.68,0.0001
4,,Crude Protein,0.522**,0.03,0.31,0.11,0.33,0.29,0.31,0.37,0.0026
5,,Actual Protein,0.05,0.26,0.12,0.13,0.20,0.24,-0.41,,
6,,All Protein,0.388**,0.06,0.24,0.12,0.22,0.19,0.22,0.14,0.0311
7,,Fat,-0.411**,-0.11,0.17,0.20,0.04,0.04,-C,0.17,0.0463
8,,All Fat,0.435**,0.17,0.19,0.22,0.06,0.07,0.00,0.16,0.0355
9,,Starch,0.46,0.22,0.54,0.55,0.03,0.01,0.01,0.69,0.0021
10,,Total Carboydrates,0.816**,0.36,0.43,0.458*,0.39,0.30,0.483*,0.72,0.0001
11,,Crude Fiber,0.470*,0.07,0.28,0.38,0.557**,0.537**,0.536**,0.37,0.0059
12,,Dietary Fiber,0.51,0.33,0.42,0.15,0.639*,0.34,0.23,0.95,0.0005
13,,Total Fiber,0.486**,-0.16,0.28,0.18,0.550**,0.461**,0.455**,0.41,0.0002
14,,Ash,0.37,0.00,0.32,0.21,0.12,0.14,0.12,,
15,Micro- and Macro-Nutrients,Ca,0.33,-0.37,0.21,0.21,0.02,0.03,-,,
16,,P,0.492*,-0.19,-0.17,0.40,0.36,0.32,0.38,0.25,0.0459
17,,Mg,-0.12,-0.12,0.592*,0.34,0.53,0.38,0.00,0.47,0.0241
18,,Na,0.33,0.00,0.54,0.02,0.46,0.17,0.00,,
19,,K,0.26,-0.35,0.55,0.25,0.41,0.13,0.00,,
20,,Fe,0.43,-0.21,-0.30,0.25,0.36,0.15,0.33,,
21,,Zn,0.780**,-0.12,0.12,0.41,0.58,0.28,0.00,0.86,0.0125
22,Vitamins,Thiamine,0.8046*,0.55,-0.09,0.740*,0.841**,0.970**,0.868*,0.97,0.0008
23,,Riboflavin,0.13,-0.56,0.20,0.12,0.62,0.59,0.49,0.52,0.0475
24,,Niacin,0.31,-0.09,-0.16,0.06,0.783**,0.810**,0.774**,0.99,0.0058
