,0,1
0,"circular RNA identification.Genome Biol.16,4.","Cell. Physiol. 232, 225233."
1,"Gezer, U., Ozgir, E., Cetinkaya, M., Isin, M., Dalay, N., 2014. Long non-coding RNAs with","Onoda, M., Inano, H., 1997. Distribution of casein-like proteins in various organs of rat. J"
2,"low expression levels in cells are enriched in secreted exosomes. Cell Biol. Int. 38,","Histochem.Cytochem.45,663-674."
3,1076-1079.,"Qu, L., Ding, J., Chen C.,Wu, Z.J., Liu, B., Gao, Y., Chen W., Liu,F., SunW., Li, X.F."
4,"Grusby, M.J., Mitchell, S.C., Nabavi, N., Glimcher, L.H., 1990. Casein expression in cy-","Wang,X.,Wang,Y.,Xu,Z.Y.,Gao,L.,Yang,Q., Xu, B.,Li,Y.M.,Fang,Z.Y.,Xu,Z.P"
5,"totoxic T lymphocytes.Proc.Natl.Acad.Sci.U.S.A.87,6897-6901.","Bao, Y., Wu, D.S., Miao, X., Sun, H.Y., Sun,Y.H., Wang, H.Y., Wang, L.H., 2016."
6,"Gu, Y., Li, M., Wang,T., Liang, Y.,Zhong, Z., Wang, X., Zhou, Q., Chen,L., Lang, Q., He",Exosome-transmitted IncARSR promotes sunitinib resistance in renal cancer by actin
7,"Z., Chen,X., Gong, J., Gao, X., Li, X., Lv, X., 2012. Lactation-related microRNA ex-","as a competing endogenous RNA. Cancer Cell 29, 653668."
8,"pression profiles of porcine breast milk exosomes.PLoS One 7,e43691.","Rybak-Wolf, A., Stottmeister, C., Glazar, P., Jens, M., Pino, N., Giusti, S., Hanan, M."
9,"Hansen, T.B., Jensen, T.I., Clausen, B.H., Bramsen, J.B., Finsen, B., Damgaard, C.K.","Behm,M.,Bartok,O., Ashwal-Fluss,R.,Herzog, M.,Schreyer,L.,Papavasileiou,P."
10,"Kjems, J., 2013. Natural RNA circles function as efficient microRNA sponges. Nature","Ivanov, A., Ohman, M., Refojo, D., Kadener, S., Rajewsky, N., 2015. Circular RNAs ir"
11,"495,384-388.","the mammalian brain are highly abundant, conserved, and dynamically expressed."
12,"Hata,T.,Murakami,K.,Nakatani,H.,Yamamoto,Y.,Matsuda,T.,Aoki,N.,2010","Mol.Cell 58,870-885."
13,Isolation of bovine milk-derived microvesicles carrying mRNAs and microRNAs.,"Salzman, J., Gawad, C., Wang, P.L., Lacayo, N., Brown, P.O., 2012. Circular RNAs are th"
14,"Biochem. Biophys. Res. Commun. 396, 528-533.",predominant transcript isoform from hundreds of human genes in diverse cell types
15,"Huang, da W., Sherman, B.T., Lempicki, R.A., 2009. Systematic and integrative analysis of","PLoS One 7,e30733."
16,"large gene lists using DAVID bioinformatics resources. Nat. Protoc. 4, 44-57.","Sun, Q., Chen, X., Yu, J., Zen, K., Zhang, C.Y., Li, L.,2013. Immune modulatory functior"
17,"Izumi, H., Tsuda, M., Sato, Y., Kosaka, N., Ochiya, T., Iwamoto, H., Namba, K., Takeda, Y.,",of abundant immune-related microRNAs in microvesicles from bovine colostrum.
18,2015. Bovine milk exosomes contain microRNA and mRNA and are taken up by,"Protein Cell 4, 197-210."
19,"human macrophages.J.Dairy Sci.98,2920-2933.","Sun,X., Chuang,J.C.,Kanchwala,M.,Wu,L.,Celen, C.,Li,L.,Liang,H.,Zhang,S."
20,"Jeck,W.R., Sorrentino, J.A.,Wang, K., Slevin M.K., Burd, C.E., Liu, J., Marzluff,W.F.","Maples,T.,Nguyen,L.H.,Wang,S.C.,Signer,R.A.,Sorouri,M.,Nassour,I.,Liu,X."
21,"Sharpless,N.E.,2013.Circular RNAs are abundant; conserved;and associated with","Xu, J., Wu, M., Zhao,Y., Kuo,Y.C., Wang, Z.,Xing,C., Zhu, H., 2016. Suppression o"
