,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Specie,,,,,,,,,,,,,g/100 g DW,g/100 g DW,g/100 g DW,,,
1,,,Protein,Protein,,,Carbohydrates,Carbohydrates,,,Lipids,Lipids,,,,Ash,,References,References
2,,n,x,Min,Max,n,x,Min,Max,n,x,Min,Max,n,x,Min,Max,,
3,Pa,1,16.1,-,-,,-,-,,1,2,,,1,6.4,,,Y,
4,Pci,5,29.4,22.1,36.8,4,38,20.8,44.4,5,2,1.3,2.9,2,7.8,7.7,7.9,"L,Y,AF","L,Y,AF"
5,Pco,1,17.9,,,,,,,1,2,-,,1,6.1,,,Y,
6,Pcy,7,19.6,15.7,24.5,7,47.1,40.6,52.9,7,2.8,2,3.9,7,6.8,6.3,7.5,B,
7,Pd,14,23.1,11.3,32.3,7,75.4,35.5,42.4,14,2.4,0.1,4.6,14,7.1,6.2,8.3,"C, I,K,Y","C, I,K,Y"
8,Pe,15,17.8,5.8,23.9,2,75.4,69.5,81.4,12,3.5,1.5,6.3,15,6.6,4.9,10.6,G,"P,S,Y,AE,AJ"
9,Pgi,2,17.3,15.4,19.2,2,65.9,64.7,67.2,2,3.4,3.1,3.7,-,6.6,-,,G,
10,Pge,2,30.3,28.8,31.8,2,32.5,31.6,33.4,2,3.5,3.5,3.6,2,12,11.2,12.8,H,
11,Ph,1,28,-,,1,29.2,,11,1,4.1,,11,1,5.9,-,-,Y,
12,Pn,1,17.1,-,,-,1,,11,1,1.6,,11,1,5.9,,,Y,
13,Po,92,23,7.3,53.3,71,42,13.1,85.8,65,3.4,0.5,7.6,56,7.5,4.1,15.9,,"A,B,D,E,H,I,M,N,P,R,S,T,U,V,W,X,Y,AA,AB,AC,AD,AE,AG"
14,,,,,,,,,,,,,,,,,,"AH,AI,AJ,AK","AH,AI,AJ,AK"
15,Pp,14,22.9,14.4,34,10,9.4,5.9,14.4,11,3.2,1.6,,4,8.3,6.25,9.8,"D, Y, AI, AJ.","D, Y, AI, AJ."
16,Psa,8,38.5,20.1,47.2,7,37.3,32,44.5,4,2.4,1.4,3.2,1,6.4,,,"D,QY","D,QY"
17,Psc,24,26,13,44.3,18,38.6,23.5,65.1,19,2.3,0.3,5.3,17,7.5,5.1,8.9,"F,I,J,O,S,V,X,AB,AD","F,I,J,O,S,V,X,AB,AD"
18,Pt,2,10.8,7.8,13.8,2,43.6,34,53.2,2,0.9,0.7,1.1,2,3.5,2.6,4.9,Z,
19,Pspp,189,22.5,14.7,32.8,133,41.4,33.7,53.2,147,2.7,1.5,4.4,124,7.4,6.0,9.6,,
