,0,1,2
0,Parameter,Raw,Processed
1,Proximate composition (%),,
2,Crude protein,16.30.73,15.80.46
3,Moisture content,9.870.47,9.450.41
4,Crude Lipid,3.70 0.29a,3.450.16
5,Ash content,1.870.07,0.70  0.04b
6,Carbohydrate fractions (mg/100 g),,
7,Glucose,0.770.02a,0.440.03b
8,Fructose,0.870.05a,0.720.03
9,Maltose,1.310.06,0.840.03b
10,Sucrose,2.180.04,1.76  0.04b
11,Dietary fibre (%,,
12,Soluble,4.680.05,3.18 0.04b
13,Insoluble,8.540.12,6.27 0.06b
14,In vitro protein digestibility (%,76.9  0.10a,69.6  0.06b
