,0,1,2,3
0,S.no.,BBT,CD values (mg/kg),MD values (mg/kg
1,,,Mean+SD,Mean+SD
2,BBt 1,Katch,42.466.9,41.615.9
3,BBt 2,Jan Heart,12.15+2.7,11.62+2.5
4,BBt 3,Kidz Mobile,24.07+3.9,23.343.4
5,BBt 4,Bravo,7.41+2.7,7.33+2.1
6,BBt 5,Flo,16.923.6,16.493.4
7,BBt 6,Power,46.43+11.91,45.736.1
8,BBt 7,Eggo,38.49+6.87,37.526.57
9,BBt 8,Ringo,51.828.34,50.798.12
10,BBt 9,Marie Plus,66.558.6,64.884.7
11,BBt 10,Gala,25.334.6,24.314.3
12,BBt 11,Sooper,60.667.5,60.057.2
13,BBt 12,Bakeri,84.338.4,83.517.6
14,BBt 13,Tuc,25.334.5,24.82+4.2
15,BBt 14,Candy lite,42.997.5,41.597.2
16,BBt 15,Prince,19.425.12,18.755.0
17,BBt 16,Tiger,34.19+8.33,33.427.5
18,BBt 17,Milky way,26.465.7,25.795.2
19,BBt 18,Rio,19.44+4.8,18.79+4.5
20,BBt 19,Speedo,21.733.8,21.143.2
21,BBt 20,Gluco plus,55.076.7,53.696.4
22,BBt 21,Milk and butter,26.465.6,25.934.9
23,BBt 22,Saltish,82.1411.9,79.2610.2
24,BBt 23,Lemon Sandwitch,46.42+5.4,45.495.0
25,BBt 24,Strawberry,58.338.5,56.877.6
26,BBt 25,Whole Wheat Slice,67.857.9,66.56.8
