,0,1,2,3,4,5,6,7,8,9,10,11
0,CULTIVAR,REGIME,GRA,GRE,Gluconapoleiferin,4HGBS,GER,Unknown,GRH,GBS,4MGBS,TOTAL GSL
1,GL,MORNING,0.04 ,7.40 ,0.09  0.15 a,0.26 ,1.03 ,0.15 ,109.66 ,0.76 ,0.73 ,120.12 
2,,,0.07 a,6.40 a,,0.05 a,0.35 a,0.02 a,4.73 a,0.28 a,0.12 a,4.89 a
3,,NOON,1.12 ,12.22 ,0.42  0.31 a,2.65 ,6.02 ,0.98 ,199.39 ,1.09 ,1.34 ,225.22 
4,,,1.77 a,2.42 a,,2.04 a,4.52 a,0.79 a,74.49 c,0.82 a,0.41 a,79.77 c
5,,EVENING,0.21 ,11.71 ,0.30  0.07 a,1.66 ,3.50 ,0.36 ,136.51 ,0.29 ,0.99 ,155.10 
6,,,0.37 a,1.18 a,,1.40,3.93 a,0.10a,14.55 ab,0.10a,0.46a,14.48 ab
7,,CONTROL,0.12 ,10.63 ,1.06  1.84 a,0.53 ,1.80 ,0.88 ,161.27 ,0.87 ,0.96 ,178.06 
8,,,0.13a,0.87 a,,0.33 a,0.60 a,1.00 a,20.66 b,0.56 a,0.48 a,13.51 b
9,,TOTAL,0.37 ,10.49 ,0.47  0.88,1.27 ,3.09 ,0.59 ,151.71 ,0.75 ,1.00 ,169.74 
10,,,0.90,3.59,,1.45,3.25,0.65,48.16,0.54,0.41,49.20
11,TL,MORNING,0.08 ,3.51 ,0.21  0.19 a,1.00 ,1.82 ,0.28 ,112.83 ,0.64 ,0.80 ,121.17 
12,,,0.07 a,3.87 a,,0.20 a,1.12 a,0.05 a,11.62 a,0.29 a,0.20 a,16.79 a
13,,NOON,0.61 ,26.79 ,0.93  0.56 a,0.49 ,3.03 ,0.38 ,261.87 ,1.19 ,1.70 ,296.68 
14,,,0.89 a,13.10 b,,0.11 a,0.22 a,0.14 a,93.75 b,1.01 a,0.57 b,23.53 b
15,,EVENING,0.35 ,8.50 ,0.61  0.34 a,0.93 ,2.44 ,0.34 ,154.57 ,0.94 ,1.51 ,170.90 
16,,,0.33 a,4.52 ab,,0.35 a,0.13 a,0.03 a,32.06 b,0.92 a,0.13 ab,29.81 ab
17,,CONTROL,0.29 ,26.64 ,0.30  0.08 a,0.56 ,2.72 ,0.30 ,255.67 ,0.85 ,0.96 ,288.30 
18,,,0.30 a,8.04 b,,0.19 a,0.89 a,0.03 a,14.64 b,0.29 a,0.30 ab,101.26 b
19,,TOTAL,0.33 ,16.36 ,0.51  0.42,0.75 ,2.49 ,0.33 ,196.24 ,0.91 ,1.24 ,219.26 
20,,,0.47,13.03,,0.30,0.77,0.78,113.81,0.64,0.49,123.64
