,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Cultivar,Fruit weight (g),Fruit weight (g),,,Soluble solids (ss) (%),Soluble solids (ss) (%),Soluble solids (ss) (%),,Titratable acidity (%),Titratable acidity (%),Titratable acidity (%),,SS/acidity,SS/acidity,,,pH,,,
1,,2010,2011,2012,Mean,2010,2011,2012,Mean,2010,2011,2012,Mean,2010,2011,2012,Mean,2010,2011,2012,Mean
2,Before 1950,,,,,,,,,,,,,,,,,,,,
3,Berkeley,1.1,2.5,-,1.8,19.5,12.7,13.9,16.1,1.0,0.4,,0.7,20.5,37.6,-,29.0,3.3,3.9,,3.6
4,Jersey,1.0,1.5,1.3,1.3,18.5,13.7,13.9,15.4,0.6,0.5,0.9,0.6,33.1,27.2,16.0,25.4,3.6,3.4,3.5,3.5
5,Rubel,0.8,1.0,-,0.9,16.7,14.6,,15.7,1.2,0.8,,1.0,14.5,20.7,,17.6,3.1,3.6,,3.4
6,Mean,0.9,1.7,1.3,1.4,18.2,13.7,13.9,15.3,0.9,0.6,0.9,0.7,22.7,28.7,16.0,24.3,3.3,3.7,3.5,3.5
7,1950-1970,,,,,,,,,,,,,,,,,,,,
8,Bluecrop,1.9,2.2,1.7,1.9,13.4,12.9,12.5,12.9,0.9,0.9,0.8,0.8,15.6,13.1,16.5,15.7,3.2,3.2,3.5,3.3
9,Bluehaven,1.8,2.2,-,2.0,14.6,12.4,-,13.5,0.8,1.0,-,0.9,18.1,13.1,-,15.6,3.1,3.3,-,3.2
10,Blueray,2.2,2.4,-,2.3,10.1,11.1,-,12.5,0.6,0.8,-,0.7,22.7,16.6,-,19.6,3.2,3.5,-,3.3
11,Bluetta,1.2,1.1,-,1.1,13.8,11.1,-,12.5,0.6,0.7,-,0.6,22.7,16.6,-,19.6,3.3,3.2,-,3.2
12,Lateblue,1.8,1.4,-,1.6,14.5,16.3,,15.4,1.0,0.9,-,1.0,14.5,17.3,-,15.9,3.1,3.1,-,3.1
13,Mean,1.8,2.1,1.7,1.9,13.3,12.8,12.5,13.0,0.8,0.9,0.8,0.8,17.3,15.6,16.5,16.4,3.2,3.3,3.5,3.3
14,1970-1990,,,,,,,,,,,,,,,,,,,,
15,Bluegold,2.1,1.4,-,1.7,13.5,12.8,-,13.2,1.1,1.3,-,1.2,13.1,10.1,-,11.6,3.0,3.0,-,3.0
16,Bluejay,1.6,1.9,-,1.7,15.1,13.4,,14.3,0.7,0.7,-,0.7,21.7,19.3,,20.5,3.3,3.3,-,3.3
17,Brigitta,2.6,2.4,-,2.5,12.9,14.2,-,13.6,0.9,0.9,-,0.9,14.1,16.1,,15.1,3.1,3.2,-,3.1
18,Chanticleer,2.5,2.8,,2.7,14.0,12.4,,13.2,1.1,1.1,-,1.1,13.0,11.2,,15.4,3.1,3.0,-,3.1
19,Duke,1.6,1.5,1.1,1.4,10.5,10.5,13.3,11.4,0.7,0.7,0.8,0.7,14.1,14.7,17.4,15.4,3.2,3.2,3.4,3.3
20,Elliott,1.4,1.4,1.2,1.3,15.5,15.8,16.6,16.0,1.6,1.6,1.1,1.4,9.7,9.9,15.7,11.8,3.0,3.0,3.5,3.2
21,Legacy,1.8,2.1,1.0,1.6,18.0,16.6,13.1,15.9,0.3,0.5,0.9,0.6,52.3,37.7,14.8,35.0,3.7,3.5,3.4,3.5
22,Nelson,1.7,2.3,-,2.0,13.2,13.1,-,13.2,1.1,1.1,-,1.1,12.2,12.3,,12.2,3.1,3.3,-,3.2
23,Patriot,2.0,2.0,,2.0,10.5,10.4,,10.4,1.1,1.2,-,1.1,9.5,8.9,,9.2,3.0,3.1,-,3.1
24,Spartan,2.0,1.9,,2.0,11.7,11.8,-,11.8,0.6,0.7,-,0.6,19.8,17.8,,18.8,3.3,3.2,-,3.2
25,Toro,2.4,2.5,1.1,2.5,11.7,11.2,14.3,11.4,0.9,0.8,0.9,0.8,13.1,14.7,15.9,13.9,3.1,3.4,3.4,3.3
26,Mean,2.0,2.1,1.1,1.8,13.3,12.8,14.3,13.2,0.9,1.0,0.9,0.9,17.5,15.3,15.9,16.3,3.2,3.2,3.4,3.2
27,1990-2010,,,,,,,,,,,,,,,,,,,,
28,Chandler,1.4,3.3,1.4,1.7,13.0,11.6,14.3,12.3,2.0,1.5,1.4,1.7,10.6,10.9,10.0,10.7,3.0,3.1,3.2,3.1
29,Chandler,3.0,3.3,-,3.2,13.0,11.6,-,12.3,1.2,1.1,,1.2,10.6,10.9,,10.7,3.0,3.0,,3.0
30,Draper,2.1,1.5,1.6,1.7,12.9,14.4,11.9,13.1,1.3,1.5,1.7,1.5,9.7,9.7,6.9,8.7,3.2,2.9,3.1,3.1
31,Huron,1.4,2.1,1.1,1.5,13.6,12.4,10.5,12.2,1.1,1.0,0.6,0.9,12.9,12.7,16.5,14.0,3.1,3.1,3.5,3.2
32,Liberty,2.0,2.3,1.1,1.7,14.5,13.1,12.7,13.4,1.3,1.2,1.1,1.1,11.3,11.0,11.6,11.3,3.2,3.1,3.3,3.2
33,Mean,2.0,2.3,1.3,1.7,14.5,13.1,12.7,13.4,1.3,1.2,1.2,1.3,11.3,11.0,11.6,11.3,3.1,3.1,3.3,3.2
34,Overall mean,1.8,2.0,1.3,1.7,14.2,13.1,13.4,13.5,1.0,0.9,1.0,1.0,16.8,16.4,14.1,15.8,3.2,3.2,3.4,3.3
35,LSD5%2,n/a,n/a,n/a,-,2.3,0.9,0.3,-,0.2,0.1,0.0,-,3.8,4.7,0.5,-,0.1,0.1,0.0,-
