,0,1,2,3
0,Nutrient,Range of,Production region,References
1,,means g/100g,of cultivar(s and,
2,,almondsa,local selections,
3,"Lipids,total",43-63,Afghanistan,Kaska et al.2006
4,,35-66,"California,USA","Abdallah et al.1998,Ahrens et al.2005,Hall et al.1958"
5,,,,"Lopez-Ortiz et al.2008,Sathe1993,Sathe et al.2008and"
6,,,,Venkatachalam and Sathe(2006)
7,,55-59b,Egypt,Nassar et al.1977
8,,56-61b,Greece,Nanos et al.2002)
9,,44-56b,India,"Kumar et al.1994,2000 and Kumar and Sharma(2005"
10,,55-62b,Iran,Mehran and Filsoof (1974)
11,,42-57,Italy,"Barbera et al.(1994,Ruggeri et al.(1998)and Schirra and Agabbio1989"
12,,48-59,Portugal,Cordeiro et al.2001and Egea et al.2009
13,,40-67b,Spain,"Garcia-Lopez et al.1996,Garcia-Pascual et al.2003,Kodad et al.2006,"
14,,,,"Kodad and Socias i Company2008,Lopez-Ortiz et al.2008,Romojaro et al."
15,,,,"1988b,Sanchez-Bel et al.2008and Soler et al.1988"
16,,50-57,Tunisia,Ayadi et al.2006and Cherif et al.2004
17,,25-61,Turkey,Agar et al.1998Askin et al.2007and Aslantas et al.2001
18,"Protein,totalN5.18",16-23,California,"Ahrens et al.2005,Hall et al.1958,Sathe1993and Venkatachalam and Sathe2006"
19,,18-20b,India,Kumar and Sharma(2005)
20,,18-20,Italy,Ruggeri et al.(1998
21,,15-22,Spain,"Riquelme et al.1985,Saura Calixto et al.1982and Saura-Calixto et al.1983b"
22,,14-26,Turkey,"Askin et al.2007,Aslantas et al.2001"
23,Carbohydrates,,,
24,"Sugars, soluble",2.1-7.4,California,"Ahrens et al.(2005,Amrein et al.(2005)and Venkatachalam and Sathe(2006)"
25,,2.6-4.0,Greece,Kazantzis et al.2003and Nanos et al.2002)
26,,3.6-12b,India,Kumar and Uppal (1995)
27,,2.1-5.5,Italy,"Amrein et al.2005,Barbera et al.1994and Ruggeri et al.1998"
28,,2.5-7.1b,Portugal,"Cordeiro et al.2001,Egea et al.2009"
29,,1.8-7.6,Spain,"Amrein et al.2005,Romojaro et al.(1988a,Sanchez-Bel et al.2008,Saura Calixto"
30,,,,"et al.1981,Saura-Calixto et al.1983band Soler et al.1989)"
31,,2.5-13b,Turkey,Aslantas et al.2001and Balta et al.2009)
32,"Fiber, total dietary",11-14,Italy,Ruggeri et al.(1998)
