,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Specie,"Location of the sampling, season",,ESFA,,,EMUFA,,,EPUFA,,,03,,,206,,,PUFA/,6/,IA,IT,HH
1,,and year,,,,,,,,,,,,,,,,,SFA,3,,,
2, Palaemon,Vila do Conde,Autumn 2017,158.3,?,0.4,90.4,,0.3,204.2,?,0.7,182.4,?,0.6,21.8,?,0.1,1.29,0.12,0.43,0.24,2.45
3,serratus,,,,,,,,,,,,,,,,,,,,,,
4,,,Spring 2018,183,,16,114,+,7,265,,17,225,?,14,40,,3,1.45,0.18,0.38,0.21,2.83
5,,,Spring 2018 E,166,+,11,111,+,10,228,,22,192,,18,36,,3,1.37,0.19,0.38,0.23,2.81
6,,,Autumn 2018,186,+,13,112,,9,223,?,16,190,,13,33,,3,1.20,0.17,0.42,0.26,2.54
7,,,Spring 2019,164,+,6,93,+,4,217,,17,189,?,15,28,,2,1.32,0.15,0.43,0.24,2.80
8,,,Spring 2019 E,158.0,+,0.5,114,+,6,222,+,23,317,+,21,30,+,2,1.40,0.16,0.38,0.22,2.80
9,,Matosinhos,Autumn 2017,263,+,61,157,+,35,348,+,54,317,+,49,31,+,6,1.32,0.10,0.42,0.23,2.56
10,,,Spring 2018,177,+,4,111,,4,264,,4,225,+,3,39.2,+,0.7,1.49,0.17,0.37,0.21,2.93
11,,,Spring 2018 E,154,,39,109,+,29,212,,56,176,+,48,36,+,8,1.38,0.20,0.38,0.23,2.86
12,,,Autumn 2018,154,,2,72,,2,189,,12,167,+,11,22,,1,1.23,0.13,0.44,0.25,2.48
13,,,Spring 2019,184,+,38,106,?,24,254,?,54,222,+,47,32,?,7,1.38,0.14,0.41,0.23,2.65
14,,Aveiro,Spring 2018,319,,30,195,+,15,435,,38,367,+,33,68,,5,1.36,0.18,0.40,0.25,2.64
15,,,Autumn 2018,154,+,14,66,,6,189,,20,159,+,17,30,,3,1.22,0.19,0.43,0.25,2.46
16,,,Spring 2019,130,+,15,72,+,10,167,,26,147,+,23,20,,3,1.28,0.15,0.47,0.25,2.29
17,,Ria de Aveiro,Autumn 2017,143,+,4,51,+,1,189,,3,164,+,3,24.91,,0.02,1.35,0.15,0.47,0.24,2.40
18,,,Spring 2018,143,+,42,62,+,20,190,+,57,164,+,49,26,,7,1.33,0.16,0.44,0.24,2.40
19,,,Spring 2018 E,308,+,4,165,+,3,365,,5,307,,5,58.2,,0.1,1.19,0.19,0.46,0.27,2.23
20,,Figueira da Foz,Autumn 2017,141,+,34,104,+,15,251,+,42,170,,38,26,,4,1.18,0.13,0.40,0.26,2.78
21,,,Spring 2018,141,+,2,86,+,17,191,,6,170,,5,21.6,,0.9,1.35,0.13,0.40,0.22,2.78
22,,,Spring 2018 E,237,+,40,149,+,28,282,,48,243,,41,38,,7,1.19,0.16,0.41,0.25,2.59
23,,,Autumn 2018,160,+,8,97,,7,225,,18,197,+,16,28,,2,1.40,0.14,0.39,0.22,2.78
24,,,Spring 2019,155,+,36,83,,21,265,,48,170,+,42,22,,5,1.24,0.13,0.43,0.25,2.73
25,Palaemon,Sado,Autumn 2017,197,?,15,71,?,7,265,?,17,223,?,15,42,,2,1.35,0.19,0.41,0.21,2.73
26,varians,,A,,,,,,,,,,,,,,,,,,,,
27,,,Spring 2018 A,183,,43,98,,23,262,,58,213,?,50,34,,7,1.35,0.16,0.39,0.25,2.74
28,,,Spring 2018 A,237,+,12,117,,7,262,,16,228,,14,34,,2,1.11,0.15,0.45,0.25,2.35
29,,,Autumn 2018,176,?,31,88,?,19,233,?,49,173,?,37,61,?,12,1.32,0.35,0.45,0.25,2.54
30,,,A,,,,,,,,,,,,,,,,,,,,
31,,,Spring 2019 A,258,,12,12,,16,227,,18,195,,37,48,,4,0.94,0.25,0.49,0.32,2.11
32,,,Autumn 2017,182,,30,92,,16,227,,45,179,,37,48,,8,1.25,0.27,0.39,0.24,2.85
33,,,W,,,,,,,,,,,,,,,,,,,,
34,,,Spring 2018 W,158,,23,76,,13,198,,28,172,?,24,26,,4,1.26,0.15,0.39,0.21,2.77
35,,,Spring 2018 W,262,,24,123,,12,298,,40,258,,35,40,,5,1.14,0.16,0.41,0.23,2.57
36,,,E,,,,,,,,,,,,,,,,,,,,
37,,,Autumn 2018,216,,6,96.5,,0.8,308,,6,226,?,5,82,,1,1.42,0.36,0.43,0.24,2.69
38,,,W,,,,,,,,,,,,,,,,,,,,
39,,,Spring 2019 W,159,+,20,72,,9,163,,12,130,?,,33,,3,1.02,0.25,0.49,0.31,2.19
40,,,,,,,,,,,,,,,,,,,,,,,
