,0,1,2,3,4,5,6
0,,Post-harvest storage time,Post-harvest storage time,,,,
1,Physicochemical and nutritional properties,,,,,,
2,,0 day,15 day,30 day,45 day,60 day,90 day
3,Fruit weight (g),146.44  0.61a,146.44  0.41a,146.22  0.81ab,146.04  0.31ac,145.28  0.44ad,144.82  0.51 bed
4,Firmness (N),68.85  0.92a,68.00  0.85a,65.65  0.64b,64.18  0.60b,57.80  0.14c,53.67  0.66d
5,pH,3.6  0.07a,3.8  0.10a,4.2  0.10b,4.6  0.10c,4.8  0.10c,5.1  0.07d
6,Titratable acidity (%),0.55  0.01a,0.50  0.01b,0.44  0.02c,0.41  0.01d,0.39  0.01de,0.38  0.00 e
7,Total soluble solids (Brix),15.18  0.74a,16.15  0.07b,17.87  0.10c,18.28  0.74c,21.18  0.8d,20.12  0.66e
8,Total soluble sugar (g GE/100 g),7.62  0.44a,8.30  0.38a,8.94  0.24b,9.40  0.28b,9.12  0.24b,8.60  0.60ab
9,Ascorbic acid content (mg AA/100 g),11.15  0.15a,11.00  0.16a,10.07  0.20b,9.50  0.57bc,8.61  0.70c,6.52  0.73d
10,Total carotenoids (g - carotene equivalent/g FW),11.85  0.40a,14.3  1.09b,17.65  0.59c,23.06  1.34d,20.89  1.51de,18.39  1.44e
