,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,piece,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,3,,,,6,,,,9,,,,,,,,,
2,Salting,,2,,4,,2,,4,,2,,4,,2,,4,,,,,,,
3,Temperature (C),Temperature (C),8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,,,,,,
4,Fatty acids,,,,,,,,,,,,,,,,,,SEM,R,T,,RxT,RxS
5,C10:0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.001,***,n.s.,:,**,***
6,C12:0,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.001,***,n.s.,n.,n.s.,**
7,C14:0,0.96,0.90,0.95,0.93,0.87,0.80,0.82,0.77,0.85,0.86,0.95,0.91,0.98,1.05,0.99,0.95,0.98,0.011,***,,n.,,n.s.
8,C14:1,0.003,0.004,0.005,0.005,0.003,0.003,0.004,0.005,0.01,0.01,0.02,0.01,0.03,0.04,0.04,0.04,0.04,0.002,,,,***,*
9,C15:0,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.05,0.03,0.04,0.001,,,n.,***,**
10,C15:1,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.03,0.05,0.08,0.11,0.10,0.11,0.005,,,5#,***,n.s.
11,C16:0,23.7,25.3,23.7,24.3,24.1,24.3,25.1,24.0,24.9,25.1,26.8,25.4,26.9,27.6,27.4,27.3,27.3,0.189,***,,n.,***,n.s.
12,C16:1n-7,1.30,1.45,1.42,1.38,1.31,1.19,1.38,1.34,1.35,1.39,1.28,1.36,1.31,1.56,1.52,1.21,1.24,0.015,n.,n.s.,,*,***
13,,,,,,,,,,,,,,,,,,,,S.,,,***,
14,C17:0,0.25,0.35,0.24,0.32,0.31,0.23,0.29,0.22,0.29,0.27,0.23,0.23,0.27,0.23,0.38,0.25,0.33,0.006,***,***,n.,***,n.s.
15,C17:1,0.19,0.27,0.21,0.26,0.26,0.19,0.22,0.19,0.24,0.23,0.18,0.20,0.19,0.20,0.31,0.19,0.25,0.005,***,,n.,***,*
16,C18:0,13.3,14.0,12.2,13.5,13.6,12.4,11.5,11.4,11.9,11.6,13.2,11.9,13.7,13.3,13.4,14.9,14.8,0.159,***,n.s.,,**,*
17,C18:1n-9,48.4,46.7,49.9,48.5,48.7,50.1,51.2,51.3,51.4,51.0,50.0,52.3,49.7,48.1,49.2,48.7,48.3,0.218,***,n.s.,n.,**,n.s.
18,C18:2n-6,9.11,8.73,8.69,8.33,8.30,7.95,6.01,7.63,6.39,7.48,5.38,5.24,4.53,5.03,3.42,3.22,3.39,0.250,***,***,s..,**,**
19,C18:3n-6,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.001,***,n.s.,n.,**,n.s.
20,C18:3n-3,0.48,0.45,0.45,0.42,0.43,0.35,0.24,0.31,0.24,0.32,0.21,0.23,0.19,0.21,0.13,0.13,0.14,0.015,***,***,s..,***,n.s.
21,C20:0,0.17,0.15,0.15,0.17,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.15,0.15,0.16,0.13,0.18,0.17,0.002,***,n.s.,***,n.s.,**
22,C20:1n-9,1.01,0.73,0.99,0.81,0.83,0.76,0.82,0.75,0.80,0.77,0.86,1.00,0.94,0.88,1.09,0.97,1.10,0.017,***,***,n.,n.s.,*
23,C20:2n-6,0.46,0.35,0.43,0.37,0.38,0.31,0.24,0.30,0.24,0.27,0.19,0.24,0.18,0.20,0.13,0.15,0.15,0.012,***,***,,***,n.s.
24,C20:3n-6,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.002,***,,n.,*,n.s.
