,0,1,2,3,4,5,6,7,8,9
0,,Zn,Cu,Mn,,Ni,,Ca,Ca,Mg
1,,,,,ARTICHOKES,,,,,
2,FRESH,4.10.6,0.90.2,1.20.5,,0.170.04,441148,441148,441148,28993
3,FROZEN,4.01.9,1.00.4,1.20.5,,0.130.07,384,384,92,23351
4,RETENTION,98.1,111.6,95.7,,75.5,,87.1,,80.6
5,,,,,GREEN BEANS,,,,,
6,FRESH,5.31.1,1.1+0.3,3.31.0,,0.250.10,609,,72,26228
7,FROZEN,3.62.2,0.90.1,2.20.3,0.180.08,0.180.08,550,550,94,24443
8,RETENTION,67.4,76.2,66.6,,73.3,,90.4,,92.9
9,,,,,PEAS,,,,,
10,FRESH,6.80.5,1.40.1,2.70.7,,0.40.2,359163,359163,359163,24157
11,FROZEN,5.42.1,1.10.2,2.90.6,,0.30.2,527  193,527  193,527  193,25356
12,* RETENTION,79.5,77.0,106.8,,76.2,148.9,148.9,,104.9
