,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Food,,Water,,Sodium,,,Potasstum,,Calcium,,Phosphorus,,Magnesium,Magnesium
1,,,,Median Meantsd(n,Median Meantsd(n,Median Meantsd(n,Median Meansd(n,Median Meansd(n,,Median Mean*sd(n),Medi an Meansd(n),Medi an Meansd(n),Medi an Meansdn,Medi an Meansdn,Medi an Meansdn
2,Beef boui llon,Beef boui llon,,,,,,,,,,,,,
3,tuted w/ water 98.4,tuted w/ water 98.4,tuted w/ water 98.4,363356+8128,363356+8128,363356+8128,323328,323328,34127,34127,1516627,1516627,2.12.10.628,2.12.10.628,2.12.10.628
4,Vegetable beet,Vegetable beet,,,,,,,,,,,,,
5,"soup,canned","soup,canned",,,,,,,,,,,,,
6,reconst ituted,reconst ituted,91.1,,,,,642Z28,1,52,19,2021,5.5,,
7,w/water,,91.1,34634111828,34634111828,34634111828,66,642Z28,1,52,19,2021,5.5,.32.U28,.32.U28
8,reconstituted,reconstituted,,,,,,,,,,,,,
9,w/water,,91.8,3733537628,3733537628,3733537628,1519628,1519628,5,51(27),1413427,1413427,3.7,3.71.128,3.71.128
10,"Desserts, dairy-based","Desserts, dairy-based","Desserts, dairy-based",,,,,,,,,,,,
11,cream,,58.4,,771328,771328,24525228(28,24525228(28,1091081927,1091081927,107106927,107106927,27.027.53.628,27.027.53.628,27.027.53.628
12,Chocolate milk-,Chocolate milk-,,,,,,,,,,,,,
13,food,,75.3,83,861128,861128,2002042028,2002042028,107108+1327,107108+1327,100,98+1227,17.417.33.028,17.417.33.028,17.417.33.028
14,sanduich,,42.7,243,2433128,2433128,1721731628),1721731628),78,7927,93,93627,18.415.S1.828,18.415.S1.828,18.415.S1.828
15,Vanilta ice milk,Vanilta ice milk,,,,,,,,1371414827,,,,,
16,,,62.7,90,871128,871128,2072133528,2072133528,,1371414827,1071122427,1071122427,15.015.72.128,15.015.72.128,15.015.72.128
17,Chocolate pudding,Chocolate pudding,,,,,,,,,,,,,
18,milk from instant,milk from instant,,,,,,,,,,,,,
19,mix,,71.1,3143055328,3143055328,3143055328,1951922928,1951922928,98961927,98961927,2482445127,2482445127,19.3 19.12.828,19.3 19.12.828,19.3 19.12.828
20,Desserts. arain-based,Desserts. arain-based,Desserts. arain-based,,,,,,,,,,,,
21,Chocolate cake,Chocolate cake,,,,,,,,,,,,,
22,w/ chocolate,w/ chocolate,,,,,,,,,,,,,
23,eat/frozen,eat/frozen,23.6,3263325128,3263325128,3263325128,204994528,204994528,39431727,39431727,1161212027,1161212027,32.7 33.46.528,32.7 33.46.528,32.7 33.46.528
24,Yellow cake w/,Yellow cake w/,,,,,,,,,,,,,
25,fron mix,,28.7,344 3403128,344 3403128,344 3403128,4348+1228,4348+1228,66641527,66641527,1441422127,1441422127,4.95.11.228,4.95.11.228,4.95.11.228
26,frozen,,16.8,3563605028,3563605028,3563605028,130127+1728,130127+1728,52,57+2927,1131101727,1131101727,21.6 21.53.728,21.6 21.53.728,21.6 21.53.728
27,"type,plain","type,plain",17.5,555S59028,555S59028,555S59028,131135212,131135212,43,727,777727,777727,10.510.32.628,10.510.32.628,10.510.32.628
28,seet roll,seet roll,24.1,372 3695128,372 3695128,372 3695128,1211262228,1211262228,62,682827,1041092127,1041092127,18.818.92.628,18.818.92.628,18.818.92.628
29,Chocolate chip,Chocolate chip,,,,,,1521532528,,27627,,921827,,,
30,cookies,,2.8,339 3423428,339 3423428,339 3423428,,1521532528,26,27627,,921827,36.3 35.76.228,36.3 35.76.228,36.3 35.76.228
31,Chocolate cookies,Chocolate cookies,,,,,,,,,,,,,
32,filling,,1.7,560,557,90(28,1791783528,1791783528,23,24627,92,901127,45.342.5,45.342.5,6.428
33,Desserts..,cther,,,,,,,,,,,,,
34,heated,,48.4,276,276,2928,68,71928,11,11227,24243(27,24243(27,,7.11.028,7.11.028
35,Purpk in pie,Purpk in pie,,,296,3428,,,,621027,,73727,,,
36,frozenheated 43.4,frozenheated 43.4,frozenheated 43.4,295,296,3428,162161528,162161528,63,621027,,73727,15.015.52.028,15.015.52.028,15.015.52.028
37,Mi lk chocolate,Mi lk chocolate,,82,85,1128,,3953962628,181,1832627,2082051527,2082051527,63.0,62.84.528,62.84.528
38,candy,,0.7,82,85,1128,3953962628,3953962628,181,1832627,2082051527,2082051527,63.0,62.84.528,62.84.528
39,Caramel candy,,10.0,248,220,7228,2642357728,2642357728,167,1474227,1361233327,1361233327,20.0,18.3,5.328
40,Strawberry,,,,,,,,,,,,,,
41,from mix,,80.6,56,58,17{28},7,1028,1,27,17,191227,0.2,0.20.228,0.20.228
42,Sweeteners,,,,,,,,,,,,,,
43,"White, granulated","White, granulated",0.2,,,128,,3128,1,11(27,0,027,0.1,0.10.28,0.10.28
44,sugar,,0.2,0,,128,,3128,1,11(27,0,027,0.1,0.10.28,0.10.28
45,,,25.4,87,108,8427,17,232227,4,41(26,3,3226,2.6,2.31.027,2.31.027
46,Honey,,13.3,2,3,228,45,491628,6,61(27,4,1(27,1.6,1.50.628,1.50.628
47,,,26.2,43,43,1428,40,4312(28,7,7127,a,81(27,6.2,6.30.728,6.30.728
48,Catsup,,56.2,1070108411028,1070108411028,1070108411028,382,3945428,19,19227,33,34527),19.5,20.02.228,20.02.228
49,Sweetened choco-,Sweetened choco-,,,,,,,,,,,,,
50,hot/cold milk,hot/cold milk,1.0,172,178,46(27),550549+12627,550549+12627,33,402426,14Z1442526,14Z1442526,94.0 93.410.927,94.0 93.410.927,94.0 93.410.927
51,Fats and sauces,Fats and sauces,,,,,,,,,,,,,
52,,,0.0,1,,1(28,,1228,0,0027,0,0127,0.0,0.10.128,0.10.128
53,rye,,16.7,72574221928,72574221928,72574221928,24,241228,7,73(27,8,27,1.5,1.50.728,1.50.728
54,Butter,,17.0,575549146(26,575549146(26,575549146(26,23,22828,23,8(27,19,18727,1.7,1.7,C.628
55,Mayonnaise,,11.7,412 31722329,412 31722329,412 31722329,10,8528,7,4(27,17,14+1027,0.9,0.90.628,0.90.628
56,dressing,,53.4,569,87980128,87980128,11,181828,4,4427,2,4327,0.9,1.41.428,1.41.428
57,Hatf&half,Hatf&half,,,,,,1302528,99,941827,,7913(27,9.6,9.3,1.928
58,cream,,75.5,50,532028,532028,134,1302528,99,941827,79,7913(27,9.6,9.3,1.928
59,substitute,substitute,2.8,139141:2028,139141:2028,139141:2028,89590112728,89590112728,5,51(27,374,3704827,2.9,2.8,1.D2E
60,"Broun gravy,from","Broun gravy,from",,515,,,44,431326,18,17527,18,185(27,3.9,3.90.928,3.90.928
61,mix,,89.5,515,52510328,52510328,44,431326,18,17527,18,185(27,3.9,3.90.928,3.90.928
62,"White sae,","White sae,",,,,,,,,,,,,,
63,homemade,,72.4,27928210728,27928210728,27928210728,128,1322028,94,972027,81,831227,11.111.11.52,11.111.11.52,11.111.11.52
