,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Phenolics,RSD (%),,,,,,,,,,,,,,,
1,,Strata-X,,HLB,,Pharma,,BRP,,Strata-X-A,Strata-X-A,WondaSep MAX,WondaSep MAX,P-SAX,,Oasis MAX,Oasis MAX
2,,Aa,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
3,4-hydroxy benzoic acid,1.25,1.83,1.31,2.01,0.36,1.01,0.12,3.81,0.56,1.23,0.98,2.31,0.93,2.81,0.83,1.92
4,Vanilllic acid,0.21,1.31,0.38,0.83,0.79,2.03,1.03,1.87,2.11,2.19,0.91,2.01,0.78,1.03,0.89,1.93
5,Caffeic acid,0.26,0.789,0.72,1.04,0.83,1.02,0.47,2.01,1.21,1.98,1.39,1.27,0.76,2.01,0.31,0.99
6,p-Coumaric acid,0.78,2.01,0.73,2.05,0.65,1.03,0.4,0.81,0.72,1.83,1.04,2.91,0.92,2.01,0.82,2.07
7,Benzoic acid,0.39,0.99,0.53,2.19,0.93,3.26,1.31,2.39,0.21,0.99,1.03,0.83,0.67,2.31,0.89,1.63
8,Ferulic acid,0.72,2.31,0.59,2.93,1.32,1.93,0.74,1.09,0.56,1.67,0.59,2.78,1.34,3.21,1.82,2.84
9,Isoferulic acid,0.39,1.03,0.93,2.55,1.01,2.33,0.63,0.93,0.89,1.52,1.11,1.42,2.89,2.63,1.63,3.11
10,"3,4-dimethoxycinnamic acid",0.88,1.81,0.98,2.72,1.31,2.56,0.92,0.77,1.02,1.31,3.21,2.01,0.98,2.34,2.11,1.72
11,Cinnamic acid,1.21,1.39,1.26,2.48,2.31,3.00,1.83,1.34,0.53,0.53,1.31,3.23,2.23,2.83,2.81,3.62
12,Abscisic acid,0.91,2.21,0.98,2.32,1.02,3.51,1.41,2.11,0.21,0.51,0.98,1.54,1.31,0.73,1.83,2.11
13,Benzyl caffeate,0.54,1.03,0.93,2.09,0.94,2.51,0.97,2.11,0.77,0.82,0.53,1.05,0.77,2.01,1.35,3.21
14,Phenethyl caffeate,0.51,1.23,1.02,1.43,0.83,1.03,1.23,0.98,1.08,1.51,0.77,0.99,1.02,0.83,0.73,1.03
15,Pinobanksin-3-O-acetate,0.92,2.31,1.74,1.98,0.91,0.84,0.99,1.05,1.11,0.76,0.89,2.09,0.87,1.93,1.32,2.55
16,5-methoxy pinobanksin,0.71,1.32,0.71,2.32,1.36,1.64,1.02,0.51,0.31,0.81,0.78,1.92,0.64,0.87,0.78,0.87
17,Pinobanksin,0.32,0.83,0.67,1.93,1.11,0.98,0.67,3.01,0.53,0.83,1.03,0.99,1.45,2.67,1.02,0.96
18,Alpinetin,0.77,0.92,0.74,0.93,0.89,0.99,0.92,1.23,0.78,0.91,0.56,2.11,0.77,2.11,0.88,2.61
19,Kaempferol,0.91,0.99,0.28,1.93,0.89,2.31,1.83,0.73,1.42,0.82,0.67,1.32,0.53,0.58,2.11,1.83
20,Pinocembrin,0.49,0.59,0.69,0.83,0.31,2.31,2.01,1.33,0.73,1.11,1.43,2.38,0.78,0.56,1.78,1.32
21,Chrysin,0.31,0.91,0.83,0.93,0.67,3.49,2.53,1.48,0.21,0.61,0.98,1.00,0.93,1.32,2.41,2.11
22,Galangin,0.79,1.07,0.78,1.29,0.83,2.11,1.54,0.63,0.81,0.57,2.02,2.62,1.02,0.67,3.12,0.87
