,0,1,2,3,4,5,6,7,8,9
0,Element,AMPHORA limit (g/,Recorded fruit spirits,Recorded fruit spirits,,,Unrecorded fruit spirits,Unrecorded fruit spirits,,
1,,L),N (%),Rangea (g/,mean  STDa (g/,N (%),N (%),Rangea (g/L),mean  STDa (g/,N (%)
2,,,positive,L),L),>ML,positive,,L),>ML
3,Bec,-,0 (0),<0.3,,-,0 (0),<0.3,,-
4,B,5000,26 (100),3.7165,40.1  32.7,0 (0),123 (96.9),<3.3206,29.6  39.6,0 (0)
5,Alb,2000,17 (65.4,<10.3-671,67.8  154,0 (0),106 (83.5),<10.3384,31.8  47.8,0 (0)
6,Crb,500,18 (69.2),<174.2,26.2  24.8,0 (0),56 (44.1),<1-163,24.1  36.7,0 (0)
7,Mnb,500,22 (84.6),<0.323.4,3.9  6.0,0 (0),127 (100),<0.3416,9.2  39.4,0 (0)
8,"Feb,c",2000,22 (84.6),<16.2190,39.4  48.1,0 (0),81 (53.8),< 16.21202,35.4  111,0 (0)
9,"Cob,c",-,26 (100),1.556.3,9.6  11.3,-,104 (81.9),<0.5-101,7.1  14.2,
10,"Nib,c",200,26 (100),0.420.1,5.5  5.5,0(0),101 (79.5),< 0.451.4,2.9  7.8,0 (0
11,"Cub,c",2000,20 (76.9),< 156990,1520  2230,8 (30.8),127 (100),44.043300,8175  8371,104
12,,,,,,,,,,(81.9)
13,Znb,5000,23 (88.5),<2.11195,127 250,0 (0),127 (100),2.94984,285  843,0 (0)
14,As,100,21 (80.8),<0.3-18.5,2.7  4.4,0 (0,109 (85.8),<0.326.2,2.4  5.0,0(0
15,Se,100,14 (53.8),<1.4-2.1,1.0  1.0,0 (0),52 (40.9),<70.2,1.5  3.3,0(0)
16,Sr,-,23 (88.5),<1-101,17.5  31.0,-,118 (92.9),<70.2,7.4  12.2,-
17,Mob,-,9 (34.6),<0.30.8,0.2  0.3,,8 (6.3),<0.31.2,0.04  0.2,-
18,Cd,10,6 (23.1),<0.05-0.48,0.04  0.11,0 (0,49 (38.6),<0.05-1.60,0.08  0.20,0 (0)
19,Snb.c,1000,18 (69.2),<0.324.1,2.4  4.9,0 (0),22 (17.3), 0.372.8,0.9  6.8,0 (0)
20,Sb,50,7 (26.9),<0.3-3.41,0.43  0.94,0 (0,38 (29.9),<0.3-4.20,0.36  0.78,0 (0)
21,Te,-,0 (0),<0.3,,,0 (0),<0.3,,-
22,Ba,-,19 (73.1),<1-15.4,2.7  3.2,-,89 (70.1),<1-11.0,2.0  2.1,-
23,Hg,10,4 (15.4),< 0.40.62,0.07  0.18,0 (0),25 (19.7),<0.4-1.07,0.10  0.22,0 (0)
24,T1,-,0 (0),<0.3,,2 (7.7),0 (0),<0.3,,11 (8.7)
25,"Pbb,c",200,20 (76.9),<0.3-384,35.7  90.4,2 (7.7),122 (96.1),<0.31873,92.5  238,11 (8.7)
