,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,,+,,,,c,,?,2.3,,,,,0.6,,,11.2,?,,2.5,B,a
1,AST,SG,2.9,,,0.5,B,b,10.0,,0.6,B,a,2.6,,0.1,B,b,2.7,,,0.1,B,b
2,AST,PV,4.5,+,,0.7,B,b,11.0,,2.0,B,a,11.8,,2.2,B,a,8.3,,,2.3,B,a
3,,CF,2.2,+,,0.6,B,c,8.7,?,1.2,B,b,15.0,,3.4,B,a,11.7,?,,0.8,B,a
4,,CR,5.8,+,,0.6,B,c,24.3,+,4.2,,b,24.1,+,3.7,B,b,36.6,,,2.0,B,a
5,,MB,31.3,+,,9.2,A,d,87.4,?,5.3,B,c,112,+,16.4,A,b,139,,,3.7,A,a
6,,TM,5.6,+,,1.1,B,d,26.0,,2.3,D,c,96.2,,15.4,AB,a,65.0,,,13.0,CD,b
7,MGa,SG,6.7,+,,0.3,B,c,25.6,?,0.8,D,b,47.1,?,1.5,D,a,54.6,?,,11.0,D,a
8,MGa,PV,5.8,+,,1.2,B,c,111,,20.4,A,a,92.8,,24.2,AB,a,76.3,,,5.5,BC,b
9,,CF,7.5,+,,1.7,B,c,54.4,+,12.9,C,b,65.9,,11.4,BC,a,87.1,,,16.2,CD,b
10,,CR,6.9,,,1.4,B,c,46.2,,9.5,,b,65.9,?,11.4,CD,b,87.1,,,16.2,B,a
11,,MB,23.5,+,,6.6,A,c,46.2,+,5.6,,b,61.3,,5.7,c,a,60.4,?,,6.8,AB,a
12,,TM,15.7,+,,2.8,B,c,39.0,,2.1,B,b,56.4,,4.3,c,a,47.9,,,12.9,B,b
13,QGa,SG,12.0,,ND,,,,,,ND,,,79.2,+,2.9,B,a,29.4,?,,4.6,c,b
14,QGa,PV,23.5,?,,2.9,B,c,81.2,?,18.4,A,a,60.4,,16.4,c,ab,49.4,?,,10.4,B,b
15,,CF,23.5,?,,4.6,A,c,79.1,?,15.2,A,b,48.8,,8.0,A,a,75.3,?,,8.2,A,b
16,,CR,9.4,+,,2.5,B,c,43.4,?,6.0,B,b,48.8,,6.5,c,ab,56.7,?,,8.8,B,a
17,,MB,110,,,22,B,a,131,+,31,BC,a,61.2,,10.6,B,b,38.7,?,,5.7,c,b
18,,TM,124,,,19,B,a,131,?,24,c,a,131,,10.1,B,b,21.0,?,,3.8,D,c
19,QGr,SG,192,,,9,A,b,295,?,13,A,a,131,,10,A,c,75.9,,,4.5,B,d
20,QGr,PV,165,,,0.7,A,b,179,,29.5,B,a,141,,6.1,B,b,95.3,,,11.8,A,b
21,,CF,46.4,?,,30,A,a,179,,39,B,a,141,,5,A,ab,95.3,,,5.0,A,b
22,,CR,46.4,,,12.5,c,b,81.8,,10.6,D,a,25.5,,2.7,C,c,24.2,,,4.9,D,
23,,MB,54.5,,,41,A,b,282,,18,B,a,245,,29,C,a,171,?,,27,B,b
24,,TM,54.5,,,10.0,c,c,165,,5,,ab,209,,6,C,a,156,?,,46,B,b
25,QGI,SG,142,,,10,B,c,417,,37,A,b,586,,24,A,a,78.1,+,,3.1,C,d
26,QGI,PV,59.8,,,6.7,c,c,282,,70,,a,140,,3,D,b,136,?,,26,B,b
27,,CF,138,,,37,B,c,284,,58,B,ab,323,,21,B,a,236,?,,29,A,b
28,,CR,30.6,,,2.6,c,,187,,40,C,a,159,,41,D,a,174,+,,35,B,a
29,,MB,11.2,,,2.2,A,c,24.3,,0.9,A,b,35.0,,3.4,A,a,35.7,?,,8.7,A,a
30,,TM,0.8,,,0.1,B,b.,4.9,,0.3,CD,b,17.2,,3.2,C,a,14.6,,,4.3,BC,a
31,KG1,SG,1.3,+,,0.1,B,c,3.8,,6.6,D,b,7.9,,0.3,D,a,9.4,?,,2.1,c,a
32,KG1,PV,2.0,+,,0.2,B,b.,29.9,,6.6,A,a,27.4,,7.1,B,a,21.5,?,,6.2,B,a
33,,CR,1.5,+,,0.3,B,c,16.2,?,3.5,B,b,23.5,+,2.6,BC,a,19.5,?,,1.7,B.,b
34,,CR,1.1,+,,0.3,B,d,9.5,,1.7,,c,17.2,+,2.6,c,b,22.2,,,3.0,B.,a
35,,MB,7.2,?,,1.8,B,b,16.0,?,2.6,,a,15.8,,1.5,B,a,13.4,,,1.1,AB,a
36,,TM,7.7,+,,0.0,AB,c,28.1,,0.8,A,a,28.6,,1.0,A,a,20.0,?,,4.4,AB,b
37,KGa,SG,7.1,+,,1.8,B,b,17.1,,2.3,BC,a,18.5,,1.5,B.,a,16.0,,,4.4,ABC,a
38,KGa,PV,3.9,,,1.3,c,c,25.4,?,6.6,A,a,18.5,?,5.3,B.,ab,14.7,?,,3.3,BC,b
39,,CF,9.8,+,,1.3,A,c,23.3,,4.6,AB,a,24.8,?,1.2,A,a,17.8,?,,1.9,ABC,b
40,,CR,5.9,+,,0.6,BC,c,14.9,+,1.7,C,b,18.2,,3.3,B,ab,20.8,+,,2.2,A,
41,,MB,47.2,?,,6.8,A,c,87.9,?,10.7,A,a,80.6,?,10.6,B,ab,62.4,?,,15.9,A,bc
42,,TM,25.2,+,,4.5,C,c,99.2,,2.8,A,a,102,,2.5,A,a,67.8,,,15.0,A,a
43,K,SG,19.0,+,,2.9,CD,b,51.2,,10.5,C,a,57.7,,8.5,C,a,50.3,+,,15.0,AB,a
44,K,PV,13.7,+,,0.5,DE,c,77.0,,23.0,AB,a,40.8,,0.8,D,b,39.8,?,,7.1,B,b
45,,CF,39.8,+,,2.3,B,c,85.3,?,18.9,A,a,94.0,,3.5,A,a,62.4,,,7.4,A,b
46,,CR,10.0,+,,0.4,E,c,58.8,+,3.6,BC,a,37.0,,4.9,D,b,46.7,,,11.9,AB,ab
47,M,MB,32.7,+,,7.4,A,b,59.0,?,7.3,BC,a,64.2,,8.0,B,a,52.0,,,13.7,B,a
