,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,RXS,2.111222222.2.21.122.2..2,,,,,,,,,,,,,,,
1,,,,21111211.111111111111:1,,,,,,,,,,,,,,,
2,,,S,1121121222.2122112.112212.2,,,,,,,,,,,,,,,
3,,,,1111111111111111111111111111111,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,1111111111111111111111111111111,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,SEM,,,,,,,,,,,,,,,,
8,,1.1c,,,,,,,,,,,,,,,,,
9,,D.6,,,,,,,,,,,,,,,,,
10,,1.1e,,,,,,,,,,,,,,,,,
11,,D.6,,,,,,,,,,,,,,,,,
12,,1.1C,,,,,,,,,,,,,,,,,
13,,D.6,,,,,,,,,,,,,,,,,
14,,1.1C,,,,,,,,,,,,,,,,79,
15,,D.6,,,,,,,,,,,,,,,,,
16,,1.1e,,,,,,,,,,,,,,,,,
17,,D.6,,,,,,,,,,,,,,,,,
18,,1.1C,,,,,,,,,,,,,,,,,
19,,D.6,,,,,,,,,,,,,,,,,
20,,1.16,,,,,,,,,,,,,,,,,
21,,D.4,,,,,,,,,,,,,,,,,
22,,1.1e,,,,,,3,2,,,,,,,,,,
23,Mnhhss,,,,0:9,0:8,0:01,,11,1IS,11,C111,0110,C:111,C:112,8113,2200,,vaa
