,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,011,,,,,,qI'OFO'vL,,,pI09'8,,,218,248,
1,,n3-W,y3Z'0FE'6I,,,,qL'0FS'6,121114,,,3qI'0F6'6,,,,,,,I'S+,
2,,n3-W,y3Z'0FE'6I,,,,qL'0FS'6,121114,,,3qI'0F6'6,,,,,,'77,,
3,,,JoZ'0F6'LI,509,,,,,,3l'0+88I,qZ'0F8'0Z,,,,,,,,
4,,n-d,,,,,,,,,,,,,,,,,
5,,,,,09,psl'0F8'v,,,441,ql'0F9'E,,,,,,44144,11,,
6,,,q0'0FZI,q0'0FZ'I,,p0007,00,,q0'0FEL,q00II,q00II,0080,q00,,p0'06l,,717,14144,
7,,n-1d,,,,,,,qI'0F7'S,qel'0+6'v,,,1018,,,,,,
8,,,qI'0F6'L,,jI'0F6'Z,,pl'OFL'Z,,,,opI`0 F8'Z,,,,,,20,,
9,,[e-1d,,,0+88,qI'O+Z'0L,qI'O+Z'0L,,345,qeI'0FZ'S,,pI'0+6'9,,,qI'0+8'S,,210,,
10,,n-,,p0'08'S,,,q0'08l,,q0'0FSl,001,q0'0F8'I,1001,,q009,q006l,,,,
11,,Pra,019,019,,qI'0+L'9,,,244,Jol'0+8'6,pI'0+6L,'08,,,ql'08'9,,,07F9'8,
12,,,qI'0FSZ,qI'0FSZ,,pl'0F9'E,pl'0F9'E,,116,,,,,,,,,,
13,suut,,,,,,,,,qI'0+6'S,,1111111,,,,,,,
14,,n-a,06,,,,,,,qI'0+6'S,,1111111,,,,,,,
15,ouon,,,ql'0+9'0I,,,,,,,,,,,,,,,
16,,,,ql'0+9'0I,,,,,112,,,,,,,,118,122,
17,,,,,,,nun,,%,,Refa,,,,,,,,%
