,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,,,11,,,,,,,pZ'0FS'9L,,,,
1,,n[3-AW,y8'0F8'SZ,y8'0F8'SZ,,qE0F8'6,qE0F8'6,,,,,p9'0 F Z'9I,s0'LF8'vZ,,,,
2,,ie3-AW,,,,,pZ'0FI'6I,,,,,,,q9'0F I'VI,,441,571
3,,Pr1a,,,,p8'0F8'9,p8'0F8'9,,,,,,,,,,
4,,,001,001,,s0'0FI'Z,s0'0FI'Z,480,,,,,pI'OFS'Z,,q0'0F8'I,,410
5,,n3-1d,qL'0T9'SL,qL'0T9'SL,,,,444,444,,,,,pS'0FS'8,,,
6,,,p0'04,p0'04,088,qe0'O F L'Z,qe0'O F L'Z,,eE0FSZ,,,,,,,B58,
7,,[e3-1d,,,,pE0FS'0I,pE0FS'0I,540,e10F9'9,,,,,,,,
8,,,,,,,,,,100,,,,,100T81,,
9,,,,qS'0F8'8,,,8096,,,,pE0+811,,,,,,
10,800,,pZ'0F4'S,,,,q0'0FL'E,,,,,,,,,,
11,,,qV'0FLIZ,,,,,,,,,,,,,069,
12,,,1+1E,,,q9'0F6'ZI,q9'0F6'ZI,85,,,,,,,,,
13,,,,,,,nIn,%A,,bkke,,,,,,%,
