,0,1
0,Layered double hydroxides,
1,Zinc aluminium oleate,A
2,Zinc aluminium nitrate,B
3,Zinc aluminium chloride,C
4,Magnesium aluminium nitrate,D
5,Magnesium aluminium azelate,E
6,Magnesium aluminium hydroxide chloride,F
7,Magnesium aluminium hydroxide acetate,G
8,Magnesium aluminium hydroxide carbonate,H
9,Magnesium aluminium acetate,1
10,Zinc hydroxy chloride,L
11,Lamellar solids,
12,Zirconium phosphate (type B),M
13,Zirconium phosphate (type B)+ Octadecylamine,N
14,Oxides/Hydroxides,
15,Magnesium oxide,0
16,Magnesium hydroxide,P
17,Phyllosylicates,
18,Bentonite,Q
19,Talc,R
20,Mica L,S
21,Mica F,T
22,Mica SFG 20,U
