,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,Minerals (mg/100 g dm),Minerals (mg/100 g dm),Minerals (mg/100 g dm),,,,,,,,
1,No.,cultivars,,Macroelements,Macroelements,,,,Microelements,,,,,
2,,,,Na,K,K,Ca,Mg,Fe,Cu,Zn,,Mn,
3,6,Prozrocznaja,,10.45 0.07,10.45 0.07,543.26  27.5,233.67  12.41,73.00  1.00 g,5.01 0.04 g-j,2.500.01 f,1.370.04 j,1.370.04 j,2.97  0.05 h,2.97  0.05 h
4,,,,gh,jk,jk,,,,,,,,
5,7,Tatiana,,5.05  0.33 m-,5.05  0.33 m-,702.05  14.9,67.86  6.93 hi,65.30  0.53 h,11.700.10 c,0.33 0.01,1.13  0.01,1.13  0.01,1.78  0.01,1.78  0.01
6,,,,0,de,de,,,,tu,m,,lm,
7,Leaves,,,,,,,,,,,,,
8,1,Bot.-Ljubitel.,,16.12  0.59,16.12  0.59,832.19  32.9,1141.93  14.9,127.26  2.24 b,15.560.19 b,2.66  0.01 e,1.230.011,1.230.011,12.00  0.04,12.00  0.04
9,,,,cd,be,be,b,,,,,,a,
10,2,Golden Rain,,36.62  1.06 a,36.62  1.06 a,296.55  15.5 r,1100.98  2.08,148.05  0.19 a,8.43  0.80 d,4.11 0.05 d,0.83  0.01 r,0.83  0.01 r,10.25  0.09,10.25  0.09
11,,,,,,,c,,,,,,e,
12,3,Luczistaja,,7.790.40 i-k,7.790.40 i-k,631.64  40.4,652.43  16.9 f,40.72  1.21 j,4.98  0.58 g-j,0.35 0.01 t,1.04  0.01,1.04  0.01,9.80  0.13 f,9.80  0.13 f
13,,,,,gh,gh,,,,,n,,,
14,4,Maryja,,8.26  0.43 ij,8.26  0.43 ij,702.52  37.2,841.45  23.3 d,60.53  1.43 hi,5.99  0.47 ef,0.16 0.01 x,1.16 0.01,1.16 0.01,11.72  0.09,11.72  0.09
15,,,,,de,de,,,,,m,,b,
16,5,Podarok Sadu,,9.57  0.87 hi,9.57  0.87 hi,892.77  41.7,742.23  56.4 e,29.32  3.80 m-,19.78  0.63 a,5.19  0.06 a,1.330.01 k,1.330.01 k,11.530.16,11.530.16
17,,,,,bc,bc,,p,,,,,c,
18,6,Prozrocznaja,,12.89  0.04 f,12.89  0.04 f,968.39  89.9 b,1074.79  13.8,10.52  1.37 t,8.47  0.65 d,2.50  0.02 f,1.21  0.011,1.21  0.011,12.11  0.15,12.11  0.15
19,,,,,,,c,,,,,,a,
20,7,Tatiana,,9.30  0.02 hi,9.30  0.02 hi,619.04  27.4,1200.96  5.58,85.90  4.07 e,11.500.33 c,0.210.01,0.85  0.01 r,0.85  0.01 r,10.61  0.10,10.61  0.10
21,,,,,gh,gh,a,,,WX,,,d,
22,,,Tukey's multiple comparison,Tukey's multiple comparison,Tukey's multiple comparison,,,,,,,,,
23,Skins,,8.03 CD,,565.94 C,,23.59 D,28.89 D,2.62 D,0.71 C,,1.24 BC,,1.18 D
24,Flesh,,9.32 C,,794.39 A,,13.29 E,33.48 CD,1.76 E,0.45 F,,1.10 C,,1.12 D
25,Endocarp,,16.06 A,,745.26 AB,745.26 AB,54.44 C,26.46 D,2.58 D,1.40 D,,1.54 B,,1.63 C
26,Seeds,,4.63 E,,553.41 C,,2.16 F,96.77 A,4.78 C,0.59 E,,2.42 A,,0.97 D
27,Branches,,7.70D,,578.62 C,,114.85 B,77.30 B,6.36 B,2.06 B,,1.47 B,,2.39 B
28,Leaves,,14.36 B,,706.16 B,,964.97 A,71.76 B,10.67 A,2.17 A,,1.09 C,,11.14 A
