,0,1,2,3,4,5,6,7,8,9
0,Crop,Effect,FA,,10-FFA,THF,5-MTHF,"5,10-MTHF",5-FTHF,Total folate
1,Common bean,Cultivar,92.44***,92.44***,8.05**,75.8***,18.52***,26.95***,78.84***,35.36***
2,,Location,,0.07 ns,0.01 ns,15.1**,0.10 ns,29.48***,37.41***,19.31***
3,,Cultivar  location,,2.89 ns,0.44 ns,6.58**,16.32***,3.56*,9.81**,13.26***
4,Lentil,Cultivar,24.16**,24.16**,23.23***,20.53**,9.56**,3.16 ns,7.19**,3.44
5,,Location,,0.17 ns,8.81*,7.76*,18.27***,0.25 ns,3.06 ns,21.91**
6,,Cultivar  location,,1.231 ns,4.41,8.03**,3.85,0.70 ns,3.02 ns,4.25*
7,Chickpea,Cultivar,,9.21***,7.66**,28.8***,1.75 ns,47.18***,38.76***,37.78***
8,,Location,260.24***,260.24***,38.14***,1.62 ns,0.41 ns,96.82***,473.78***,458.45***
9,,Cultivar  location,,1.12 ns,0.58 ns,0.95 ns,7.89*,2.26 ns,3.85*,1.91 ns
10,Pea,Cultivar,,0.23 ns,4.83,17.28,13.05***,0.94 ns,42.33***,8.3**
11,,Location,,1.88 ns,2.42 ns,0.59 ns,5.84,0.17 ns,3.63 ns,0.28 ns
12,,Cultivar  location,,0.58 ns,0.74 ns,6.47,3.96,1.46 ns,4.07*,6.19
