,0,1,2,3,4,5,6,7,8,9
0,Compounds/Wines,Vranec,,,Cabernet Sauvignon,Cabernet Sauvignon,,Merlot,,
1,,2006,2007,2008,2006,2007,2008,2006,2007,2008
2,K-glcU,2.25  0.02,1.420.01,1.210.01,1.460.01,0.930.01,0.440.01,nd,0.960.01,1.330.01
3,K-glc,3.970.02,3.120.03,2.360.02,2.340.02,2.650.02,2.480.02,2.440.01,2.250.01,2.93 0.02
4,K,1.25 0.01,1.280.01,0.79  0.01,1.29  0.01,0.680.01,0.28  0.00,0.770.01,1.160.01,0.260.00
5,Q-glcU,31.6  0.32,27.7  0.24,24.8  0.24,26.1  0.25,23.90.21,26.9  0.29,24.0  0.21,27.6  0.30,32.6  0.31
6,Q-glc,nd,1.580.01,5.50  0.05,5.06  0.04,nd,nd,nd,nd,nd
7,Q,21.70.19,18.70.16,8.30  0.07,19.60.21,25.30.24,9.400.09,13.70.12,28.2  0.30,3.36  0.03
8,I-glc,nd,0.580.01,1.180.01,0.860.01,0.310.01,0.610.01,nd,0.710.01,0.68 0.01
9,I,3.94  0.3,2.53  0.02,1.100.01,1.34  0.01,6.28  0.06,2.60  0.02,1.93 0.01,4.58  0.04,0.840.01
10,M-glcU,3.01  0.2,2.48  0.02,2.25  0.02,2.49  0.02,2.86  0.02,3.75 0.03,nd,2.90  0.02,3.56 0.03
11,M-gal,nd,0.170.00,2.29  0.01,0.48  0.01,0.640.01,0.740.01,nd,0.66  0.01,0.620.01
12,M-glc,6.90  0.5,22.4  0.25,34.3  0.31,23.4  0.23,6.57 0.06,11.20.13,4.28  0.02,11.40.11,13.30.12
13,M,nd,1.090.01,0.860.01,3.94  0.03,3.23  0.03,3.29  0.03,7.86  0.06,3.52  0.03,3.04  0.02
14,L-glc,7.880.6,7.230.07,7.600.06,6.010.06,6.720.06,9.160.09,5.540.03,5.600.05,10.50.11
15,L,3.35  0.3,1.340.01,0.470.01,0.800.01,3.520.03,3.670.03,9.100.09,2.240.02,2.810.02
16,S-glc,12.60.13,7.380.06,6.400.06,4.480.05,15.20.13,23.90.24,28.20.27,7.610.07,23.2  0.22
17,S,1.640.01,0.990.01,0.590.01,0.360.01,1.210.01,1.520.01,2.140.01,0.520.01,0.88  0.01
18,Total aglycon type flavonols,,,,,,,,,
19,K-type,7.47  0.07,5.82  0.05,4.37  0.04,5.09  0.05,4.26  0.04,3.20 0.03,3.21  0.02,4.37  0.04,4.51 0.04
20,Q-type,53.2  0.47,48.00.51,38.60.39,50.80.61,49.20.46,36.4  0.35,37.7  0.35,55.8  0.51,35.90.33
21,I-type,3.94  0.03,3.110.03,2.280.02,2.210.02,6.59  0.06,3.210.03,1.93  0.02,5.29  0.05,1.520.01
22,M-type,9.910.09,26.10.31,39.70.41,30.3  0.33,13.30.15,18.90.19,12.10.12,18.50.16,20.60.22
23,L-type,11.20.12,8.57 0.09,8.070.09,6.81 0.07,10.20.09,12.80.11,14.60.15,7.84  0.08,13.40.15
24,s-type,14.20.13,8.370.09,6.990.08,4.840.06,16.40.15,25.40.28,30.30.27,8.140.08,24.1 0.28
25,Total Flavonols (mol/L),35.9  0.40,88.5  0.91,1201.45a,1521.46,62.1  0.58,45.50.39b,24.1 0.31,1191.23a,48.70.53b
