,0,1
0,Purchased samples,Country of Origin
1,"Bulk Rice (White,long grain)",Guyana
2,Daawat Brown Rice,India
3,Roland Arborio Rice,Italy
4,Kendel Brown Gold Basmati Rice,Pakistan
5,Kaset Jasmine Rice,Thailand
6,Kendel Jasmine Rice,Thailand
7,Khao Thai Brown Jasmine Rice,Thailand
8,Mahatma Jasmine Rice,Thailand
9,Nep Thoung Hang Sweet Rice,Thailand
10,Oriental Mascot Sweet Rice,Thailand
11,Roland Jasmine Rice,Thailand
12,Roland Black Japonica Rice,Unknown
13,Kendel Long Grain White Rice,Unknown;
14,,packaged in Jamaica
15,Carib Pearl Long Grain Parboiled Rice,Unknown;
16,,packaged in St.Vincent
17,,and the Grenadines
18,Natural Diamond Brown Rice,Unknown;
19,,packaged in St.Vincent
20,,and the Grenadines
21,Three Jewels Brown Rice,Unknown;
22,,packaged in St.Vincent
23,,and the Grenadines
24,Three Jewels Long Grain Parboiled Rice,Unknown;
25,,packaged in St. Vincent
26,,and the Grenadines
27,Three Jewels Long Grain White Rice,Unknown;
28,,packaged in St.Vincent
29,,and the Grenadines
30,Bob's Red Mill Sweet Brown Rice,USA
31,Grace Long Grain White Rice,USA
32,Mahatma Long Grain Enriched Rice,USA
33,Riceland Brown Rice,USA
34,Riceland Enriched White Rice,USA
35,Uncle Ben Whole Grain Brown Rice,USA
36,Zatarain Parboiled Rice,USA
