,0,1,2,3,4,5
0,Processors/Cassava varieties processing techniques,Cyanogen levels (mg HCN equivalent/kg,Cyanogen levels (mg HCN equivalent/kg,,,
1,,Linamarin,Cyanohydrin,Free HCN,Total,pH
2,No.9/var.Muyuka white skin,,,,,
3,Peeled roots,703.6 10.9,26.1 1.4,10.61.1,740.3,6.730.05
4,Grating,421.312.3,89.8 2.2,13.31.4,524.4,6.510.04
5,Dewatering 24 h,158.9+21.1,33.21.8,11.21.2,203.3,4.340.03
6,"""Garification",10.00.4,12.2 1.3,3.20.5,25.3,4.64 0.02
7,Gari Yellow-coloured,1.30.2,0.3,0.3,1.9,4.92+0.02
8,White-coloured,1.50.1,0.70.1,0.50.1,2.6,4.89+0.02
9,No.10/var.8017,,,,,
10,Peeled roots,398.716.5,21.2 2.8,7.9+0.2,427.8,6.740.02
11,Grating,238.713.1,54.4+1.9,9.90.6,303.0,6.550.04
12,Dewatering 24 h,90.08.9,19.1 1.0,8.40.5,117.5,4.340.02
13,48h,18.1+1.1,14.10.8,5.20.3,37.4,4.25+0.01
14,"""Garification""",5.70.6,6.60.5,2.4 0.2,14.6,4.220.02
15,Gari Yellow-coloured,0.80.1,0.1,0.2,1.1,4.490.01
16,White-coloured,0.80.2,0.3,0.4,1.5,4.770.03
17,No.11/var.Muyuka white skin,,,,,
18,Peeled roots,763.9  10.9,24.71.4,9.30.1,797.9,6.750.02
19,Grating,457.41.8,96.1 5.7,11.60.4,565.2,6.61 0.03
20,Dewatering 24 h,172.56.1,36.81.4,9.90.5,219.1,4.240.02
21,"""Garification""",10.90.7,13.70.7,2.8 0.2,27.3,4.570.01
22,Gari Yellow-coloured,1.50.3,0.3,0.2,2.0,4.810.02
23,White-coloured,1.60.2,0.70.2,0.4,2.8,4.750.02
24,No.12/var.8017,,,,,
25,Peeled roots,415.6+16.5,25.83.8,9.10.7,450.4,6.750.03
26,Grating,248.9 19.1,58.9 4.4,11.41.4,319.1,5.540.02
27,Dewatering 24 h,93.89.5,20.2+1.9,9.61.1,123.7,4.370.03
28,48h,18.91.3,14.51.2,6.00.8,39.4,4.270.03
29,"""Garification",5.90.5,6.80.9,2.7+0.9,15.4,4.230.02
30,Gari Yellow-coloured,0.80.2,0.1,0.2,1.1,4.410.02
31,White-coloured,0.90.2,0.3,0.4,1.6,4.370.02
