,0,1,2,3,4,5,6,7,8,9,10,11
0,,df,Vitamin C,5-CaQAa,DiCaQA I,DiCaQA II,TriCaQA,Q-Tris,Q-Rut,K-Rut,Nar,Nar chalc
1,Variety V,2,100.60 c,127.11 c,51.16 c,151.45c,72.21 c,127.10 c,156.24 c,65.18 c,83.82 c,278.61 c
2,Ripeness R,1,36.61 c,237.44 c,44.29 c,4.51 a,30.84 c,1.19,19.43 c,1.28,1.83,6.45 a
3,Elicitor E,1,0.77,3.95 a,0.01,0.00,0.25,3.20,4.21 a,2.86,0.00,1.97
4,N-dose N,1,6.43 a,3.95 a,1.26,0.38,0.67,0.37,3.04,13.73 c,3.24,1.59
5,VR,2,1.18,3.88 a,0.07,2.67,2.88,2.70,15.28 c,6.44 b,0.53,6.50 b
6,VE,2,4.67 b,0.05,1.83,4.66 a,1.98,4.20 a,4.49 a,1.50,1.46,2.12
7,RE,1,1.66,5.17 a,7.54 b,5.79 a,6.21 a,0.93,0.67,0.11,0.07,5.02 a
8,VN,2,3.71 a,2.13,2.04,1.51,2.39,1.75,2.00,13.51 c,0.94,1.52
9,RN,1,3.73 a,1.95,17.13 c,15.20 c,18.62 c,0.79,0.33,0.82,0.28,6.21 a
10,ExN,1,0.27,0.19,0.68,0.04,0.12,0.70,1.97,0.23,0.07,6.21 a
