,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,,1,,,,3,,,,6,,,,9,,,,,,,,,
1,Salting(days),,2,,4,,2,,4,,2,,4,,2,,4,,,,,,,
2,Temperature(C),Temperature(C),8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,,,,,,
3,Fatty acids,,,,,,,,,,,,,,,,,,SEM,R,T,S,RxT,RxS
4,C10:0,0.48,0.36,0.28,0.06,0.06,0.35,0.11,0.06,0.05,0.49,0.09,0.09,0.07,0.08,0.06,0.11,0.07,0.020,***,***,***,n.s.,***
5,C12:0,0.60,0.46,0.41,0.09,0.08,0.48,0.12,0.09,0.08,0.66,0.18,0.12,0.11,0.12,0.09,0.12,0.10,0.025,***,***,***,*,***
6,C14:0,3.02,2.68,1.85,1.12,1.00,2.41,1.35,1.12,1.43,3.33,1.91,1.71,1.80,1.92,1.57,2.23,1.94,0.086,**,**,***,n.s.,***
7,C14:1,0.20,0.15,0.11,0.05,0.05,0.14,0.12,0.05,0.12,0.11,0.14,0.08,0.13,0.20,0.20,0.15,0.12,0.007,**,n.s.,**,n.s.,n.s.
8,C15:0,0.25,0.21,0.16,0.07,0.08,0.19,0.09,0.07,0.09,0.24,0.11,0.10,0.13,0.12,0.13,0.13,0.12,0.007,n.s.,n.s.,***,n.s.,***
9,C15:1,0.08,0.05,0.04,0.08,0.05,0.03,0.06,0.08,0.08,0.18,0.15,0.07,0.08,0.03,0.03,0.02,0.04,0.005,***,**,n.s.,***,***
10,C16:0,22.0,21.3,21.1,23.8,23.7,22.2,27.1,23.8,30.6,25.9,29.5,32.8,35.7,32.9,32.7,43.1,36.6,0.833,***,**,**,***,n.s.
11,C16:1n-7,1.25,1.42,1.28,1.38,1.29,1.25,1.80,1.38,1.79,2.07,2.03,1.78,1.81,2.46,2.17,1.37,1.88,0.049,***,**,**,***,**
12,C17:0,0.31,0.34,0.28,0.35,0.33,0.28,0.41,0.35,0.41,0.35,0.32,0.40,0.42,0.32,0.46,0.44,0.41,0.009,***,***,***,**,***
13,C17:1,0.32,0.31,0.25,0.30,0.27,0.24,0.33,0.30,0.35,0.36,0.35,0.27,0.28,0.31,0.43,0.17,0.32,0.009,,***,*,**,***
14,C18:0,14.5,13.4,12.7,15.8,14.0,12.3,11.3,15.8,11.1,9.21,8.41,13.8,11.8,10.1,9.45,16.1,11.7,0.303,**,***,***,**,***
15,C18:1n-9,42.4,48.1,47.6,43.7,47.4,47.4,49.0,43.7,46.3,45.9,49.2,43.6,42.7,45.9,48.2,31.5,42.2,0.617,**,**,***,**,**
16,C18:2n-6,10.6,9.72,10.0,10.7,8.56,9.37,4.74,10.7,4.16,7.20,4.44,2.27,1.82,2.10,1.57,0.74,1.49,0.457,**,***,***,***,**
17,C18:3n-6,0.07,0.06,0.05,0.06,0.06,0.05,0.04,0.06,0.04,0.05,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.002,**,n.s.,***,***,n.s.
18,C18:3n-3,0.57,0.53,0.53,0.46,0.43,0.52,0.19,0.46,0.19,0.47,0.33,0.10,0.10,0.09,0.06,0.08,0.07,0.025,*,***,***,***,***
19,C20:0,0.14,0.15,0.12,0.16,0.16,0.12,0.13,0.16,0.11,0.09,0.19,0.17,0.20,0.16,0.30,0.12,0.14,0.007,,*,n.s.,n.s.,***
20,C20:1n-9,0.71,0.86,1.02,0.87,0.89,0.97,1.14,0.87,1.08,1.02,1.02,0.86,0.93,0.73,0.72,1.03,1.59,0.028,,n.s.,,**,***
21,C20:2n-6,0.40,0.42,0.49,0.38,0.38,0.46,0.24,0.38,0.20,0.31,0.18,0.21,0.22,0.12,0.10,0.33,0.18,0.016,*,***,n.s.,**,***
22,C20:3n-6,0.17,0.09,0.11,0.08,0.06,0.11,0.03,0.08,0.02,0.05,0.02,0.04,0.03,0.01,0.005,0.11,0.004,0.006,,***,n.s.,***,***
23,C20:4n-6,1.01,0.40,0.42,0.41,0.21,0.45,0.06,0.41,0.05,0.14,0.05,0.05,0.05,0.04,0.02,0.14,0.04,0.029,,**,,***,**
24,C20:3n-3,0.11,0.11,0.14,0.10,0.10,0.13,0.07,0.10,0.06,0.13,0.08,0.08,0.07,0.03,0.04,0.15,0.03,0.005,,***,n.s.,n.s.,***
25,C20:5n-3,0.05,0.03,0.07,0.13,0.03,0.05,0.04,0.13,0.03,0.11,0.04,0.08,0.02,0.04,0.01,0.02,0.03,0.004,,***,n.s.,**,n.s.
26,C22:2n-6,0.57,0.68,0.94,1.23,0.67,0.80,1.57,1.23,1.82,1.76,1.17,1.34,1.71,2.09,1.66,1.73,1.67,0.065,,n.s.,n.s.,***,n.s.
27,C24:0,0.09,0.06,0.06,0.08,0.04,0.06,0.03,0.08,0.04,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.01,0.003,,***,***,***,*
28,SFA,41.4,37.6,37.0,41.6,39.5,38.4,40.6,41.6,43.9,40.3,40.7,49.1,50.2,45.8,44.8,62.4,51.1,0.912,  ,n.s.,***,***,*
29,UFA,58.6,62.4,63.0,56.3,60.5,61.8,59.4,56.3,56.1,59.7,59.2,50.9,49.8,54.2,55.2,37.6,48.9,0.928,,n.s.,***,***,*
30,MUFA,45.0,50.8,50.3,46.3,50.0,50.1,52.4,46.3,49.5,49.5,52.9,46.7,45.7,49.7,51.7,34.2,45.4,0.646,  ,**,***,***,**
31,PUFA,13.6,11.5,12.7,9.98,10.5,11.8,6.99,9.98,6.58,10.2,6.34,4.20,4.05,4.55,3.49,3.32,3.55,0.479,,***,,***,***
32,n-3,0.73,0.67,0.74,0.68,0.57,0.70,0.30,0.68,0.28,0.72,0.45,0.26,0.20,0.17,0.11,0.25,0.13,0.031,,***,***,***,**
33,Dn-6,12.9,10.8,12.0,9.30,9.94,11.1,6.68,9.30,6.29,9.46,5.88,3.94,3.86,4.38,3.38,3.07,3.41,0.451,,***,***,***,**
34,P/S,0.33,0.32,0.35,0.26,0.27,0.31,0.17,0.26,0.15,0.25,0.16,0.09,0.08,0.10,0.08,0.05,0.07,0.014,,***,***,***,**
35,n-6/n-3,17.7,16.2,16.3,12.3,17.7,16.1,22.3,19.8,22.3,13.2,13.0,15.8,20.8,26.6,31.9,12.7,25.6,0.819,,***,n.s.,n.s.,**
36,AI,0.59,0.47,0.46,0.53,0.47,0.53,0.55,0.46,0.65,0.67,0.63,0.79,0.87,0.75,0.71,1.39,0.92,0.032,,n.s.,***,***,**
37,TI,0.81,0.75,0.72,1.09,0.79,0.76,0.76,0.72,0.85,0.86,0.92,1.17,1.12,0.83,0.74,1.94,1.00,0.044,,,***,***,**
38,h,56.0,59.6,60.3,53.6,57.9,59.2,55.9,58.8,52.9,56.0,55.5,47.8,46.8,50.5,51.7,34.8,45.7,0.919,***,n.s.,***,***,*
39,H,25.1,23.0,22.9,24.9,24.7,24.6,28.4,25.2,32.0,29.2,31.4,34.5,37.5,34.9,34.3,45.4,38.5,0.846,***,,***,***,n.s.
40,h/H,2.24,2.66,2.63,2.27,2.40,2.44,1.97,2.34,1.65,1.92,1.77,1.40,1.26,1.45,1.51,0.77,1.20,0.077,***,*,***,***,n.s.
41,NI,2.59,2.95,2.86,2.59,2.64,2.72,2.23,2.53,1.88,2.13,1.96,1.77,1.54,1.70,1.76,1.11,1.49,0.073,***,**,***,***,n.s.
