,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,OHLL,,,10101,,,,1019,,,205000,,,10102,,10112,,,,
1,,OHL,,,,,2004,2004,,3002,,,10104,,,10104,101104,,1003,
2,2,,,,108,,,,,,,,,,,,,1517,,
3,,OHL,,,,,,,,,,,9089,,,1065,90-9'9,,1004,3004
4,,,,,,,,10,,,,,,,,,,10-0,90-89,
5,,OHL,,1102,10102,,101102,,,,20-007,,,,,,,,10-102,
6,,,,,,10-363,20104,,3004,10113,00000,,,,,,,10005,20-04,
7,,OHL,,,0-386,,,,,,1001,0-006,0-006,20102,102,,,,,
8,,,,1004,,1004,10105,,,,,,,,,,10,111,,
9,,THI,,,,,,,,,,,,,,,,,203,1002
10,,,,,,,,,,,1002,10104,10104,1064,,10-114,1004,10-04,,
11,,OH,,,10-102,,,,,10101,,,,,10101,,,,,101177
12,,,,,,10102,,40-04,,,,,,1005,,1005,,,1004,
13,,OHL,,11102,,10191,10102,,1202,,,,,,,,,,1002,
14,,,,,,,,,,,,10-10,10-10,,10104,,,,,20004
15,,OHL,uaip[iqt 1oj OHL pue (p-8y/w) I oL,,,,,,,,,st[mpe 10j OHL pue (p-8x/8w) IR sL,,,,,,,,
16,,FII,uaip[iqt 1oj OHL pue (p-8y/w) I oL,,,,,15105,,,,st[mpe 10j OHL pue (p-8x/8w) IR sL,10,7007,,,,,,
17,,,uaip[iqt 1oj OHL pue (p-8y/w) I oL,Baan,,,Pees,Con,,,,st[mpe 10j OHL pue (p-8x/8w) IR sL,Bean,,Whaht,Paas,Corn,,Rire,
