,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,(22,,,,,,69'0,,,,0442,90,p98'0-,880,p080-,690,68'0,,620,920
1,,,,012,012,044,,,042,,000,990,,090,,190,,,,001
2,81,,000,024,,,99'0,110,80'0,012,,021,,,,,98'0,110,100,
3,,022,,,14,810,,,,,,,800-,012,000,,600,00,,
4,,110,,,,89'0,080,,032,044,,,,880,,,00,,,
5,1,,,89,99,,,,9,,110,08.0,,,,00,,,,
6,,,,,000,e990,,,,,,000,,060,100,,,,,
7,,19'0,,02,09'0,,090,,,044,,,660,10,,,,,,
8,,,,,,,,,110,,690-,,10,,,,,,,
9,I,,160,,,,,060,,,112,100,,,,,,,,
10,01,220,,,140,042,,900-,022,,00,,,,,,,,,
11,6,,,,,,,,,100,,,,,,,,,,
12,8,98'0,880,,,044,,,100,,,,,,,,,,,
13,,16'0,,98'0,,,,100,,,,,,,,,,,,
14,9,,,,,,00,,,,,,,,,,,,,
15,,99'0,044,014,88'0,00,,,,,,,,,,,,,,
16,,99'0,042,,001,,,,,,,,,,,,,,,
17,,,180,100,,,,,,,,,,,,,,,,
18,(2),980,100,,,,,,,,,,,,,,,,,
19,,100,,,,,,,,,,,,,,,,,,
