,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,%,000,1290,4040,0000,081,,000,,,000,,,000,1775,,000,,2170,000,080,0498,000,,
1,,0I x/8n,,,,,,,,,,,,,,,,,,,,,,,()+00680,
2,,%,000,1041,6861,000,,,000,,1115,1000,1131,,000,8161,1187,0001,1111,2200,000,11,,0001,1111,2134
3,,0I x3u/Bn,,,,,,,aV)600+99I,,,,,,(AV) Z0'0F6t'0,,,,,(VO) Z0'0Fs8'0,(AV) 200+90,,,,,
4,,%,000,,,0001,222,069,000,,,000,111,0'961,000,,,000,,,000,,1711,000,,
5,,0Ixu/Bn,,,V)+00890,,,,,,,,,,(AV) 80'0+08I,,(VO) tZ'0F+0'S,,,,,,(4)600487,,,
6,,%,000,3444,,0001,110,,000,,345,000,053,,000,044,,000,60,424,0000,1.12,,000,,
7,,0/n,,,,,1018,,,,00,,10008,,,,,,,V00+60,,,,,,
8,(u)L,,(t),()V,(+)g,(+),(4)4,,(2),(2)2,,(t),(4)4,,(t),,(+)g,(4),(+)4,,(z)o,(Z)V,(Z)a,(t),(+)V,
9,,,,,,,oepppr,,,,,,,,,harm,,,,,JUIr OMJ,,,,,
