,0,1,2,3,4
0,"Ingredients,dry matter basis",Growing period,Growing period,Finishing period,Finishing period
1,,CR,TMR,CR,TMR
2,Concentrate mixab (%),90,60,90,58
3,Wheat straw (%),10,9,10,11
4,Maize silage(%,,31,,31
5,"Composition,dry matter basis",,,,
6,Total protein (%),12.0,10.5,13.2,11.1
7,Total fat (%),6.6,5.7,5.9,5.2
8,Ash (%),6.2,5.8,6.1,5.8
9,Neutral detergent fiber(%,25.4,32.6,23.8,32.7
10,Metabolisable energy(MJ/kg,12.3,11.6,12.3,11.5
11,"Composition fatty acid, dry matter basis (%)",,,,
12,16:0,1.93,1.39,1.70,1.20
13,18:0,0.21,0.16,0.19,0.14
14,18:1,2.00,1.44,1.82,1.28
15,18:2,1.54,1.30,1.50,1.23
16,18:3,0.05,0.08,0.05,0.08
