,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,Phenolics Ant,Phenolics Ant,t-resv,SO2,SO2,PUT,CAD,TYM,ETA,HIS,AGM,Ethanol pH,Ethanol pH,1*,a*,,Vintage Price,Vintage Price
1,,,Cap,,Tot,Free,,,,,,,,,,,,,
2,Ant Cap,0.45c,1.00,,,,,,,,,,,,,,,,
3,t-Resv,0.22,0.52c,1.00,,,,,,,,,,,,,,,
4,SO Tot,0.41c,0.06,-0.12,1.00,,,,,,,,,,,,,,
5,SOFree,-0.24,0.10,0.10,0.79c,1.00,,,,,,,,,,,,,
6,PUT,0.23,0.58c,0.36B,0.24,-0.16,1.00,,,,,,,,,,,,
7,CAD,0.14,0.35B,0.42c,0.25,-0.05,0.40c,1.00,,,,,,,,,,,
8,TYM,0.21,0.5 c,0.23,-0.29,-0.25,0.84c,0.34A,1.00,,,,,,,,,,
9,ETA,-0.19,0.48c,0.37B,0.25,0.42c,0.36B,0.20,0.37B,1.00,,,,,,,,,
10,MEA,0.03,0.01,0.34A,0.00,-0.07,0.03,-0.22,0.12,0.00,0.29,0.18,,,,,,,
11,SPD,-0.15,0.09,0.26,0.08,0.20,0.17,0.31A,0.11,0.13,0.20,0.24,,,,,,,
12,Ethanol,0.52c,0.49c,0.31A,0.35B,0.28,0.30A,0.40c,0.28,0.08,-0.16,0.32A,1.00,,,,,,
13,pH,0.32A,0.4 c,0.29,-0.18,-0.16,0.41c,0.40c,0.32A,0.19,-0.13,-0.10,0.53c,1.00,,,,,
14,L*,0.39c,0.36 B,-0.23,0.28,0.02,-0.20,-0.15,-0.21,-0.16,0.04,0.10,0.39c,0.32A,1.00,,,,
15,a*,0.42c,0.45c,0.35B,-0.26,0.09,0.34A,0.40c,0.30A,0.43c,-0.07,-0.09,0.39c,0.38C,0.79c,1.00,,,
16,b*,0.31A,0.17,-0.11,0.4 c,0.49c,0.37B,0.26,0.47c,-0.13,0.10,0.16,0.35B,0.38C,0.43c,0.30B,1.00,,
17,Vintage,-0.13,0.34A,-0.13,0.32A,0.30,0.48c,0.22,0.51c,0.12,0.15,0.19,0.27,0.29,0.34B,0.12,0.66c,1.00,
18,PRICE,0.35A,0.46c,0.36B,0.26,0.08,0.41c,0.52c,0.26,0.05,0.35B,0.29,0.65c,0.57c,0.36B,0.33A,0.38c,0.57c,1.00
19,BA Tot,0.18,0.6 c,0.43 B,0.26,-0.10,0.8 c,0.7 c,0.8 c,0.49c,0.03,-0.19,0.38 B,0.46 B,0.23,0.47B,0.38 A,0.39 A0.46 B,0.39 A0.46 B
