,0,1,2,3,4,5,6,7,8,9,10,11
0,Wines,Methanol,n-,2-Methyl-1-,1-Butanol,2-Methyl-,a3-Methyl-,1-,1-Hexanol,"2,3-",Phenethyl,Furfuryl
1,,,Propanol,Propanol,,1-Butanol,1-Butanol,Pentanol,g[5],Butanediol,14[3],alcohol
2,Sensory,100[1,306[2],82[3],150[2],45[3],65[2],80[4],g[5],120[5],14[3],2.0[3]
3,threshold,,,,,,,,,,,
4,EC1118,2282bc,26.9 ,25.91.2jk,1.19 ,21.1 ,1093kl,6.35 ,5.90 ,12.1 3.6bc,68.9 ,tr
5,,,0.8a,,0.14bcd,2.0hi,,1.74a,1.24a,,20.5abcd,
6,7,2409ab,11.2 ,42.50.9d,1.12 ,34.1 ,134 4fgh,1.29 ,tr,9.79 ,64.2 ,tr
7,,,0.7m,,0.20bcd,1.7c,,0.04b,,1.48cdefgh,7.7bcd,
8,3,230 ,11.4  1.3,28.5 1.0i,1.21 ,31.2 ,1456cde,1.35 ,tr,8.97 ,83.6  6.0a,tr
9,,8abc,Im,,0.43bcd,0.6d,,0.00b,,0.77cdefghi,,
10,SYRAH,221  10,13.8 ,34.7  0.7 g,1.16 ,27.3 ,141 ,1.65 ,tr,8.87 ,71.8  2.4ab,tr
11,,cd,0.1hijk,,0.05bcd,2.6ef,13def,0.37b,,2.27cdefghi,,
12,M2,230 ,23.2 ,28.1  1.1ij,1.01 ,28.6 ,1506 cd,1.07 ,tr,10.04 ,52.0 ,tr
13,,3abc,1.9c,,0.23bcd,1.7de,,0.54b,,1.28cdefg,0.7defg,
14,MT,218 ,11.7 ,38.2  2.0f,1.02 ,27.2 ,121  9ij,1.15 ,0.196 ,9.85 ,54.0 ,0.74 
15,,11cde,1.6jkl,,0.18bcd,2.4ef,,0.11b,0.000c,0.86cdefgh,4.9cdef,0.51a
16,2226,219 ,13.5 ,20.4 1.6 L,1.32 ,18.9 ,76 4n,0.789 ,tr,10.18 ,32.1  3.0hi,0.65 
17,,4cde,0.6hijk,,0.31bcd,0.2ijk,,0.000b,,1.20cdef,,0.05ab
18,RA17,218 ,13.4 ,27.3  2.4ij,1.12 ,24.7 ,1261ghi,1.26 ,tr,8.38 ,55.4 ,tr
19,,5cde,14.8 ,,0.10bcd,31.4 ,,0.00b,,3.02defghi,37.5 ,
20,KD,213  6de,14.8 ,49.9  2.1c,1.27 ,31.4 ,129  5ghi,0.950 ,tr,11.07,37.5 ,0.17 
21,,,0.5fgh,,0.17bcd,1.1d,,0.000b,,0.51bcd,1.6fghi,0.09c
22,D47,214 2de,16.2 ,23.9  0.6k,0.87 ,22.4 ,1530c,0.822 ,tr,7.49 ,63.56 ,0.30 
23,,,0.4ef,,0.18d,0.6gh,,0.401b,,1.44efghi,8.1bcd,0.00abc
24,DV10,212  6de,17.1 ,24.9  1.1k,1.48 ,21.7 ,1055L,0.396 ,1.10 ,7.73 ,32.2  2.0hi,0.32 
25,,,0.3e,,0.44ab,1.1hi,,0.000b,0.255bc,1.19defghi,,0.28abc
26,CSM,217 ,12.0 ,39.5  1.1ef,1.02 ,18.9 ,90.1 ,tr,tr,16.0  3.4a,32.8  1.6hi,0.50 
27,,9cde,0.3klm,,0.27bcd,1.4ijk,2.2m,,,,,0.00abc
28,2323,218 ,11.3 ,42.6  1.7d,1.08 ,28.0 ,137 ,tr,0.528 ,8.74 ,46.6 ,0.61 
29,,10cde,1.1m,,0.31bcd,2.8e,12efg,,0.329bc,2.49cdefghi,0.1efgh,0.00abc
30,UV43,221  4,10.5 ,18.2  1.9 L,1.25 ,16.1 ,93 10m,tr,0.383 ,6.45  1.20hi,45.6 ,0.24 
31,,cd,0.9m,,0.07bcd,2.5k,,,0.249bc,,5.2efgh,0.17bc
32,D80,220 ,16.1 ,58.8 1.5a,1.00 ,28.2 ,122 4hij,tr,0.358 ,14.0  2.3ab,29.2  6.4hi,tr
33,,9cde,0.9fg,,0.24bcd,0.8e,,,0.376bc,,,
34,Clos,223  9,13.6 ,39.3  1.2ef,1.37 ,37.5 ,174  2b,tr,0.135 ,6.48 ,70.8 ,tr
35,,cd,0.4ijk,,0.13bc,1.1ab,,,0.234bc,1.71ghi,6.1abc,
36,FC9,223  4,15.1 ,41.1 ,0.89 ,26.9 ,1195ijk,tr,0.328 ,7.92 ,24.6  7.4i,0.53 
37,,cd,0.1fgh,0.9de,0.44 cd,1.3ef,,,0.016bc,1.59defghi,,0.00abc
38,71B,2121de,14.0 ,26.1  0.2jk,1.19 ,21.7 ,1125jkl,tr,0.619 ,7.03 ,36.4 ,tr
39,,,0.6hijk,,0.13bcd,0.5hi,,,0.091bc,0.43fghi,1.2ghi,
