,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Year,No.a,Nob%,No.%,No.%,,,,No.%,,,,Times of pesticides detected,Times of pesticides detected,Times of pesticides detected,Times of pesticides detected,Times of pesticides over MRLs,Times of pesticides over MRLs,,
1,,,,,Wind,Spr,Sum,Aut,Win,Spr,Sum,Aut,Win,Spr,Sum,Aut,Win,Spr,Sum,Aut
2,2010,1500,543,71,1,204,124,215,,11,27,33,-,321,166,214,-,18,21,26
3,,,(36.20),(4.73),,(40.80,(24.80),(43.00),,(2.20),(5.40),(6.60),,,,,,,,
4,2011,2080,821,130,276,192,133,220,60,36,14,20,589,398,285,324,29,18,21,25
5,,,(39.47),(6.25),(53.08,(36.92,(25.58),(42.31),11.54,(6.92),(2.69),(3.85),,,,,,,,
6,2012,5486,1954,223,756,397,277,524,74,52,31,66,1534,892,654,685,121,55,45,58
7,,,(35.62),(4.06),(54.78),(28.77),(20.58,(37.97),(5.36),(3.77),(2.30),(4.78),,,,,,,,
8,2013,5520,1725,202,652,491,341,241,89,34,44,35,1317,919,575,625,126,48,53,45
9,,,(31.25),(3.66),(47.25),(35.58,(24.71),(17.46),(6.45),(2.46),(3.19),(2.54),,,,,,,,
10,2014,5200,1282,142,521,321,189,251,59,25,23,35,1264,616,415,561,74,34,24,52
11,,,(24.65),(2.73),(40.08),(24.69),14.54,(19.31,(4.54),(1.92),(1.77),(2.69),,,,,,,,
12,Total,19786,6325,768,2205,1605,1064,1451,282,158,139,189,4704,3146,2095,2409,350,173,164,206
13,,,(31.97),(3.88),(48.14),(31.59,(23.41,(31.68),(6.16),(3.11,(3.03,(4.13,,,,,,,,
