,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,0000,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,1070,0000,MP,,,,,,,,,,,,,,,,,
2,,,,,,,,,3110,,Mp,,,,,,,,MP,,,,,,,,,
3,,,,,,,,,1000,,Mp,,,,,,,,,,,,,,,,,
4,,,I'll,,,,,,,,,,,,,,,,,,,,,,,,,
5,,150,,,,,,,1770,,Mp,,,,,,,,,,,,,,,,,
6,,,,,,,,MP,4000,0000,Mp,,,,,,,,(Mp),,,,,,,,,
7,,,,,,,,,,,,,,,,,,006-080,Mp,,,,,,,,,
8,,,,,,,"""p'u",,1890,,(Mp),,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,4.007,,,,,,Mp,,,,,,,,,
10,,,070,,,Mp,,,1770,068,Mp,,,,,,,,Mp,,,,,,,,,
11,,,,,,,,,,,,,,,Meat,1210,MP,,,,pu,,1,p'u,,,,
12,ppes,,,,,,,,,,,Mp,,,,,,,,,,,,,,,,
13,paseq,,,,,,,,,,,,,,,,,,,,,,,,,,,(-18n
14,,,,,,,,,,,,,,,,,,,,,,(M*p),(Mp),,30000-30,MP,(-Tn,(-Tn
15,,,,,,,,,,,,,,2012,a4,,,,,,,,,,,,2000,
16,,China,,,L[l]],,,,,,,,,Srerta,Sppnn,,,Spprn,,Sprn,Spnn,,,,ThkkrY,,,
